country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,vulnerability_delta100,readiness100,readiness_delta100,lnrgdp,growth,inflation_cpi,debt_gdp,PrimaryBalance_gdp,reserves,gee,rqe,tt,is_advanced,Revenue_gdp,CurrentGDP,ConstantGDP,capitaGDP,OverallBalance_gdp,revenue,debt,interest_revenue,taxgdp
Australia,AUS,1995,2.62287,9.20119,32.68232633,-10.4690874922857,58.29214172,15.9139174189684,7.052529854,2.959,4.626,31.097,-0.497,3.936841058672227576001727252,,,,1,31.029,379.794,1155.779,39682.821,-2.599,158.93,159.276,6.774307905507751,
Australia,AUS,1996,1.764419,8.204134,32.67949143,-10.1656212248762,58.60774601,15.7582116047339,7.09144673,3.968,2.653,29.3,0.567,4.091531173331695354802607913,1.800564528,1.367597103,,1,32.039,425.321,1201.645,40783.883,-1.454,174.048,159.168,6.307937201535628,
Australia,AUS,1997,0.597976,6.940316,32.80905349,-9.75797991017153,58.79198001,15.5145609836015,7.13759953,4.723,0.225,25.864,1.218,4.117940971949554333396548454,,,,1,32.27,427.113,1258.404,42295.124,-0.492,185.241,148.468,5.299039355438488,
Australia,AUS,1998,0.214657,5.488465,32.85287539,-9.3631087300531,59.19098357,15.3733998590945,7.183408545,4.687,0.859,23.657,1.14,4.023883740089675185852934789,1.618118048,1.432211161,,1,34.337,382.157,1317.391,43814.647,-0.245,208.486,143.643,4.033549815068294,
Australia,AUS,1999,0.37617,6.023071,32.86614415,-9.03972377323862,59.88552213,15.5907580723255,7.226664179,4.42,1.408,22.504,1.643,5.320029443164009779477151739,,,,1,36.819,412.701,1375.626,45234.949,0.665,235.466,143.917,2.656237268801434,28.159088066049538
Australia,AUS,2000,0.289165,6.31792,32.86286515,-8.74713610593412,60.69406078,15.9440423418254,7.257274179,3.108,4.457,19.458,1.923,4.693149119549449809621412168,1.732170224,1.575613499,67.47797273,1,36.394,401.043,1418.385,46100.477,1.248,250.661,134.017,1.8547013243941308,28.478194270415148
Australia,AUS,2001,0.614434,5.616706,32.76745111,-8.53327354815241,61.24574908,16.0198421982728,7.282781111,2.584,4.407,17.076,0.686,4.927445423531876359642638393,,,70.16764972,1,35.526,378.776,1455.029,46692.792,-0.03,259.965,124.955,2.015425322299161,29.328517605965814
Australia,AUS,2002,1.257369,5.843413,32.80223873,-8.11007200173582,61.5178818,15.6943167175864,7.323418212,4.147,3.049,14.985,0.85,5.059982661862880577720322739,1.659198642,1.421155572,71.44057241,1,35.048,426.227,1515.375,48086.175,0.192,274.664,117.437,1.8774252453777676,27.806027723085602
Australia,AUS,2003,1.370614,5.370768,32.75015746,-7.8570281666469,61.99592007,15.7028544987026,7.353151105,3.018,2.731,13.165,1.341,6.135904727300101102534205127,1.773278832,1.575263143,71.39296691,1,35.901,542.024,1561.108,48983.439,1.049,298.528,109.471,0.8133478176095373,28.671469116798153
Australia,AUS,2004,1.338919,5.596535,32.67987366,-7.46738724863318,62.90117828,15.9004198039573,7.393360936,4.103,2.342,11.888,1.31,5.596499758154674846960504519,1.98494184,1.711219549,78.30723187,1,36.102,659.797,1625.159,50436.483,1.321,323.386,106.49,-0.030469226081657527,28.73607744940324
Australia,AUS,2005,1.061441,5.3461,32.71096065,-7.07978726895933,63.38233597,15.8330057219528,7.423311695,3.04,2.659,10.84,1.561,5.863702775574284711180153692,1.74618125,1.599512935,88.4,1,36.224,737.709,1674.57,51290.522,1.704,349.845,104.695,-0.39476590106007065,28.838242800948866
Australia,AUS,2006,0.799324,5.591936,32.7094542,-6.57426825027856,67.75400761,19.4245098197611,7.449332198,2.636,3.554,9.92,1.464,7.01752338053428958023835673,1.707899332,1.62376225,98.1,1,36.243,784.874,1718.715,51836.183,1.768,377.594,103.348,-0.8387826614794581,28.586813380890035
Australia,AUS,2007,1.361856,5.99336,32.71295804,-6.06458094174355,68.45761187,19.3492421514585,7.49198284,4.357,2.356,9.647,1.28,2.826631700129839843183723378,1.818955183,1.684215903,102.8,1,35.709,951.942,1793.605,53094.676,1.472,405.376,109.51,-0.5376795765773335,28.181569929792726
Australia,AUS,2008,2.178197,5.825724,32.65549416,-5.8757892366266,69.24519039,19.7579035797177,7.518274371,2.664,4.348,11.709,-1.129,3.10744229541564221027744088,1.784767866,1.766017556,117.7,1,33.884,1059.505,1841.387,53342.822,-1.098,419.753,145.053,-0.0914886081926573,28.113913188779811
Australia,AUS,2009,1.907142,5.151906,32.68610425,-5.0666588516327,68.40602289,17.7208154778282,7.537850832,1.977,1.77,16.566,-4.509,4.156677880025761287367309952,1.701963782,1.816927552,109.9,1,33.079,1004.22,1877.79,53427.136,-4.547,419.791,210.236,0.11487650775416428,26.697287539133018
Australia,AUS,2010,2.187597,5.379213,32.65001543,-5.36591782424222,69.09468854,18.8144249058551,7.561845053,2.428,2.863,20.288,-4.866,3.35871883487092852318328102,1.763391376,1.695976734,120.6,1,31.738,1258.45,1923.391,53967.245,-5.1,434.374,277.663,0.7372865334929737,24.322347587573486
