ISO_A3,n_valid_years_1951_2018,time_coverage_rate,passes_time_coverage
AFG,68,1.0,True
AGO,0,0.0,False
ALB,68,1.0,True
ARE,68,1.0,True
ARG,68,1.0,True
ARM,68,1.0,True
ATF,0,0.0,False
AUS,68,1.0,True
AUT,68,1.0,True
AZE,68,1.0,True
BEL,68,1.0,True
BEN,0,0.0,False
BFA,0,0.0,False
BGD,68,1.0,True
BGR,68,1.0,True
BIH,68,1.0,True
BLR,68,1.0,True
BLZ,67,0.9852941176470589,True
BOL,68,1.0,True
BRA,68,1.0,True
BRN,0,0.0,False
BTN,68,1.0,True
BWA,68,1.0,True
CAF,0,0.0,False
CAN,68,1.0,True
CHE,68,1.0,True
CHL,68,1.0,True
CHN,68,1.0,True
CIV,0,0.0,False
CMR,0,0.0,False
COD,0,0.0,False
COG,0,0.0,False
COL,54,0.7941176470588235,False
CRI,0,0.0,False
CUB,68,1.0,True
CZE,68,1.0,True
DEU,68,1.0,True
DJI,0,0.0,False
DNK,68,1.0,True
DOM,0,0.0,False
DZA,68,1.0,True
ECU,50,0.7352941176470589,False
EGY,68,1.0,True
ERI,57,0.8382352941176471,True
ESP,68,1.0,True
EST,68,1.0,True
ETH,57,0.8382352941176471,True
FIN,68,1.0,True
FRA,68,1.0,True
GAB,0,0.0,False
GBR,68,1.0,True
GEO,68,1.0,True
GHA,0,0.0,False
GIN,0,0.0,False
GNB,0,0.0,False
GNQ,0,0.0,False
GRC,68,1.0,True
GRL,68,1.0,True
GTM,67,0.9852941176470589,True
GUF,52,0.7647058823529411,False
GUY,52,0.7647058823529411,False
HND,67,0.9852941176470589,True
HRV,68,1.0,True
HTI,0,0.0,False
HUN,68,1.0,True
IDN,61,0.8970588235294118,True
IND,68,1.0,True
IRL,68,1.0,True
IRN,68,1.0,True
IRQ,68,1.0,True
ISL,68,1.0,True
ISR,68,1.0,True
ITA,68,1.0,True
JAM,0,0.0,False
JOR,68,1.0,True
JPN,68,1.0,True
KAZ,68,1.0,True
KEN,0,0.0,False
KGZ,68,1.0,True
KHM,68,1.0,True
KOR,68,1.0,True
LAO,68,1.0,True
LBR,0,0.0,False
LBY,68,1.0,True
LKA,0,0.0,False
LSO,68,1.0,True
LTU,68,1.0,True
LVA,68,1.0,True
MAR,68,1.0,True
MDA,68,1.0,True
MDG,0,0.0,False
MEX,68,1.0,True
MKD,68,1.0,True
MLI,53,0.7794117647058824,False
MMR,68,1.0,True
MNE,68,1.0,True
MNG,68,1.0,True
MOZ,68,1.0,True
MRT,68,1.0,True
MWI,0,0.0,False
MYS,61,0.8970588235294118,True
NAM,68,1.0,True
NCL,0,0.0,False
NER,47,0.6911764705882353,False
NGA,0,0.0,False
NIC,67,0.9852941176470589,True
NLD,68,1.0,True
NOR,68,1.0,True
NPL,68,1.0,True
NZL,67,0.9852941176470589,True
OMN,68,1.0,True
PAK,68,1.0,True
PAN,0,0.0,False
PER,68,1.0,True
PHL,68,1.0,True
PNG,31,0.45588235294117646,False
POL,68,1.0,True
PRI,0,0.0,False
PRK,68,1.0,True
PRT,68,1.0,True
PRY,68,1.0,True
ROU,68,1.0,True
RUS,68,1.0,True
SAU,68,1.0,True
SDN,59,0.8676470588235294,True
SEN,0,0.0,False
SJM,68,1.0,True
SLB,0,0.0,False
SLE,0,0.0,False
SOM,0,0.0,False
SRB,68,1.0,True
SSD,59,0.8676470588235294,True
SUR,53,0.7794117647058824,False
SVK,68,1.0,True
SVN,68,1.0,True
SWE,68,1.0,True
SWZ,68,1.0,True
SYR,68,1.0,True
TCD,0,0.0,False
TGO,0,0.0,False
THA,68,1.0,True
TJK,68,1.0,True
TKM,68,1.0,True
TUN,68,1.0,True
TUR,68,1.0,True
TZA,0,0.0,False
UGA,0,0.0,False
UKR,68,1.0,True
URY,68,1.0,True
USA,68,1.0,True
UZB,68,1.0,True
VEN,49,0.7205882352941176,False
VNM,68,1.0,True
YEM,0,0.0,False
ZAF,68,1.0,True
ZMB,0,0.0,False
ZWE,67,0.9852941176470589,True
