latitude,longitude,ISO_A3,NAM_0
-54.375,-72.1875,CHL,Chile
-54.375,-70.3125,CHL,Chile
-54.375,-68.4375,ARG,Argentina
-53.125,-74.0625,CHL,Chile
-53.125,-70.3125,CHL,Chile
-51.875,-72.1875,CHL,Chile
-51.875,-70.3125,ARG,Argentina
-50.625,-74.0625,CHL,Chile
-50.625,-72.1875,ARG,Argentina
-50.625,-70.3125,ARG,Argentina
-49.375,-72.1875,ARG,Argentina
-49.375,-70.3125,ARG,Argentina
-49.375,-68.4375,ARG,Argentina
-49.375,70.3125,ATF,French Southern and Antarctic Lands (Fr.)
-48.125,-74.0625,CHL,Chile
-48.125,-72.1875,ARG,Argentina
-48.125,-70.3125,ARG,Argentina
-48.125,-68.4375,ARG,Argentina
-48.125,-66.5625,ARG,Argentina
-46.875,-74.0625,CHL,Chile
-46.875,-72.1875,CHL,Chile
-46.875,-70.3125,ARG,Argentina
-46.875,-68.4375,ARG,Argentina
-46.875,167.8125,NZL,New Zealand
-45.625,-74.0625,CHL,Chile
-45.625,-72.1875,CHL,Chile
-45.625,-70.3125,ARG,Argentina
-45.625,-68.4375,ARG,Argentina
-45.625,167.8125,NZL,New Zealand
-45.625,169.6875,NZL,New Zealand
-44.375,-72.1875,CHL,Chile
-44.375,-70.3125,ARG,Argentina
-44.375,-68.4375,ARG,Argentina
-44.375,-66.5625,ARG,Argentina
-44.375,169.6875,NZL,New Zealand
-43.125,-74.0625,CHL,Chile
-43.125,-72.1875,CHL,Chile
-43.125,-70.3125,ARG,Argentina
-43.125,-68.4375,ARG,Argentina
-43.125,-66.5625,ARG,Argentina
-43.125,-64.6875,ARG,Argentina
-43.125,147.1875,AUS,Australia
-43.125,171.5625,NZL,New Zealand
-41.875,-72.1875,CHL,Chile
-41.875,-70.3125,ARG,Argentina
-41.875,-68.4375,ARG,Argentina
-41.875,-66.5625,ARG,Argentina
-41.875,145.3125,AUS,Australia
-41.875,147.1875,AUS,Australia
-41.875,171.5625,NZL,New Zealand
-41.875,173.4375,NZL,New Zealand
-40.625,-72.1875,CHL,Chile
-40.625,-70.3125,ARG,Argentina
-40.625,-68.4375,ARG,Argentina
-40.625,-66.5625,ARG,Argentina
-40.625,-64.6875,ARG,Argentina
-40.625,-62.8125,ARG,Argentina
-40.625,175.3125,NZL,New Zealand
-39.375,-72.1875,CHL,Chile
-39.375,-70.3125,ARG,Argentina
-39.375,-68.4375,ARG,Argentina
-39.375,-66.5625,ARG,Argentina
-39.375,-64.6875,ARG,Argentina
-39.375,-62.8125,ARG,Argentina
-39.375,175.3125,NZL,New Zealand
-38.125,-72.1875,CHL,Chile
-38.125,-70.3125,ARG,Argentina
-38.125,-68.4375,ARG,Argentina
-38.125,-66.5625,ARG,Argentina
-38.125,-64.6875,ARG,Argentina
-38.125,-62.8125,ARG,Argentina
-38.125,-60.9375,ARG,Argentina
-38.125,-59.0625,ARG,Argentina
-38.125,141.5625,AUS,Australia
-38.125,143.4375,AUS,Australia
-38.125,145.3125,AUS,Australia
-38.125,147.1875,AUS,Australia
-38.125,175.3125,NZL,New Zealand
-38.125,177.1875,NZL,New Zealand
-36.875,-72.1875,CHL,Chile
-36.875,-70.3125,ARG,Argentina
-36.875,-68.4375,ARG,Argentina
-36.875,-66.5625,ARG,Argentina
-36.875,-64.6875,ARG,Argentina
-36.875,-62.8125,ARG,Argentina
-36.875,-60.9375,ARG,Argentina
-36.875,-59.0625,ARG,Argentina
-36.875,-57.1875,ARG,Argentina
-36.875,141.5625,AUS,Australia
-36.875,143.4375,AUS,Australia
-36.875,145.3125,AUS,Australia
-36.875,147.1875,AUS,Australia
-36.875,149.0625,AUS,Australia
-35.625,-72.1875,CHL,Chile
-35.625,-70.3125,ARG,Argentina
-35.625,-68.4375,ARG,Argentina
-35.625,-66.5625,ARG,Argentina
-35.625,-64.6875,ARG,Argentina
-35.625,-62.8125,ARG,Argentina
-35.625,-60.9375,ARG,Argentina
-35.625,-59.0625,ARG,Argentina
-35.625,139.6875,AUS,Australia
-35.625,141.5625,AUS,Australia
-35.625,143.4375,AUS,Australia
-35.625,145.3125,AUS,Australia
-35.625,147.1875,AUS,Australia
-35.625,149.0625,AUS,Australia
-35.625,173.4375,NZL,New Zealand
-34.375,-70.3125,CHL,Chile
-34.375,-68.4375,ARG,Argentina
-34.375,-66.5625,ARG,Argentina
-34.375,-64.6875,ARG,Argentina
-34.375,-62.8125,ARG,Argentina
-34.375,-60.9375,ARG,Argentina
-34.375,-59.0625,ARG,Argentina
-34.375,-57.1875,URY,Uruguay
-34.375,-55.3125,URY,Uruguay
-34.375,19.6875,ZAF,South Africa
-34.375,117.1875,AUS,Australia
-34.375,119.0625,AUS,Australia
-34.375,135.9375,AUS,Australia
-34.375,137.8125,AUS,Australia
-34.375,139.6875,AUS,Australia
-34.375,141.5625,AUS,Australia
-34.375,143.4375,AUS,Australia
-34.375,145.3125,AUS,Australia
-34.375,147.1875,AUS,Australia
-34.375,149.0625,AUS,Australia
-33.125,-70.3125,CHL,Chile
-33.125,-68.4375,ARG,Argentina
-33.125,-66.5625,ARG,Argentina
-33.125,-64.6875,ARG,Argentina
-33.125,-62.8125,ARG,Argentina
-33.125,-60.9375,ARG,Argentina
-33.125,-59.0625,ARG,Argentina
-33.125,-57.1875,URY,Uruguay
-33.125,-55.3125,URY,Uruguay
-33.125,-53.4375,BRA,Brazil
-33.125,19.6875,ZAF,South Africa
-33.125,21.5625,ZAF,South Africa
-33.125,23.4375,ZAF,South Africa
-33.125,25.3125,ZAF,South Africa
-33.125,27.1875,ZAF,South Africa
-33.125,117.1875,AUS,Australia
-33.125,119.0625,AUS,Australia
-33.125,120.9375,AUS,Australia
-33.125,122.8125,AUS,Australia
-33.125,135.9375,AUS,Australia
-33.125,139.6875,AUS,Australia
-33.125,141.5625,AUS,Australia
-33.125,143.4375,AUS,Australia
-33.125,145.3125,AUS,Australia
-33.125,147.1875,AUS,Australia
-33.125,149.0625,AUS,Australia
-33.125,150.9375,AUS,Australia
-31.875,-70.3125,ARG,Argentina
-31.875,-68.4375,ARG,Argentina
-31.875,-66.5625,ARG,Argentina
-31.875,-64.6875,ARG,Argentina
-31.875,-62.8125,ARG,Argentina
-31.875,-60.9375,ARG,Argentina
-31.875,-59.0625,ARG,Argentina
-31.875,-57.1875,URY,Uruguay
-31.875,-55.3125,URY,Uruguay
