country_name,iso3,year
Hong Kong SAR,HKG,1995
Hong Kong SAR,HKG,1996
Hong Kong SAR,HKG,1997
Hong Kong SAR,HKG,1998
Hong Kong SAR,HKG,1999
Hong Kong SAR,HKG,2000
Hong Kong SAR,HKG,2001
Hong Kong SAR,HKG,2002
Hong Kong SAR,HKG,2003
Hong Kong SAR,HKG,2004
Hong Kong SAR,HKG,2005
Hong Kong SAR,HKG,2006
Hong Kong SAR,HKG,2007
Hong Kong SAR,HKG,2008
Hong Kong SAR,HKG,2009
Hong Kong SAR,HKG,2010
Hong Kong SAR,HKG,2011
Hong Kong SAR,HKG,2012
Hong Kong SAR,HKG,2013
Hong Kong SAR,HKG,2014
Hong Kong SAR,HKG,2015
Hong Kong SAR,HKG,2016
Hong Kong SAR,HKG,2017
Hong Kong SAR,HKG,2018
Hong Kong SAR,HKG,2019
Hong Kong SAR,HKG,2020
Hong Kong SAR,HKG,2021
Hong Kong SAR,HKG,2022
Hong Kong SAR,HKG,2023
Taiwan Province of China,TWN,1995
Taiwan Province of China,TWN,1996
Taiwan Province of China,TWN,1997
Taiwan Province of China,TWN,1998
Taiwan Province of China,TWN,1999
Taiwan Province of China,TWN,2000
Taiwan Province of China,TWN,2001
Taiwan Province of China,TWN,2002
Taiwan Province of China,TWN,2003
Taiwan Province of China,TWN,2004
Taiwan Province of China,TWN,2005
Taiwan Province of China,TWN,2006
Taiwan Province of China,TWN,2007
Taiwan Province of China,TWN,2008
Taiwan Province of China,TWN,2009
Taiwan Province of China,TWN,2010
Taiwan Province of China,TWN,2011
Taiwan Province of China,TWN,2012
Taiwan Province of China,TWN,2013
Taiwan Province of China,TWN,2014
Taiwan Province of China,TWN,2015
Taiwan Province of China,TWN,2016
Taiwan Province of China,TWN,2017
Taiwan Province of China,TWN,2018
Taiwan Province of China,TWN,2019
Taiwan Province of China,TWN,2020
Taiwan Province of China,TWN,2021
Taiwan Province of China,TWN,2022
Taiwan Province of China,TWN,2023
