variable,country_absorbed,time_absorbed,twfe_absorbed,residual_sd,tolerance
year,0,1,1,4.14983990963e-14,8.3687224e-10
bond_spreads,0,0,0,.0168262391774922,1.0000000e-10
bond_10y,0,0,0,.0168262392653081,1.0000000e-10
vulnerability100,0,0,0,.0076749097486321,1.0000000e-10
readiness100,0,0,0,.0324014052928005,1.0000000e-10
lnrgdp,0,0,0,.1444712763580087,2.9224326e-10
growth,0,0,0,.0261072917351748,1.0000000e-10
inflation_cpi,0,0,0,.0846990200667121,1.0000000e-10
debt_gdp,0,0,0,.1633952641657984,1.0000000e-10
PrimaryBalance_gdp,0,0,0,.0243594287907841,1.0000000e-10
reserves,0,0,0,.0700205179961475,1.0000000e-10
gee,0,0,0,.1904886322226571,1.0000000e-10
rqe,0,0,0,.17751594669742,1.0000000e-10
tt,0,0,0,.1614852580984077,1.0000000e-10
is_advanced,1,0,1,6.54254470817e-16,1.0000000e-10
Revenue_gdp,0,0,0,.0237921270642233,1.0000000e-10
CurrentGDP,0,0,0,832652.4769488381,.00013231832
OverallBalance_gdp,0,0,0,.0252015001147523,1.0000000e-10
revenue,0,0,0,127671.1815365789,.00002129763
debt,0,0,0,286056.9986884357,.000050042116
interest_revenue,0,0,0,.0451788503655644,1.0000000e-10
ln_currentgdp,0,0,0,.4148665293675949,2.9804872e-10
