variable_i,variable_j,correlation
vulnerability100,vulnerability100,1
vulnerability100,readiness100,-.760615730600925
vulnerability100,debt_gdp,-.1025601513490045
vulnerability100,ln_capitagdp,-.86849317504532
vulnerability100,inflation_cpi,.3500170915270952
vulnerability100,reserves,-.1504454182848677
vulnerability100,tt,.0058293023662116
readiness100,vulnerability100,-.760615730600925
readiness100,readiness100,1
readiness100,debt_gdp,.1722398742027066
readiness100,ln_capitagdp,.8596731206151663
readiness100,inflation_cpi,-.3699078814142338
readiness100,reserves,.2321272804095798
readiness100,tt,-.0572683663432655
debt_gdp,vulnerability100,-.1025601513490045
debt_gdp,readiness100,.1722398742027066
debt_gdp,debt_gdp,1
debt_gdp,ln_capitagdp,.2132476495784972
debt_gdp,inflation_cpi,-.1592450759423361
debt_gdp,reserves,.1127058042608634
debt_gdp,tt,-.1349903885044709
ln_capitagdp,vulnerability100,-.86849317504532
ln_capitagdp,readiness100,.8596731206151663
ln_capitagdp,debt_gdp,.2132476495784972
ln_capitagdp,ln_capitagdp,1
ln_capitagdp,inflation_cpi,-.3480800846518665
ln_capitagdp,reserves,.2842525103561568
ln_capitagdp,tt,-.027072470508338
inflation_cpi,vulnerability100,.3500170915270952
inflation_cpi,readiness100,-.3699078814142338
inflation_cpi,debt_gdp,-.1592450759423361
inflation_cpi,ln_capitagdp,-.3480800846518665
inflation_cpi,inflation_cpi,1
inflation_cpi,reserves,-.134072688573732
inflation_cpi,tt,.0394343910245168
reserves,vulnerability100,-.1504454182848677
reserves,readiness100,.2321272804095798
reserves,debt_gdp,.1127058042608634
reserves,ln_capitagdp,.2842525103561568
reserves,inflation_cpi,-.134072688573732
reserves,reserves,1
reserves,tt,-.0469069300762669
tt,vulnerability100,.0058293023662116
tt,readiness100,-.0572683663432655
tt,debt_gdp,-.1349903885044709
tt,ln_capitagdp,-.027072470508338
tt,inflation_cpi,.0394343910245168
tt,reserves,-.0469069300762669
tt,tt,1
