model,country_name,iso3,observations,sample_share,first_year,last_year
Layer2_A,Australia,AUS,19,.0255376344086022,2000,2018
Layer2_A,Austria,AUT,19,.0255376344086022,2000,2018
Layer2_A,Bangladesh,BGD,3,.0040322580645161,2016,2018
Layer2_A,Belgium,BEL,19,.0255376344086022,2000,2018
Layer2_A,Brazil,BRA,11,.0147849462365591,2008,2018
Layer2_A,Canada,CAN,19,.0255376344086022,2000,2018
Layer2_A,Chile,CHL,11,.0147849462365591,2008,2018
Layer2_A,China,CHN,16,.021505376344086,2003,2018
Layer2_A,Croatia,HRV,10,.0134408602150538,2009,2018
Layer2_A,Czech Republic,CZE,18,.0241935483870968,2001,2018
Layer2_A,Denmark,DNK,19,.0255376344086022,2000,2018
Layer2_A,Egypt,EGY,8,.010752688172043,2011,2018
Layer2_A,Finland,FIN,19,.0255376344086022,2000,2018
Layer2_A,France,FRA,19,.0255376344086022,2000,2018
Layer2_A,Germany,DEU,19,.0255376344086022,2000,2018
Layer2_A,Greece,GRC,19,.0255376344086022,2000,2018
Layer2_A,Hungary,HUN,15,.0201612903225806,2004,2018
Layer2_A,Iceland,ISL,12,.0161290322580645,2007,2018
Layer2_A,India,IND,20,.0268817204301075,1999,2018
Layer2_A,Indonesia,IDN,8,.010752688172043,2004,2011
Layer2_A,Ireland,IRL,19,.0255376344086022,2000,2018
Layer2_A,Israel,ISR,16,.021505376344086,2003,2018
Layer2_A,Italy,ITA,19,.0255376344086022,2000,2018
Layer2_A,Japan,JPN,12,.0161290322580645,2007,2018
Layer2_A,Korea,KOR,18,.0241935483870968,2001,2018
Layer2_A,Lithuania,LTU,15,.0201612903225806,2004,2018
Layer2_A,Malaysia,MYS,10,.0134408602150538,2002,2011
Layer2_A,Mexico,MEX,12,.0161290322580645,2007,2018
Layer2_A,Morocco,MAR,6,.0080645161290323,2013,2018
Layer2_A,Namibia,NAM,4,.0053763440860215,2015,2018
Layer2_A,Netherlands,NLD,19,.0255376344086022,2000,2018
Layer2_A,New Zealand,NZL,18,.0241935483870968,2000,2017
Layer2_A,Norway,NOR,19,.0255376344086022,2000,2018
Layer2_A,Pakistan,PAK,9,.0120967741935484,2010,2018
Layer2_A,Philippines,PHL,18,.0241935483870968,2001,2018
Layer2_A,Poland,POL,18,.0241935483870968,2000,2018
Layer2_A,Portugal,PRT,19,.0255376344086022,2000,2018
Layer2_A,Romania,ROU,11,.0147849462365591,2008,2018
Layer2_A,Russia,RUS,15,.0201612903225806,2004,2018
Layer2_A,Slovak Republic,SVK,9,.0120967741935484,2008,2018
Layer2_A,Slovenia,SVN,11,.0147849462365591,2008,2018
Layer2_A,South Africa,ZAF,19,.0255376344086022,2000,2018
Layer2_A,Spain,ESP,19,.0255376344086022,2000,2018
Layer2_A,Sweden,SWE,19,.0255376344086022,2000,2018
Layer2_A,Switzerland,CHE,14,.0188172043010753,2005,2018
Layer2_A,Thailand,THA,17,.0228494623655914,2002,2018
Layer2_A,Turkey,TUR,8,.010752688172043,2011,2018
Layer2_A,United Kingdom,GBR,19,.0255376344086022,2000,2018
Layer2_A,United States,USA,18,.0241935483870968,2001,2018
Layer2_A,Vietnam,VNM,11,.0147849462365591,2008,2018
