model,moderator,point,moderator_value,marginal_effect,se,t,p,ci_low,ci_high
Interact_AB,debt_gdp,P10,.2476799964904785,-.013660704,.015629658,-.87402439,.38228175,-.044325542,.017004132
Interact_AB,debt_gdp,P25,.3757500076293945,-.037511203,.015040654,-2.4939873,.012766936,-.067020431,-.008001972
Interact_AB,debt_gdp,P50,.5327099990844727,-.066741884,.015522588,-4.2996621,.000018508799,-.097196653,-.036287118
Interact_AB,debt_gdp,P75,.7729399871826171,-.11147995,.018496729,-6.027009,2.2260234e-09,-.14776988,-.075190023
Interact_AB,debt_gdp,P90,1.050739974975586,-.16321468,.024035975,-6.7904329,1.7628284e-11,-.21037242,-.11605696
Interact_AB,debt_gdp,Mean_minus_1SD,.2542825700310334,-.014890302,.015578639,-.95581537,.33936015,-.045455039,.015674435
Interact_AB,debt_gdp,Mean,.6073122468113343,-.080635071,.016192228,-4.9798632,7.3039763e-07,-.11240365,-.048866499
Interact_AB,debt_gdp,Mean_plus_1SD,.9603419235916353,-.14637984,.022070374,-6.6324134,5.0049097e-11,-.18968114,-.10307855
Interact_AX,vulnerability100,P10,.2870743179321289,-.068454504,.023428146,-2.9218917,.0035450025,-.11441969,-.022489311
Interact_AX,vulnerability100,P25,.312232666015625,-.066995986,.020527756,-3.2636783,.0011311055,-.10727072,-.02672126
Interact_AX,vulnerability100,P50,.3493560409545898,-.064843819,.017067406,-3.799278,.00015247318,-.098329462,-.031358175
Interact_AX,vulnerability100,P75,.4033753585815429,-.061712135,.015018799,-4.1089926,.000042466931,-.091178484,-.032245785
Interact_AX,vulnerability100,P90,.4835751724243164,-.057062678,.019953428,-2.8597934,.0043133837,-.096210591,-.017914763
Interact_AX,vulnerability100,Mean_minus_1SD,.294990232690659,-.067995593,.022479739,-3.02475,.0025418855,-.11210004,-.023891138
Interact_AX,vulnerability100,Mean,.3659917937615426,-.063879386,.015982646,-3.9967966,.000068162888,-.095236771,-.032522004
Interact_AX,vulnerability100,Mean_plus_1SD,.4369933548324262,-.059763186,.016081067,-3.7163692,.00021151859,-.091313668,-.028212702
Interact_all,debt_gdp,P10,.2476799964904785,-.014930956,.015892411,-.93950236,.34766418,-.046111327,.016249415
Interact_all,debt_gdp,P25,.3757500076293945,-.038772918,.015459698,-2.5079997,.012274384,-.069104321,-.0084415125
Interact_all,debt_gdp,P50,.5327099990844727,-.067993134,.01609979,-4.2232313,.000025924599,-.099580377,-.036405895
Interact_all,debt_gdp,P75,.7729399871826171,-.11271519,.019200692,-5.8703713,5.6378275e-09,-.1503863,-.075044081
Interact_all,debt_gdp,P90,1.050739974975586,-.16443141,.02477321,-6.6374688,4.8438895e-11,-.21303561,-.1158272
Interact_all,debt_gdp,Mean_minus_1SD,.2542825700310334,-.016160114,.015849577,-1.0195928,.30812955,-.047256451,.01493622
Interact_all,debt_gdp,Mean,.6073122468113343,-.081881352,.016823351,-4.867125,1.2849887e-06,-.1148882,-.048874505
Interact_all,debt_gdp,Mean_plus_1SD,.9603419235916353,-.14760259,.022804104,-6.4726329,1.4064561e-10,-.19234347,-.10286171
Interact_all,vulnerability100,P10,.2870743179321289,-.084764451,.023718327,-3.5737956,.00036597165,-.131299,-.038229898
Interact_all,vulnerability100,P25,.312232666015625,-.08384534,.02093433,-4.0051599,.000065830049,-.12491779,-.042772889
Interact_all,vulnerability100,P50,.3493560409545898,-.082489111,.017747831,-4.6478415,3.7295817e-06,-.11730976,-.047668461
Interact_all,vulnerability100,P75,.4033753585815429,-.080515616,.016240729,-4.9576359,8.1727092e-07,-.11237937,-.048651855
Interact_all,vulnerability100,P90,.4835751724243164,-.077585667,.021630056,-3.5869379,.00034820772,-.12002311,-.035148229
Interact_all,vulnerability100,Mean_minus_1SD,.294990232690659,-.084475257,.022801153,-3.7048678,.00022124311,-.12921035,-.039740168
Interact_all,vulnerability100,Mean,.3659917937615426,-.081881352,.016823351,-4.867125,1.2849887e-06,-.1148882,-.048874505
Interact_all,vulnerability100,Mean_plus_1SD,.4369933548324262,-.079287447,.017565846,-4.5137277,7.0037322e-06,-.11375105,-.044823848
Quadratic_all,readiness100,P10,.3448849868774414,-.15964699,.03588685,-4.4486208,9.4569486e-06,-.23005603,-.089237958
Quadratic_all,readiness100,P25,.4306853103637696,-.12175836,.025655165,-4.7459583,2.3286925e-06,-.17209309,-.071423613
Quadratic_all,readiness100,P50,.5295911598205566,-.078082435,.016682312,-4.680552,3.1914783e-06,-.11081268,-.045352187
Quadratic_all,readiness100,P75,.6629252624511719,-.019203313,.018777717,-1.0226649,.30667555,-.056044687,.017638061
Quadratic_all,readiness100,P90,.7172198486328125,.0047726808,.023995535,.1988987,.84237617,-.042305909,.051851273
Quadratic_all,readiness100,Mean_minus_1SD,.3943369323657236,-.13780947,.029847996,-4.6170425,4.3180407e-06,-.19637042,-.079248503
Quadratic_all,readiness100,Mean,.5353158016857427,-.075554483,.016360169,-4.618197,4.2945103e-06,-.10765269,-.043456275
Quadratic_all,readiness100,Mean_plus_1SD,.6762946710057617,-.013299504,.019929802,-.66731739,.50469965,-.052401237,.02580223
Quadratic_all,debt_gdp,P10,.2476799964904785,-.021121532,.015821863,-1.3349587,.18214694,-.052163601,.0099205347
Quadratic_all,debt_gdp,P25,.3757500076293945,-.04050586,.01485201,-2.727298,.0064800526,-.069645099,-.011366616
Quadratic_all,debt_gdp,P50,.5327099990844727,-.064262889,.015437212,-4.1628561,.000033709232,-.094550289,-.033975501
Quadratic_all,debt_gdp,P75,.7729399871826171,-.10062344,.019519262,-5.1550846,2.9694667e-07,-.13891971,-.06232718
Quadratic_all,debt_gdp,P90,1.050739974975586,-.1426705,.02683856,-5.3158774,1.2681183e-07,-.19532703,-.090013959
Quadratic_all,debt_gdp,Mean_minus_1SD,.2542825700310334,-.02212088,.015742499,-1.4051695,.16023365,-.053007238,.0087654786
Quadratic_all,debt_gdp,Mean,.6073122468113343,-.075554483,.016360169,-4.618197,4.2945103e-06,-.10765269,-.043456275
Quadratic_all,debt_gdp,Mean_plus_1SD,.9603419235916353,-.12898809,.0242771,-5.313159,1.2867396e-07,-.1766191,-.081357077
Quadratic_all,vulnerability100,P10,.2870743179321289,-.11568434,.030001542,-3.8559465,.00012149463,-.17454655,-.056822129
Quadratic_all,vulnerability100,P25,.312232666015625,-.10289122,.024917064,-4.1293478,.000038936523,-.15177782,-.054004613
Quadratic_all,vulnerability100,P50,.3493560409545898,-.084013835,.018480081,-4.5461831,6.0241400e-06,-.12027125,-.047756411
Quadratic_all,vulnerability100,P75,.4033753585815429,-.056544792,.014750319,-3.8334622,.00013300903,-.08548452,-.027605064
Quadratic_all,vulnerability100,P90,.4835751724243164,-.015762862,.025520548,-.61765373,.53692263,-.065833487,.034307767
Quadratic_all,vulnerability100,Mean_minus_1SD,.294990232690659,-.11165906,.028361963,-3.9369299,.00008734945,-.16730447,-.056013659
Quadratic_all,vulnerability100,Mean,.3659917937615426,-.075554483,.016360169,-4.618197,4.2945103e-06,-.10765269,-.043456275
Quadratic_all,vulnerability100,Mean_plus_1SD,.4369933548324262,-.039449904,.017592976,-2.2423668,.025122499,-.073966846,-.0049329596
