model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
A_X_only,vulnerability100,.0035378708829932,.074544787,.047459669,.96215558,-.14273024,.14980598,0
A_X_only,growth,-.2694046090357605,.043058127,-6.2567654,5.6451477e-10,-.35389116,-.18491806,0
A_X_only,ln_constantgdp,-.0017119551189711,.0051601101,-.33176717,.74012911,-.011836869,.0084129591,0
A_A_only,readiness100,-.0439878038639744,.017734254,-2.4803865,.013274662,-.078785084,-.0091905231,0
A_A_only,growth,-.2647040514037327,.042321753,-6.2545624,5.7225918e-10,-.34774572,-.1816624,0
A_A_only,ln_constantgdp,-.0004466631602109,.0049233115,-.090724126,.92772853,-.010106944,.0092136171,0
A_b_only,ln_debt,.021372600006392,.0025228132,8.4717331,7.7724379e-17,.01642246,.026322739,0
A_b_only,growth,-.2055212915459081,.040632877,-5.0580049,4.9708285e-07,-.28524911,-.12579346,0
A_b_only,ln_constantgdp,-.0273096901793114,.0053894878,-5.0672145,4.7416282e-07,-.037884679,-.016734703,0
B_all_core,vulnerability100,.1729101471047604,.072319537,2.390919,.016976079,.031008022,.31481227,0
B_all_core,readiness100,-.0282010239012318,.01694794,-1.6639794,.096405566,-.061455507,.0050534592,0
B_all_core,ln_debt,.0216879833877784,.0026092422,8.311986,2.7905196e-16,.016568245,.02680772,0
B_all_core,growth,-.2046655011013355,.040179659,-5.0937591,4.1378991e-07,-.28350422,-.12582679,0
B_all_core,ln_constantgdp,-.0230431323393309,.0054658819,-4.2158122,.00002696197,-.033768039,-.012318226,0
C_macro,vulnerability100,.0536032852661755,.066627458,.80452251,.42127186,-.077130228,.1843368,0
C_macro,readiness100,-.0329368333822174,.016520131,-1.9937392,.04643102,-.065351926,-.00052174466,0
C_macro,ln_debt,.0193425888815667,.0024368858,7.9374213,5.1298551e-15,.014561037,.024124142,0
C_macro,growth,-.1833381950173826,.038740106,-4.7325168,2.5109957e-06,-.25935236,-.10732403,0
C_macro,ln_constantgdp,-.0221607087312347,.0050432542,-4.3941288,.000012214579,-.032056365,-.012265053,0
C_macro,inflation_cpi,.154323836118853,.029919323,5.157999,2.9666253e-07,.095617436,.21303023,0
Layer1_X,vulnerability100,.091881414434999,.069651872,1.3191521,.18739736,-.044786628,.22854945,0
Layer1_X,ln_debt,.0210649270167453,.0024884525,8.4650717,8.2346214e-17,.016182188,.025947666,0
Layer1_X,growth,-.1854219117651602,.039034255,-4.7502356,2.3050563e-06,-.26201332,-.1088305,0
Layer1_X,ln_constantgdp,-.0237190082527295,.0049483413,-4.7933249,1.8692657e-06,-.033428442,-.014009576,0
Layer1_X,inflation_cpi,.148691433539793,.030416721,4.8884768,1.1698207e-06,.089008994,.20837387,0
Layer1_X,reserves,.0214179392778258,.0040507712,5.2873735,1.5006572e-07,.013469683,.029366195,0
Layer1_X,tt,-.0027517562782974,.004460854,-.6168676,.53745186,-.01150466,.0060011479,0
Layer2_A,vulnerability100,.1057022605740867,.069277197,1.5257872,.12735538,-.030230749,.24163526,0
Layer2_A,readiness100,-.034001430981579,.01644909,-2.0670707,.038965113,-.066277191,-.0017256705,0
Layer2_A,ln_debt,.0207638613447358,.0025223594,8.2319202,5.2636999e-16,.015814586,.025713136,0
Layer2_A,growth,-.182877546030962,.038459983,-4.7550082,2.2526167e-06,-.25834224,-.10741287,0
Layer2_A,ln_constantgdp,-.022004045701182,.0050195944,-4.3836303,.000012809955,-.0318533,-.012154793,0
Layer2_A,inflation_cpi,.1495996488190871,.030002562,4.9862294,7.1676061e-07,.090729795,.20846951,0
