model,N,countries,years,first_year,last_year,r2_within,r2_overall,clusters,df_r,cluster_variable,country_fe,year_fe
A_X_only,823,50,23,1996,2018,.6233449,.88338143,50,49,country_id,1,1
A_A_only,1213,61,28,1996,2023,.59455544,.91609174,61,60,country_id,1,1
A_b_only,1245,63,28,1996,2023,.58737499,.91705263,63,62,country_id,1,1
B_all_core,812,50,23,1996,2018,.62342656,.87519795,50,49,country_id,1,1
C_macro,811,50,23,1996,2018,.68751073,.87939268,50,49,country_id,1,1
Layer1_X,742,50,20,1999,2018,.68441087,.85266399,50,49,country_id,1,1
Layer2_A,742,50,20,1999,2018,.68671823,.87736022,50,49,country_id,1,1
Interact_AB,742,50,20,1999,2018,.69010186,.86851096,50,49,country_id,1,1
Interact_AX,742,50,20,1999,2018,.68686384,.87684131,50,49,country_id,1,1
Interact_all,742,50,20,1999,2018,.69011265,.86849731,50,49,country_id,1,1
