variable,N,missing,missing_rate,mean,sd,min,p10,p25,p50,p75,p90,max
year,1972,0,0,2009,8.368722,1995,1997,2002,2009,2016,2021,2023
bond_spreads,1447,525,26.622719,.022918498,.045170043,-.034057319,-.01354576,-.0049375398,.00606927,.03823521,.084584564,.34308717
bond_10y,1447,525,26.622719,.055302013,.044908863,-.0050589596,.009633,.026855819,.04503737,.07023488,.11754979,.35202828
vulnerability100,1914,58,2.9411764,.3817732,.078121126,.25103006,.30014378,.31727016,.36622277,.43388996,.50139827,.58079988
readiness100,1914,58,2.9411764,.49862456,.14227295,.17934154,.3195664,.36895552,.49430338,.61401856,.69418818,.80720198
lnrgdp,1965,7,.35496956,7.8454847,2.9224327,1.8946168,3.9691782,5.7897921,7.6493592,9.5654507,11.796552,16.325228
growth,1961,11,.55780935,.034133162,.035755463,-.1604,-.0041399999,.017000001,.034960002,.055130001,.074840002,.24624
inflation_cpi,1965,7,.35496956,.056507517,.1062028,-.039670002,.0057700002,.01615,.031429999,.065480001,.11008999,1.973
debt_gdp,1866,106,5.3752537,.56833994,.34432197,.00052,.20828,.34509,.50578499,.71171999,1.0078501,2.6096399
PrimaryBalance_gdp,1823,149,7.5557809,-.0050431653,.033783603,-.29951999,-.044270001,-.023670001,-.0051899999,.01365,.031470001,.23448999
reserves,1896,76,3.8539553,.05597185,.12490746,1.3079210e-06,.00020293053,.0022440853,.020309793,.058580119,.11714613,1.5270723
gee,1700,272,13.793103,.67746127,.89811867,-1.3495939,-.53964168,-.1040981,.74135733,1.5166399,1.8333952,2.4696598
rqe,1700,272,13.793103,.68142813,.84799337,-1.2928177,-.48327535,-.094774425,.82209897,1.4185598,1.7610028,2.3085914
tt,1730,242,12.271805,1.0054096,.18309374,.31876099,.84549999,.93699998,.995,1.0469999,1.148,2.7307551
is_advanced,1972,0,0,.5147059,.49991044,0,0,0,1,1,1,1
Revenue_gdp,1908,64,3.2454362,.31432626,.12895581,.036340002,.14454001,.200165,.32409501,.41709501,.49083999,.60917997
CurrentGDP,1970,2,.10141988,211129.67,1323183.3,1.882,37.7505,251.867,1596.483,10808.145,104043.07,20892312
OverallBalance_gdp,1901,71,3.6004057,-.02495241,.03942661,-.32145,-.071339995,-.047370002,-.02565,-.0031000001,.017070001,.24667999
revenue,1908,64,3.2454362,39237.453,212976.3,.15899999,15.642,92.593002,560.60803,2244.8271,23435.105,3132867
debt,1866,106,5.3752537,90839.977,500421.13,.57499999,15.156,173.11099,879.58801,4668.4038,35610.199,8273640.5
interest_revenue,1823,149,7.5557809,.084834002,.09802378,-.14821124,.003989635,.026433649,.057916198,.11146645,.20800589,.79869783
ln_currentgdp,1970,2,.10141988,7.5434051,2.9804873,.63233501,3.6309986,5.5289011,7.3755517,9.2880554,11.552559,16.854893
