variable,vif,tolerance,condition_number
c_A,1.235680880467198,.80927044,4.5979338
c_b,1.471151362617948,.67973971,4.5979338
c_X,1.899424748380438,.52647519,4.5979338
half_A2,2.897711349630081,.34509993,4.5979338
half_b2,1.591864442953383,.62819421,4.5979338
half_X2,2.40761967612002,.41534799,4.5979338
int_AB,2.154652779583918,.46411189,4.5979338
int_AX,3.141155536379757,.31835419,4.5979338
int_bX,2.344993731252372,.42644036,4.5979338
growth,1.098583415484504,.91026312,4.5979338
inflation_cpi,1.147666151155019,.87133354,4.5979338
reserves,1.234514432991918,.81003511,4.5979338
tt,1.071997094595803,.93283832,4.5979338
ln_currentgdp,2.251559973007954,.4441365,4.5979338
