variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
year,8.368890915695884,0,8.3688908,1,adequate
bond_spreads,.0428445086750524,.045293149,.017396314,.40603369,adequate
bond_10y,.0426342897971768,.042157963,.022376548,.52484864,adequate
vulnerability100,7.901482755627186,7.8943734,1.048466,.13269231,adequate
vulnerability_delta100,.0586590375247469,.051953249,.028008737,.47748375,adequate
readiness100,14.52215407589023,13.970873,4.335762,.2985619,adequate
readiness_delta100,.0896190109218767,.080237292,.041176498,.45946166,adequate
lnrgdp,2.735006175303838,2.737206,.30801001,.11261766,adequate
growth,.0352906359131775,.015513354,.031748094,.89961809,adequate
inflation_cpi,.1074065563186065,.055055141,.092498258,.86119753,adequate
debt_gdp,.3489484127879794,.29807249,.18329747,.5252853,adequate
PrimaryBalance_gdp,.0342404639335771,.017758058,.029232271,.85373467,adequate
reserves,.1879645732388086,.16648333,.091005713,.48416418,adequate
gee,.9128504157275457,.89916968,.19265938,.21105252,adequate
rqe,.8587172106175565,.84563708,.18220013,.2121771,adequate
tt,.1859283738320889,.083084114,.16501486,.88751847,adequate
is_advanced,.5000738831693827,.50395262,0,0,not_identified_by_FE
Revenue_gdp,.1297614936957927,.12741987,.024072923,.1855167,adequate
CurrentGDP,2435.227657565669,2212.0933,1052.4202,.432165,adequate
ConstantGDP,1043361.67159787,972397.38,395694.13,.37924924,adequate
capitaGDP,23153.43507069219,22266.855,6876.271,.29698709,adequate
OverallBalance_gdp,.0396153403924685,.026831865,.029224318,.73770201,adequate
revenue,220774.6148205526,175372.45,135491.17,.61370814,adequate
debt,519926.919483584,449187.59,304445.22,.58555388,adequate
interest_revenue,.0958539081993174,.084460571,.046780273,.4880372,adequate
taxgdp,8.10567109360643,7.9646025,1.6722569,.20630704,adequate
ln_constantgdp,2.735006180033057,2.737206,.30801001,.11261767,adequate
ln_debt,2.760980966981853,2.6997342,.78807139,.28543165,adequate
