country_name,iso3,year,bond_spreads,bond_10y,vulnerability100,readiness100,lnrgdp,growth,inflation_cpi,debt_gdp,PrimaryBalance_gdp,reserves,gee,rqe,tt,is_advanced,Revenue_gdp,CurrentGDP,OverallBalance_gdp,revenue,debt,interest_revenue,taxgdp
Australia,AUS,1995,2.62287,9.20119,32.68232633,58.29214172,7.052529854,2.959,4.626,31.097,-0.497,1.293663073,,,,1,31.029,512.199,-2.599,158.93,159.276,6.774307905507751,
Australia,AUS,1996,1.764419,8.204134,32.67949143,58.60774601,7.09144673,3.968,2.653,29.3,0.567,1.44819321,1.800564528,1.367597103,,1,32.039,543.238,-1.454,174.048,159.168,6.307937201535628,
Australia,AUS,1997,0.597976,6.940316,32.80905349,58.79198001,7.13759953,4.723,0.225,25.864,1.218,1.397664122,,,,1,32.27,574.031,-0.492,185.241,148.468,5.299039355438488,
Australia,AUS,1998,0.214657,5.488465,32.85287539,59.19098357,7.183408545,4.687,0.859,23.657,1.14,1.167273299,1.618118048,1.432211161,,1,34.337,607.179,-0.245,208.486,143.643,4.033549815068294,
Australia,AUS,1999,0.37617,6.023071,32.86614415,59.88552213,7.226664179,4.42,1.408,22.504,1.643,1.596059882,,,,1,36.819,639.52,0.665,235.466,143.917,2.656237268801434,28.159088066049538
Australia,AUS,2000,0.289165,6.31792,32.86286515,60.69406078,7.257274179,3.108,4.457,19.458,1.923,1.326970183,1.732170224,1.575613499,67.47797273,1,36.394,688.741,1.248,250.661,134.017,1.8547013243941308,28.478194270415148
Australia,AUS,2001,0.614434,5.616706,32.76745111,61.24574908,7.282781111,2.584,4.407,17.076,0.686,1.282722247,,,70.16764972,1,35.526,731.769,-0.03,259.965,124.955,2.015425322299161,29.328517605965814
Australia,AUS,2002,1.257369,5.843413,32.80223873,61.5178818,7.323418212,4.147,3.049,14.985,0.85,1.423212888,1.659198642,1.421155572,71.44057241,1,35.048,783.679,0.192,274.664,117.437,1.8774252453777676,27.806027723085602
Australia,AUS,2003,1.370614,5.370768,32.75015746,61.99592007,7.353151105,3.018,2.731,13.165,1.341,2.130414823,1.773278832,1.575263143,71.39296691,1,35.901,831.52,1.049,298.528,109.471,0.8133478176095373,28.671469116798153
Australia,AUS,2004,1.338919,5.596535,32.67987366,62.90117828,7.393360936,4.103,2.342,11.888,1.31,2.272118452,1.98494184,1.711219549,78.30723187,1,36.102,895.759,1.321,323.386,106.49,-0.030469226081657527,28.73607744940324
Australia,AUS,2005,1.061441,5.3461,32.71096065,63.38233597,7.423311695,3.04,2.659,10.84,1.561,2.583174374,1.74618125,1.599512935,88.4,1,36.224,965.787,1.704,349.845,104.695,-0.39476590106007065,28.838242800948866
Australia,AUS,2006,0.799324,5.591936,32.7094542,67.75400761,7.449332198,2.636,3.554,9.92,1.464,3.204645125,1.707899332,1.62376225,98.1,1,36.243,1041.844,1.768,377.594,103.348,-0.8387826614794581,28.586813380890035
Australia,AUS,2007,1.361856,5.99336,32.71295804,68.45761187,7.49198284,4.357,2.356,9.647,1.28,1.500212942,1.818955183,1.684215903,102.8,1,35.709,1135.21,1.472,405.376,109.51,-0.5376795765773335,28.181569929792726
Australia,AUS,2008,2.178197,5.825724,32.65549416,69.24519039,7.518274371,2.664,4.348,11.709,-1.129,1.787973223,1.784767866,1.766017556,117.7,1,33.884,1238.803,-1.098,419.753,145.053,-0.0914886081926573,28.113913188779811
Australia,AUS,2009,1.907142,5.151906,32.68610425,68.40602289,7.537850832,1.977,1.77,16.566,-4.509,2.222942427,1.701963782,1.816927552,109.9,1,33.079,1269.07,-4.547,419.791,210.236,0.11487650775416428,26.697287539133018
Australia,AUS,2010,2.187597,5.379213,32.65001543,69.09468854,7.561845053,2.428,2.863,20.288,-4.866,2.197566547,1.763391376,1.695976734,120.6,1,31.738,1368.625,-5.1,434.374,277.663,0.7372865334929737,24.322347587573486
Australia,AUS,2011,2.124056,4.885833,32.6581351,69.45819924,7.588979159,2.751,3.356,23.962,-4.071,2.363716791,1.690138102,1.852122784,135.2,1,31.679,1472.992,-4.511,466.635,352.965,1.388932731462483,24.333245303949173
Australia,AUS,2012,1.623699,3.412845,32.765154,69.79860612,7.626992632,3.875,1.686,27.42,-2.855,2.393636412,1.613148451,1.778897166,122.7,1,32.881,1521.462,-3.496,500.272,417.19,1.9494540920288312,25.575466229192713
Australia,AUS,2013,1.3719,3.720173,32.67120098,70.84961785,7.649179159,2.243,2.45,30.333,-2.064,2.517341176,1.632453084,1.79121995,119.3,1,33.408,1576.38,-2.798,526.631,478.157,2.1970785440613025,26.28067235100189
Australia,AUS,2014,1.10954,3.639209,32.64526916,70.96913312,7.674444236,2.559,2.513,33.893,-2.07,2.504396954,1.600894928,1.857373476,111.3,1,33.687,1620.803,-2.906,546.005,549.341,2.481669486745629,26.698000929169059
Australia,AUS,2015,0.586489,2.718409,32.71172924,70.59879962,7.697380593,2.32,1.485,37.575,-1.863,2.061501539,1.533252478,1.777410269,100,1,34.338,1646.083,-2.775,565.239,618.521,2.655949676742967,26.969118736099546
Australia,AUS,2016,0.532992,2.364962,32.79792791,70.49276808,7.724055495,2.703,1.277,40.46,-1.516,2.319987778,1.532188416,1.885731459,99.9,1,34.731,1704.098,-2.415,591.845,689.483,2.5884656358872475,27.208806530606498
Australia,AUS,2017,0.333186,2.662278,32.76167633,69.10183285,7.747649083,2.387,1.995,41.039,-0.845,2.834641114,1.498386025,1.923002362,116.4,1,34.926,1808.053,-1.712,631.484,742.011,2.482391341693867,26.925057368023126
Australia,AUS,2018,-0.224718,2.685582,31.55680192,69.57149503,7.775153621,2.789,1.933,41.598,-0.411,2.264431874,1.555989981,1.896577239,118.6,1,35.479,1901.511,-1.254,674.643,791,2.376053440063136,27.809068534645963
Australia,AUS,2019,-0.634958,1.503742,31.35621576,69.34119115,7.794701646,1.974,1.566,46.529,-3.572,2.388868734,1.538690805,1.864646077,130.2,1,34.363,2001.638,-4.392,687.822,931.334,2.386287576754067,27.979584975093207
Australia,AUS,2020,0.036101,0.930213,31.37673688,68.05801784,7.774061754,-2.043,0.89,56.91,-7.807,1.789009397,1.573353291,1.813946962,131.2,1,35.606,1979.468,-8.704,704.813,1126.516,2.519238330618435,27.872898801480151
Australia,AUS,2021,0.064678,1.504647,31.31583265,69.39528454,7.826257963,5.358,2.841,55.372,-5.507,2.309984862,1.471722007,1.831182718,163.7,1,35.312,2208.259,-6.351,779.78,1222.767,2.3901223380154057,26.858026796214457
Australia,AUS,2022,0.242933,3.19479,31.58762277,69.31456784,7.867477462,4.208,6.614,50.045,-1.461,2.171678729,1.528432727,1.894893289,181,1,35.229,2491.143,-2.206,877.616,1246.694,2.114735019444208,27.416695233041409
Australia,AUS,2023,0.001735,3.96375,31.59372385,69.3309073,7.888603782,2.135,5.614,49.416,-0.534,2.313830996,1.589879632,1.942205548,172.2,1,36.172,2629.518,-1.263,951.141,1299.39,2.01537100519739,28.731262402048063
Austria,AUT,1995,0.578404,7.156724,30.63405423,60.27582206,5.567741268,2.668,1.611,68.238,-2.924,8.92474958,,,,1,49.954,175.612,-6.174,87.725,119.834,6.505985506666133,26.853888100402457
Austria,AUT,1996,-0.103058,6.336657,30.71669384,60.91216247,5.591442101,2.398,1.695,68.18,-1.051,10.00794753,1.731649637,1.658712149,,1,51.554,181.542,-4.381,93.592,123.776,6.459246615199596,28.165068229428027
Austria,AUT,1997,-0.647938,5.694402,30.61225401,61.0594536,5.612671798,2.146,1.154,63.373,0.652,8.040561052,,,,1,50.155,187.779,-2.384,94.181,119.001,6.053234971588077,28.996488952154852
Austria,AUT,1998,-0.54933,4.724478,30.66686128,61.14191031,5.647007517,3.493,0.828,69.197,0.191,8.893415245,1.803506255,1.346461296,,1,51.667,195.275,-2.683,100.893,135.123,5.562544757775756,29.089779213476817
Austria,AUT,1999,-0.936829,4.710072,30.46699391,61.54182505,5.683933446,3.762,0.516,61.34,0.221,6.434138784,,,,1,47.871,203.065,-2.628,97.21,124.559,5.951411083954795,28.744889567379907
Austria,AUT,2000,-0.463631,5.565124,30.39168689,61.91512176,5.715332186,3.19,1.957,66.109,0.67,5.815627633,1.847265244,1.47547555,113.6098131,1,48.865,212.407,-2.075,103.793,140.42,5.617517650670214,28.236963223399631
Austria,AUT,2001,0.089516,5.091788,30.37926225,62.75384554,5.728416549,1.317,2.292,67.238,1.975,5.072884734,,,112.2646891,1,51.103,219.373,-0.712,112.106,147.503,5.2580083361055125,29.829113205663589
Austria,AUT,2002,0.371118,4.957162,30.44147538,63.40687101,5.743150613,1.484,1.688,67.44,1.187,4.22437955,1.880228162,1.538056254,112.4281444,1,50.186,225.088,-1.426,112.963,151.8,5.206631331447017,28.879686558006895
Austria,AUT,2003,0.138101,4.138255,30.46410585,63.1393728,5.754500937,1.142,1.305,66.412,0.583,4.03326336,1.930461287,1.537136078,111.2572088,1,49.924,230.542,-1.839,115.095,153.107,4.851374088614694,28.517557336673871
Austria,AUT,2004,-0.13185,4.125766,30.43294402,63.73422008,5.779829518,2.565,1.962,65.912,-2.643,3.765297729,1.843770623,1.514102817,109.8231385,1,49.375,240.542,-4.941,118.768,158.546,4.654177215189874,28.208057064533925
Austria,AUT,2005,-0.885874,3.398785,30.44386129,64.65612032,5.802767711,2.32,2.098,69.428,-0.18,3.571087378,1.679529071,1.604957461,108,1,49.084,252.355,-2.588,123.867,175.204,4.905875641756988,27.355031602306273
Austria,AUT,2006,-0.994608,3.798004,30.43173676,67.64082187,5.834939384,3.269,1.689,68.176,-0.259,3.774722061,1.827385187,1.644411087,106.7,1,48.312,265.934,-2.609,128.477,181.304,4.8642159297897,26.879390193642323
Austria,AUT,2007,-0.42351,4.207994,30.30762631,68.78567061,5.871996655,3.775,2.204,65.813,0.672,5.125678805,1.863565922,1.691163898,107.3,1,48.159,282.208,-1.56,135.91,185.73,4.634647729396375,27.187370884332918
Austria,AUT,2008,0.720764,4.368291,30.34719465,68.49156613,5.886426202,1.453,3.226,69.528,0.653,4.648904765,1.771658182,1.60645175,104.4,1,48.833,291.846,-1.572,142.516,202.915,4.556345094505764,27.914374077853331
Austria,AUT,2009,0.690296,3.93506,30.39186352,66.82797346,5.849903863,-3.586,0.4,80.752,-3.064,5.156652491,1.662739277,1.450018525,106.4,1,49.217,286.274,-5.381,140.895,231.173,4.707722941260133,27.082935550229653
Austria,AUT,2010,0.028452,3.220068,30.24361231,67.5040552,5.867832565,1.809,1.692,83.654,-2.212,6.29215163,1.8125211,1.450515866,103.9,1,48.892,294.051,-4.465,143.768,245.985,4.608115847173361,27.15256149791907
Austria,AUT,2011,0.562251,3.324028,30.35120391,67.54353347,5.896686726,2.927,3.546,83.356,-0.29,6.807849591,1.602885246,1.376976848,100.5,1,48.859,308.167,-2.482,150.567,256.876,4.486379172721505,27.290538152839812
Austria,AUT,2012,0.555472,2.344618,29.97461644,68.05509537,5.902947492,0.628,2.568,82.935,0.068,7.432481496,1.560189724,1.517164707,99,1,49.577,316.589,-2.177,156.955,262.565,4.5283094983560925,27.835230743669875
Austria,AUT,2013,-0.353316,1.994957,30.11209687,69.53206754,5.900436934,-0.251,2.118,82.431,0.181,6.3847066,1.571379542,1.482213736,99.6,1,50.435,321.192,-1.993,161.993,264.761,4.3104986616437,28.405640618982371
Austria,AUT,2014,-1.032143,1.497526,30.37026593,70.86733273,5.907968801,0.756,1.463,85.21,0.108,6.794659509,1.552995682,1.482170105,99.1,1,50.473,330.113,-1.923,166.617,281.289,4.023933588255106,28.432296295757766
Austria,AUT,2015,-1.377173,0.754747,30.01437763,70.458014,5.920918685,1.303,0.812,85.615,1.387,5.966329447,1.450979114,1.390447021,100,1,50.739,342.084,-0.476,173.57,292.874,3.6717318039377993,28.726726077112751
Austria,AUT,2016,-1.45647,0.3755,29.85615396,68.77032379,5.941869809,2.117,0.972,83.419,0.232,6.109480562,1.4748106,1.428890109,100,1,49.188,355.666,-1.451,174.946,296.693,3.421566235667236,27.287174444991464
Austria,AUT,2017,-1.74238,0.586712,29.84765325,69.08674341,5.964337411,2.272,2.234,79.057,0.723,5.539586085,1.467751503,1.427861452,98.7,1,49.045,367.295,-0.776,180.141,290.373,3.0563767968192477,27.300817408572787
Austria,AUT,2018,-2.234364,0.675936,29.76770482,69.08810341,5.9888762,2.484,2.118,74.586,1.513,5.812692114,1.456116676,1.524036407,97.5,1,49.388,383.234,0.195,189.272,285.84,2.6686644529035393,27.579999384188575
Austria,AUT,2019,-2.082737,0.055963,29.82572508,68.61134092,6.006274339,1.755,1.497,71.006,1.712,5.817305166,1.492126226,1.446407318,97.4,1,49.61,395.707,0.536,196.311,280.975,2.3704898206006852,27.720362652347646
Austria,AUT,2020,-0.746605,0.147507,29.38090675,68.16719641,5.941007745,-6.318,1.389,83.183,-7.082,8.00371332,1.605863214,1.395227313,98.6,1,49.108,380.318,-8.204,186.768,316.36,2.284760120550623,26.511247564208784
