check,max_abs_difference,tolerance,passed
theta uses b_it*mA_hat + TA_hat,0,1.0000000e-10,1
b_it maps to debt/CurrentGDP,0,1.0000000e-10,1
delta_debt_lead formula,0,1.0000000e-10,1
J_readiness formula,0,1.0000000e-10,1
debt low hinge regressor,0,1.0000000e-10,1
debt high hinge regressor,0,1.0000000e-10,1
readiness low hinge regressor,0,1.0000000e-10,1
readiness high hinge regressor,0,1.0000000e-10,1
readiness low hinge at debt cutoff,0,1.0000000e-10,1
readiness high hinge at debt cutoff,0,1.0000000e-10,1
