model,moderator,point,percentile_order,moderator_value,mA,se,ci_low,ci_high,inference
Interact_all,b_pre,P10,1,.26,-.015565914,.042566653,-.098995022,.067863196,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P25,2,.3740800094604492,-.018209986,.041835066,-.10020521,.06378524,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P50,3,.5128249931335449,-.021425728,.041501105,-.1027664,.059914943,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P75,4,.7541400146484375,-.027018772,.042397127,-.11011562,.056078073,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P90,5,1.049420013427734,-.03386258,.045858487,-.12374356,.056018405,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P10,1,.0543535807728767,-.021716336,.040950026,-.10197691,.058544241,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P25,2,.0951075577735901,-.022294389,.041125357,-.10289861,.058309834,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P50,3,.1522520610105271,-.023104925,.041466229,-.10437724,.058167391,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P75,4,.2250918312072754,-.024138084,.042057466,-.1065692,.058293037,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P90,5,.3256138774710642,-.025563886,.043148845,-.11013407,.059006292,LSDVC bootstrap VCE (50 reps)
