equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dB/dA,P10,-.0356789209360816,.036755048,-.077143058,.028068304,-2.7484047,.0060690315,-.13220569,-.022080423
debt,dB/dA,P25,-.013802603284608,.036755048,-.053844515,.019591188,-2.7484047,.0060690315,-.092277281,-.015411751
debt,dB/dA,P50,.0150149067039751,.036755048,-.023153516,.0084243473,-2.7484047,.0060690315,-.03967987,-.0066271601
debt,dB/dA,Mean,.0523479225212335,.036755048,.00085542176,.0015513521,.551404,.58144879,-.0021879235,.0038987671
debt,dB/dA,Cutoff,.0367550469112803,.036755048,0,0,,,0,0
debt,dB/dA,P75,.0682171535108718,.036755048,.0017260043,.0031301992,.551404,.58144879,-.0044146241,.0078666322
debt,dB/dA,P90,.1627368952465654,.036755048,.0069113364,.012534071,.551404,.58144879,-.017677218,.031499889
ready,dA/dFT,P10,-.035925891518032,.025393939,-.078203149,.027481701,-2.8456445,.004498885,-.13211446,-.024291851
ready,dA/dFT,P25,-.0141292569039448,.025393939,-.050405204,.017713105,-2.8456445,.004498885,-.085153289,-.015657114
ready,dA/dFT,P50,.0142631689208448,.025393939,-.014195429,.0049884757,-2.8456445,.004498885,-.023981404,-.0044094543
ready,dA/dFT,Mean,.0514121923643207,.025393939,.00063575915,.0008982392,.70778382,.47920126,-.0011263313,.0023978497
ready,dA/dFT,Cutoff,.0253939386760797,.025393939,0,0,,,0,0
ready,dA/dFT,P75,.0637249124924412,.025393939,.00093662192,.0013233165,.70778382,.47920126,-.0016593494,.0035325934
ready,dA/dFT,P90,.1612931376312441,.025393939,.0033207133,.0046917056,.70778382,.47920126,-.0058830818,.012524508
ready_debt,dA/dFT,P10,-.035925891518032,.036755048,-.067488477,.025445098,-2.6523173,.008087473,-.11740454,-.017572412
ready_debt,dA/dFT,P25,-.0141292569039448,.036755048,-.047249034,.017814245,-2.6523173,.008087473,-.082195528,-.012302537
ready_debt,dA/dFT,P50,.0142631689208448,.036755048,-.020885017,.0078742523,-2.6523173,.008087473,-.036332063,-.0054379669
ready_debt,dA/dFT,Mean,.0514121923643207,.036755048,.00037201287,.00051855465,.71740347,.47324884,-.0006452442,.0013892699
ready_debt,dA/dFT,Cutoff,.0367550469112803,.036755048,0,0,,,0,0
ready_debt,dA/dFT,P75,.0637249124924412,.036755048,.00068452192,.00095416594,.71740347,.47324884,-.0011872809,.0025563247
ready_debt,dA/dFT,P90,.1612931376312441,.036755048,.0031609002,.0044060289,.71740347,.47324884,-.0054824781,.011804278
