model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
D1_core,debt,debt_kink_low,.320173382000198,.22735377,1.4082607,.15926738,-.12580256,.76614934,0
D1_core,debt,debt_kink_high,-.1307915668065437,.099301323,-1.317118,.1880063,-.32558051,.063997373,0
D1_core,debt,debt_gdp,.03110170828723,.026102521,1.1915213,.2336432,-.020100856,.082304277,0
D1_core,debt,vulnerability100,-.4878432571096839,.20583537,-2.3700652,.017914644,-.89160883,-.084077686,0
D2_macro,debt,debt_kink_low,.1814228529219756,.23389091,.77567297,.43806833,-.27737707,.64022279,0
D2_macro,debt,debt_kink_high,-.0589628130463186,.10230561,-.57634002,.56447464,-.25964528,.14171967,0
D2_macro,debt,debt_gdp,.0189245837019063,.026318816,.71905148,.4722248,-.032702353,.070551522,0
D2_macro,debt,vulnerability100,-.1807058870994178,.19122383,-.94499671,.34481767,-.55581015,.19439839,0
D2_macro,debt,growth,-.2274801624286187,.068490833,-3.3213227,.00091815525,-.36183164,-.093128681,0
D2_macro,debt,ln_currentgdp,.0184892151449039,.0085376324,2.1656139,.030502958,.0017418123,.035236619,0
D2_macro,debt,inflation_cpi,.1502760312466625,.08079157,1.8600458,.063080981,-.0082045579,.30875662,0
D3_full,debt,debt_kink_low,.1817215995511551,.233647,.77776128,.43683654,-.27660042,.64004362,0
D3_full,debt,debt_kink_high,-.0585328563447136,.10179757,-.57499272,.5653854,-.25821897,.14115328,0
D3_full,debt,debt_gdp,.0187732134816162,.026273232,.71453762,.47500974,-.032764368,.070310794,0
D3_full,debt,vulnerability100,-.1856173598569786,.19594115,-.94731176,.34363768,-.56997555,.19874085,0
D3_full,debt,growth,-.2276565573850365,.068540365,-3.3214962,.00091761939,-.36210534,-.093207769,0
D3_full,debt,ln_currentgdp,.0183754168948041,.0087143602,2.1086364,.035147,.0012813254,.03546951,0
D3_full,debt,inflation_cpi,.1502932356652563,.083201319,1.8063805,.071066044,-.012914491,.31350097,0
D3_full,debt,reserves,-.0033607951073857,.017270222,-.19460057,.84573293,-.037238069,.030516479,0
D3_full,debt,tt,-.0000358806726362,.011086452,-.0032364433,.99741817,-.021783067,.021711307,0
R1_core,ready,ready_kink_low,-.8377889292474936,.34088999,-2.4576519,.014099145,-1.5064694,-.16910847,0
R1_core,ready,ready_kink_high,.0398187547018284,.041025288,.97059053,.33191127,-.040655322,.12029283,0
R1_core,ready,readiness_lag,-.1521677948529432,.025953449,-5.8631048,5.5959393e-09,-.20307736,-.10125823,0
R1_core,ready,vulnerability100,-.0709214193425565,.03999779,-1.7731334,.07641279,-.14937998,.0075371489,0
R2_macro,ready,ready_kink_low,-.7965490418460128,.33752578,-2.3599648,.018406449,-1.4586315,-.13446662,0
R2_macro,ready,ready_kink_high,.0560375436669903,.042723287,1.3116393,.18984625,-.027767422,.13984251,0
R2_macro,ready,readiness_lag,-.1537750999245538,.026904711,-5.7155452,1.3214459e-08,-.20655073,-.10099947,0
R2_macro,ready,vulnerability100,-.1030878922723976,.042482536,-2.4265945,.015360611,-.1864206,-.019755175,0
R2_macro,ready,growth,.0216726699197604,.014022904,1.5455194,.12243548,-.0058343187,.049179658,0
R2_macro,ready,ln_currentgdp,-.0016342714624673,.0014253495,-1.1465759,.25174314,-.0044302023,.0011616596,0
R2_macro,ready,inflation_cpi,-.0023639592881947,.0082386071,-.28693676,.7742011,-.018524611,.013796693,0
R3_full,ready,ready_kink_low,-.8318278397705098,.32952812,-2.5242999,.011697389,-1.478223,-.1854327,0
R3_full,ready,ready_kink_high,.0509265238358972,.043571591,1.1688011,.24267316,-.034542553,.1363956,0
R3_full,ready,readiness_lag,-.1550143742118845,.027057659,-5.7290387,1.2229531e-08,-.20809008,-.10193866,0
R3_full,ready,vulnerability100,-.10457033467155,.043820351,-2.3863418,.01714273,-.19052736,-.018613301,0
R3_full,ready,growth,.0223950082741081,.013873992,1.6141719,.10670462,-.0048199091,.049609926,0
R3_full,ready,ln_currentgdp,-.0011180238527882,.0013894909,-.80462843,.42116418,-.0038436186,.0016075709,0
R3_full,ready,inflation_cpi,-.0038644014130594,.0078146094,-.49450988,.62101996,-.019193366,.011464564,0
R3_full,ready,reserves,.0017642883194652,.0051774108,.34076652,.73332804,-.0083916076,.011920184,0
R3_full,ready,tt,-.0039110017431482,.0034567334,-1.1314155,.25806466,-.010691654,.0028696503,0
