equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dDeltaDebt/dA,P10,-.0555180619334088,-.055390075,.000020077054,.000035992154,.55781752,.57705492,-.000050525083,.00009067919
debt,dDeltaDebt/dA,P25,.0002155239859706,-.055390075,-.0075797611,.0037937793,-1.9979447,.045908775,-.015021631,-.00013789131
debt,dDeltaDebt/dA,P50,.055456196403725,-.055390075,-.015109777,.0075626606,-1.9979447,.045908775,-.029944679,-.00027487768
debt,dDeltaDebt/dA,Mean,.0595678106839735,-.055390075,-.015670244,.0078431824,-1.9979447,.045908775,-.031055413,-.00028507371
debt,dDeltaDebt/dA,Cutoff,-.0553900755177519,-.055390075,0,0,,,0,0
debt,dDeltaDebt/dA,P75,.1001015358966151,-.055390075,-.021195514,.010608659,-1.9979447,.045908775,-.042005438,-.00038558964
debt,dDeltaDebt/dA,P90,.1587014951152211,-.055390075,-.029183445,.014606733,-1.9979447,.045908775,-.057835985,-.00053090637
ready,dJ/dFT,P10,-.0534810894640075,.14703447,.142473,.042467747,3.3548517,.00081427244,.059169244,.22577675
ready,dJ/dFT,P25,.0023464917075155,.14703447,.10280564,.030643867,3.3548517,.00081427244,.042695332,.16291593
ready,dJ/dFT,P50,.0577316304212838,.14703447,.063452646,.018913696,3.3548517,.00081427244,.026351977,.10055331
ready,dJ/dFT,Mean,.0617674006000102,.14703447,.060585096,.018058948,3.3548517,.00081427244,.02516108,.096009113
ready,dJ/dFT,Cutoff,.1470344635044541,.14703447,0,0,,,0,0
ready,dJ/dFT,P75,.1026906477208064,.14703447,.03150776,.0093916999,3.3548517,.00081427244,.01308522,.049930304
ready,dJ/dFT,P90,.1629476866140094,.14703447,.0012136288,.00092681957,1.3094553,.19058453,-.00060439907,.0030316566
