equation,variable,missing_total,missing_rate,exclusive_loss
debt,b_outcome,166,9.0859337,60
debt,readiness_delta100,58,3.1746032,0
debt,theta_hat_A,150,8.2101803,0
debt,debt_gdp,103,5.6376572,0
debt,mA_hat,150,8.2101803,0
debt,YA_hat,58,3.1746032,0
debt,debt_gdp_mA_hat,150,8.2101803,0
debt,vulnerability_delta100,58,3.1746032,0
debt,growth,5,.2736727,0
debt,ln_constantgdp,2,.10946908,0
debt,inflation_cpi,7,.38314176,2
debt,reserves,70,3.8314176,26
debt,tt,222,12.151068,148
ready,A_outcome,119,6.5134101,10
ready,interest_revenue,141,7.7175698,34
ready,theta_hat_A,150,8.2101803,9
ready,vulnerability_delta100,58,3.1746032,0
ready,growth,5,.2736727,0
ready,ln_constantgdp,2,.10946908,0
ready,inflation_cpi,7,.38314176,1
ready,reserves,70,3.8314176,27
ready,tt,222,12.151068,120
