model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
DN1_core,debt,debt_kink_low,.7773924562463265,.20576502,3.7780592,.0001649716,.37373662,1.1810483,0
DN1_core,debt,debt_kink_high,-.4828034470241864,.11545328,-4.181808,.000030793835,-.70929182,-.25631505,0
DN1_core,debt,vulnerability100,.0436591923863412,.21569611,.20241067,.83962637,-.37947875,.46679714,0
DN2_macro,debt,debt_kink_low,.8369164956556958,.19298097,4.3367825,.000015540383,.45833904,1.2154939,0
DN2_macro,debt,debt_kink_high,-.4918181931154262,.11303067,-4.351192,.000014566527,-.71355438,-.270082,0
DN2_macro,debt,vulnerability100,.2056124028938471,.21358943,.96265256,.33589548,-.21339336,.62461817,0
DN2_macro,debt,growth,-.4390435446786753,.071540713,-6.1369743,1.1054114e-09,-.57938743,-.29869965,0
DN2_macro,debt,inflation_cpi,-.1449872575231763,.070787638,-2.0482001,.040734764,-.28385383,-.0061206985,0
DN3_full,debt,debt_kink_low,.8281646284633883,.1929024,4.2931795,.000018881992,.44974083,1.2065884,0
DN3_full,debt,debt_kink_high,-.4726190171910415,.11294309,-4.1845765,.000030431385,-.69418371,-.25105435,0
DN3_full,debt,vulnerability100,.2424962184088915,.21210691,1.1432736,.25312939,-.17360181,.65859425,0
DN3_full,debt,growth,-.4384715407493014,.071371675,-6.1434956,1.0625715e-09,-.578484,-.29845908,0
DN3_full,debt,inflation_cpi,-.1375558577618652,.071144938,-1.9334595,.053390194,-.27712354,.0020118179,0
DN3_full,debt,reserves,-.0076547248670183,.01700145,-.45023954,.6526106,-.041007102,.025697652,0
DN3_full,debt,tt,.018316624344979,.0097881882,1.8712988,.061521593,-.00088522834,.037518475,0
RN1_core,ready,ready_kink_low,-5.685658177119072,.7335943,-7.750412,1.7757917e-14,-7.1247497,-4.2465668,0
RN1_core,ready,ready_kink_high,.0980401287116682,.086959079,1.1274284,.25975913,-.072547458,.2686277,0
RN1_core,ready,vulnerability100,.2299795149862831,.11124691,2.0672891,.038894638,.011746502,.44821253,0
RN2_macro,ready,ready_kink_low,-5.656219054617835,.74907637,-7.5509243,7.8684807e-14,-7.1256838,-4.1867542,0
RN2_macro,ready,ready_kink_high,.1224022923056716,.093261927,1.3124573,.18958637,-.060549829,.30535442,0
RN2_macro,ready,vulnerability100,.2307013457841909,.11292648,2.0429342,.041250553,.0091732377,.45222944,0
RN2_macro,ready,growth,.0219967036474172,.035008471,.62832516,.52989602,-.046679493,.090672903,0
RN2_macro,ready,inflation_cpi,-.0074886868824587,.026131473,-.28657728,.77447945,-.058750857,.043773483,0
RN3_full,ready,ready_kink_low,-5.782224571293338,.73600864,-7.8561912,7.9725553e-15,-7.2260561,-4.3383927,0
RN3_full,ready,ready_kink_high,.0786826334631557,.090520091,.86922836,.38487515,-.098891057,.25625631,0
RN3_full,ready,vulnerability100,.1654911346288808,.11565927,1.4308506,.15270209,-.061398201,.39238048,0
RN3_full,ready,growth,.0240055204581458,.034718417,.69143474,.48941004,-.044101764,.092112802,0
RN3_full,ready,inflation_cpi,-.0131736379349096,.025796287,-.5106796,.60965806,-.063778333,.037431061,0
RN3_full,ready,reserves,-.0116514315580424,.0060571786,-1.9235741,.054615915,-.023533827,.00023096391,0
RN3_full,ready,tt,-.0177619081674335,.00669719,-2.6521432,.0080910027,-.030899817,-.0046239989,0
RDN1_core,ready_debt,ready_debt_kink_low,-5.545748479839517,.71672374,-7.737637,1.9553142e-14,-6.951745,-4.1397519,0
RDN1_core,ready_debt,ready_debt_kink_high,.1003947377286704,.087091841,1.1527456,.24921618,-.070453286,.27124277,0
RDN1_core,ready_debt,vulnerability100,.2346707311438329,.11119333,2.1104748,.034998585,.016542818,.45279863,0
RDN2_macro,ready_debt,ready_debt_kink_low,-5.517246218570528,.73184323,-7.538836,8.6012570e-14,-6.9529047,-4.0815878,0
RDN2_macro,ready_debt,ready_debt_kink_high,.1243065278777668,.093447261,1.3302319,.18366393,-.059009172,.30762222,0
RDN2_macro,ready_debt,vulnerability100,.2352763468844947,.11285262,2.0848107,.03727182,.013893129,.45665956,0
RDN2_macro,ready_debt,growth,.0217820320575748,.035028163,.62184346,.53414857,-.046932787,.090496853,0
RDN2_macro,ready_debt,inflation_cpi,-.0071894037887567,.026022686,-.27627447,.78237903,-.058238164,.043859355,0
RDN3_full,ready_debt,ready_debt_kink_low,-5.635511444785291,.71964562,-7.8309531,9.6639073e-15,-7.0472436,-4.2237792,0
RDN3_full,ready_debt,ready_debt_kink_high,.0805561545842651,.090738744,.88778126,.37481496,-.097446464,.25855878,0
RDN3_full,ready_debt,vulnerability100,.1706876380191187,.11564681,1.475939,.14019108,-.056177258,.39755252,0
RDN3_full,ready_debt,growth,.02378300763777,.034740098,.68459821,.4937138,-.044366803,.091932818,0
RDN3_full,ready_debt,inflation_cpi,-.0128289800256653,.025687164,-.49943155,.61755598,-.063219614,.037561651,0
RDN3_full,ready_debt,reserves,-.0117416066485022,.0060734148,-1.9332792,.053408548,-.023655852,.00017263989,0
RDN3_full,ready_debt,tt,-.0176158335067489,.0067183087,-2.6220636,.0088371979,-.030795172,-.0044364952,0
