specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_no_b,debt,b_outcome,dependent_variable,1433,.0076921424,.063528948,-.54166001,-.044179991,-.020649986,.0019499969,.028070031,.069209978,.41863
debt_no_b,debt,debt_kink_low,regressor,1433,.00041454495,.0015251534,0,0,0,0,0,.000093172799,.01313857
debt_no_b,debt,debt_kink_high,regressor,1433,.046618037,.081687532,0,0,.010172476,.020803694,.046589419,.1108442,.76115257
debt_no_b,debt,vulnerability100,regressor,1433,.38272688,.07859721,.25103006,.29944953,.31737366,.36843213,.43425024,.50266796,.58079988
debt_no_b,debt,inflation_cpi,regressor,1433,.046174221,.054157615,-.017680001,.0051799999,.016070001,.031400003,.061469998,.09939,.72300005
debt_no_b,debt,reserves,regressor,1433,.054564226,.13415645,2.4124340e-06,.00018522296,.00192782,.015149079,.051256791,.096768454,1.5270723
debt_no_b,debt,tt,regressor,1433,1.0088556,.18264569,.31876099,.861,.94199997,.99419737,1.044381,1.1442649,2.7307551
debt_no_b,debt,readiness100,construction_input,1433,.5057103,.14616267,.20213045,.32371673,.37362185,.49937156,.63150978,.70977265,.80720198
debt_no_b,debt,theta_hat_A,construction_input,1433,.052347921,.13540266,-.058673277,-.035678919,-.013802603,.015014906,.068217151,.16273689,1.4361562
debt_no_b,debt,debt_gdp,construction_input,1433,.58240098,.3515889,.039009999,.22127001,.35613999,.50641996,.72735,1.0273499,2.6096399
debt_no_b,debt,mA_hat,construction_input,1433,.090026654,.082486235,-.041831486,.0044428553,.035950355,.072979786,.12412117,.19588417,.55028826
debt_no_b,debt,TA_hat,construction_input,1433,-.028983915,.019711429,-.062012218,-.049869075,-.045373876,-.032568906,-.016062357,.001096159,.020690894
debt_no_b,debt,bmA_hat,construction_input,1433,.081331834,.13642664,-.003735787,.0010909954,.012806898,.037031498,.08964707,.20124161,1.4360541
ready_no_lag_debt_cutoff,ready_debt,A_outcome,dependent_variable,1458,.50293446,.14417267,.20213045,.3189573,.37257805,.49654025,.62532258,.70534635,.7973066
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_low,regressor,1458,1.8344052e-06,.000058920075,-.00069668354,0,0,0,0,0,.00036120639
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_high,regressor,1458,.0093272002,.017341189,-.0058116391,0,.00053601421,.0032095429,.010157911,.026166039,.21801707
ready_no_lag_debt_cutoff,ready_debt,vulnerability100,regressor,1458,.38168269,.079244092,.25103006,.29767704,.31682917,.36729085,.43431091,.50286788,.58079988
ready_no_lag_debt_cutoff,ready_debt,inflation_cpi,regressor,1458,.048247498,.056359224,-.017680001,.0063099996,.01708,.033085,.063500002,.10331,.72300005
ready_no_lag_debt_cutoff,ready_debt,reserves,regressor,1458,.045100722,.11463869,2.4124340e-06,.00018343164,.001856312,.014635145,.05002483,.087476216,1.5270723
ready_no_lag_debt_cutoff,ready_debt,tt,regressor,1458,1.009125,.18310106,.31876099,.86093801,.94099998,.99447137,1.044381,1.146,2.7307551
ready_no_lag_debt_cutoff,ready_debt,interest_revenue,construction_input,1458,.08565601,.097918935,-.069005318,.0053775138,.02591107,.056718573,.11015784,.20946756,.79869783
ready_no_lag_debt_cutoff,ready_debt,theta_hat_A,construction_input,1458,.051233336,.13642187,-.058673277,-.03581943,-.014145505,.014263169,.063831344,.16018289,1.4361562
