cutoff,rss,N,low_n,high_n
-.0326250808135956,3.5902927,1433,145,1288
-.0326166007112516,3.5902925,1433,145,1288
-.0325094020092556,3.5902829,1433,147,1286
-.0323650639470659,3.5902798,1433,147,1286
-.0323534805928236,3.5902793,1433,148,1285
-.0322951954980723,3.5902798,1433,150,1283
-.032203926887558,3.5902841,1433,151,1282
-.0319663310203358,3.5902991,1433,151,1281
-.0318001001769393,3.5902908,1433,152,1280
-.0317639260133677,3.5902886,1433,154,1279
-.0317165543530473,3.5902867,1433,155,1278
-.0312452399039829,3.5903215,1433,156,1277
-.0311768440678338,3.5903308,1433,157,1276
-.0311630802975944,3.590333,1433,157,1276
-.0311225903543024,3.5903475,1433,158,1275
-.0310629508962468,3.5903659,1433,159,1273
-.0310121372851004,3.5903823,1433,161,1272
-.0309584159209261,3.5903969,1433,162,1271
-.0308625879774969,3.5904233,1433,163,1270
-.0307638236367251,3.5904508,1433,164,1269
-.0307264940538586,3.5904579,1433,165,1268
-.0307240872360553,3.5904584,1433,165,1268
-.0306553469987066,3.5904684,1433,166,1267
-.0305853878632923,3.5904758,1433,167,1266
-.0305765348913557,3.5904765,1433,169,1264
-.030529777983849,3.5904844,1433,170,1263
-.0303860660114109,3.5905092,1433,170,1263
-.0303764662349296,3.5905108,1433,171,1262
-.0303762164258135,3.5905108,1433,172,1260
-.0303132533252434,3.590523,1433,174,1259
-.0302934404752563,3.5905266,1433,175,1258
-.0302423289665579,3.5905406,1433,175,1257
-.0302321911941434,3.5905437,1433,176,1257
-.0302317635844009,3.590544,1433,177,1256
-.0301796031975752,3.5905612,1433,179,1254
-.0301769507293094,3.5905614,1433,179,1254
-.0300606499304474,3.5906155,1433,181,1252
-.0300182703664224,3.5906372,1433,182,1251
-.0300062188921958,3.5906432,1433,182,1251
-.0299535582284138,3.5906689,1433,184,1249
-.0299397593553779,3.5906758,1433,184,1249
-.0298597645837925,3.5907116,1433,185,1248
-.0297881371961631,3.5907385,1433,186,1247
-.0297620139448194,3.5907488,1433,188,1245
-.0297594231595545,3.5907497,1433,188,1245
-.0297409628455371,3.5907571,1433,190,1243
-.0295875992837392,3.5908148,1433,190,1243
-.0295600831377743,3.5908246,1433,191,1242
-.0290929140427864,3.591007,1433,192,1240
-.0290299087062582,3.5910344,1433,194,1239
-.0288378531735882,3.5911062,1433,194,1239
-.0287635934554984,3.5911448,1433,196,1237
-.0285042255474115,3.5912919,1433,196,1237
-.0284731974675537,3.5913076,1433,197,1236
-.0282725044368201,3.5914116,1433,199,1234
-.0278163423501037,3.5916164,1433,199,1234
-.0277493933708185,3.5916421,1433,201,1232
-.0276540093941752,3.5916791,1433,201,1232
-.0274825795438531,3.5917487,1433,203,1230
-.0274619979497706,3.5917566,1433,203,1230
-.0273482154099275,3.5917995,1433,204,1229
-.0272822632080342,3.5918226,1433,205,1228
-.0272499839171001,3.5918343,1433,206,1227
-.0272438444532229,3.5918362,1433,208,1225
-.0272381953628827,3.5918379,1433,208,1225
-.0271518665570062,3.591866,1433,210,1223
-.0270992980185317,3.5918865,1433,210,1223
-.0270924122887007,3.5918896,1433,211,1222
-.0270818471801149,3.5918951,1433,212,1220
-.0270736352860644,3.5918999,1433,213,1220
-.0268261806681957,3.5920539,1433,215,1218
-.0266958797711726,3.5921304,1433,216,1217
-.0265300945299843,3.592231,1433,216,1217
-.0265291715918333,3.5922315,1433,217,1216
-.02648077206554,3.5922608,1433,219,1214
-.0264657371211986,3.5922682,1433,219,1214
-.0263505392129132,3.5923214,1433,220,1213
-.0261345454596843,3.5924234,1433,221,1212
-.0258304618236981,3.5925467,1433,222,1211
-.0257387200996529,3.5925813,1433,224,1209
-.0256153801578515,3.5926278,1433,224,1209
-.0256146985316449,3.5926278,1433,226,1207
-.0256142925992933,3.592628,1433,226,1207
-.0253989834072717,3.592685,1433,228,1205
-.0251408290437613,3.592767,1433,228,1205
-.0250977000443651,3.5927796,1433,230,1203
-.0250906545398706,3.5927813,1433,230,1202
-.0250383761107342,3.5927918,1433,232,1201
-.0249878196098352,3.5928006,1433,233,1200
-.0249788906141195,3.592803,1433,233,1200
-.024859891695147,3.5928366,1433,235,1198
-.0247323356852042,3.5928674,1433,235,1198
-.0244739433399267,3.5929155,1433,236,1197
-.0244031714413923,3.592927,1433,237,1195
-.0244013515521097,3.5929272,1433,239,1194
-.0243674461040521,3.5929332,1433,240,1193
-.0242609364103273,3.5929537,1433,240,1193
-.024086913355868,3.5929835,1433,241,1192
-.024083923053608,3.5929837,1433,243,1190
-.0240228759076892,3.5929828,1433,244,1189
-.0240195215059161,3.5929828,1433,244,1189
-.0239145040383523,3.592977,1433,245,1188
-.0237980329304947,3.592967,1433,247,1186
-.0237529500009467,3.5929651,1433,247,1186
-.0236141953552587,3.5929604,1433,249,1184
-.0236035411799827,3.5929601,1433,249,1184
-.023412814562724,3.5929677,1433,251,1182
-.0233676037195577,3.5929673,1433,251,1182
-.0232359752973621,3.5929673,1433,253,1180
-.0228419738081514,3.5929799,1433,253,1180
-.022438253796744,3.5929956,1433,255,1178
-.0223185731706051,3.5930002,1433,255,1178
-.0222942966506015,3.5930014,1433,257,1176
-.022190974197046,3.5930045,1433,257,1176
-.022064693845287,3.5930099,1433,258,1175
-.0220451614973623,3.5930109,1433,259,1174
-.0219841779403375,3.5930135,1433,260,1173
-.0219820950249133,3.5930135,1433,261,1172
-.0219281349274229,3.5930135,1433,262,1171
-.0217855864613534,3.5930164,1433,263,1170
-.0216549264788841,3.5930204,1433,264,1169
-.021591267724552,3.5930204,1433,266,1167
-.021578983997181,3.5930202,1433,266,1167
-.0215112952172233,3.5930202,1433,267,1166
-.0215016603883866,3.5930197,1433,268,1165
-.0214951765941579,3.5930195,1433,270,1163
-.0214408149641129,3.5930171,1433,270,1163
-.0214390716771544,3.5930171,1433,272,1161
-.0214351598259607,3.5930169,1433,273,1160
-.0214264299763942,3.5930166,1433,274,1159
-.0211814203847911,3.5930116,1433,274,1159
-.0209701423129707,3.5930035,1433,276,1157
-.0208373942754476,3.5929976,1433,276,1157
-.0207967753516732,3.5929942,1433,277,1156
-.0207173525564599,3.5929902,1433,278,1155
-.0206697049933032,3.5929875,1433,279,1153
-.0206371736270052,3.5929861,1433,281,1152
-.0206090669603076,3.5929821,1433,281,1151
-.0204119579192484,3.5929563,1433,282,1151
-.0203135316343434,3.5929461,1433,283,1150
-.0202962017246633,3.5929449,1433,284,1148
-.0202418854706908,3.5929413,1433,285,1147
-.0199024292923037,3.5929253,1433,286,1147
-.0198889031358937,3.5929253,1433,288,1145
-.0198724223818562,3.5929255,1433,289,1144
-.0197297462151532,3.592926,1433,289,1144
-.0197034933835849,3.5929265,1433,291,1142
-.0196553459838667,3.5929272,1433,292,1141
-.0196290092635729,3.5929277,1433,293,1140
-.0195577627072448,3.5929253,1433,294,1139
-.0195469035451356,3.5929251,1433,294,1139
-.0195162851100587,3.5929255,1433,296,1137
-.0194677473662078,3.5929282,1433,296,1137
-.0193920869223159,3.5929325,1433,298,1135
-.0192082292839217,3.5929415,1433,298,1135
-.0191471119752738,3.5929468,1433,299,1134
-.0191054484974815,3.5929501,1433,300,1133
-.0188827565458083,3.5929625,1433,301,1132
-.0188519364742877,3.5929637,1433,303,1130
-.0188115668401263,3.5929658,1433,303,1130
-.0187356384224494,3.5929697,1433,304,1128
-.0185337865474125,3.5929759,1433,305,1128
-.0184629264964052,3.5929785,1433,306,1127
-.0183117984972061,3.5929825,1433,307,1126
-.0182458469517004,3.5929842,1433,308,1125
-.0180405911488326,3.5929921,1433,309,1124
-.0179207366805836,3.5929961,1433,310,1123
-.0178472079798056,3.5929999,1433,311,1121
-.0177942107889916,3.5930004,1433,312,1121
-.0176130973857868,3.5929995,1433,314,1119
-.0176114968914971,3.5929995,1433,314,1119
-.0176062443303019,3.5929995,1433,315,1118
-.017581924003571,3.5929995,1433,316,1117
-.0173458089034806,3.5930028,1433,317,1116
-.0173345829554529,3.5930033,1433,319,1114
-.0173043548753533,3.5930047,1433,319,1114
-.0172855566466593,3.5930059,1433,320,1113
-.0172666820502851,3.5930071,1433,321,1112
-.017181258914944,3.5930147,1433,322,1111
-.0169851958726506,3.5930347,1433,323,1110
-.0169525731266447,3.5930345,1433,325,1108
-.0168756768825947,3.5930333,1433,326,1107
-.0167617847531019,3.5930307,1433,326,1107
-.0165025839225157,3.593024,1433,327,1106
-.0163200283116108,3.5930133,1433,329,1104
-.0163090473242519,3.5930128,1433,329,1104
-.0162368296671002,3.5930111,1433,330,1103
-.0162342206472381,3.5930111,1433,332,1101
-.0161279829833702,3.5930033,1433,333,1100
