cutoff,rss,N,low_n,high_n
-.0157623069664328,.44780755,1571,159,1412
-.0156467711890853,.44780967,1571,159,1412
-.0155871987294682,.44781083,1571,161,1410
-.0155421334465056,.44781214,1571,161,1410
-.015424992287531,.44781539,1571,162,1409
-.0153677828720538,.44781697,1571,163,1408
-.0152793519157194,.44781929,1571,164,1407
-.0151973581785958,.44782099,1571,165,1406
-.0149742498736221,.44782579,1571,167,1404
-.0149328891193915,.44782668,1571,168,1403
-.0148391841150422,.44782993,1571,169,1402
-.0148242629658928,.44783035,1571,170,1401
-.0147565672217576,.44783133,1571,170,1401
-.0147172223879874,.44783205,1571,172,1399
-.0145317805697389,.44783518,1571,172,1399
-.0144949334221857,.44783577,1571,174,1397
-.0144386722753504,.4478367,1571,175,1396
-.0143967568987629,.44783738,1571,176,1395
-.014313969512227,.44783875,1571,176,1395
-.0143132646649099,.44783875,1571,177,1394
-.014274656098142,.44783947,1571,179,1392
-.014036478223035,.44784513,1571,180,1391
-.0138995189649393,.4478485,1571,181,1390
-.0138361629890136,.44785023,1571,181,1390
-.0137863725850855,.44785157,1571,182,1389
-.0137186589073526,.44785336,1571,183,1388
-.0136239197161588,.44785538,1571,185,1386
-.0136234796289471,.44785538,1571,186,1385
-.0134204695563032,.44785944,1571,186,1385
-.0133894329735903,.44786006,1571,187,1384
-.0133439025318313,.44786099,1571,188,1382
-.0133324881070779,.44786122,1571,189,1382
-.0131458460689117,.4478648,1571,191,1380
-.0131036875295443,.44786561,1571,191,1380
-.0127166705820575,.44787288,1571,192,1379
-.0125625744430384,.44787586,1571,194,1377
-.0125134362645534,.44787681,1571,194,1377
-.0123326699339747,.44788027,1571,195,1376
-.0122954540022609,.44788095,1571,196,1375
-.0121110233040808,.44788453,1571,198,1373
-.0119833299647711,.44788697,1571,198,1373
-.0117990521416826,.44789043,1571,200,1371
-.0117796218197604,.44789076,1571,200,1371
-.0117033404294267,.44789207,1571,201,1370
-.0114475003917173,.44789648,1571,202,1369
-.0114361460303089,.44789666,1571,203,1368
-.011194246110909,.44790092,1571,204,1367
-.0111886136495744,.44790104,1571,205,1366
-.011174081368693,.44790128,1571,206,1365
-.011064597272053,.44790313,1571,207,1364
-.0110413737087064,.44790345,1571,208,1363
-.0107544044137774,.44790757,1571,209,1362
-.0106851666578528,.44790831,1571,210,1361
-.0105094944955734,.44791025,1571,211,1360
-.010156670279848,.44791403,1571,212,1359
-.009945603580722,.4479163,1571,213,1358
-.009768612370502,.44791815,1571,215,1356
-.0097294501575001,.44791856,1571,215,1356
-.0095772380202783,.44792026,1571,216,1355
-.0094378550307213,.44792193,1571,217,1354
-.0092252470730515,.44792444,1571,218,1353
-.0091385277754705,.44792542,1571,220,1351
-.0091343795743927,.44792545,1571,221,1350
-.0089938390898202,.44792664,1571,222,1349
-.0088648439364085,.44792736,1571,223,1348
-.0086964812385649,.44792828,1571,223,1348
-.0086426257315028,.44792864,1571,225,1346
-.0086016071489682,.44792894,1571,226,1345
-.0084512310167082,.44792977,1571,226,1345
-.0083997216855318,.44793013,1571,228,1343
-.0083240272879345,.44793063,1571,229,1342
-.008290405223068,.44793093,1571,229,1342
-.0080823354995574,.44793287,1571,231,1340
-.0079172510111896,.44793469,1571,232,1339
-.0078816402654182,.44793507,1571,233,1338
-.0077309898981129,.44793603,1571,234,1337
-.0077026196414248,.44793621,1571,234,1337
-.0075251455581726,.44793734,1571,235,1336
-.0073693932440077,.44793829,1571,237,1334
-.0068505106177952,.44794136,1571,237,1334
-.0066754614072725,.44794157,1571,238,1333
-.0066170248546803,.44794163,1571,240,1331
-.0065614431027471,.44794172,1571,241,1330
-.0065321822097657,.4479419,1571,241,1330
-.0060268362009004,.44794565,1571,243,1328
-.005474006182803,.44794965,1571,243,1328
-.0050624098027607,.44795296,1571,245,1326
-.005054273151871,.44795302,1571,246,1325
-.0049478402271444,.44795385,1571,247,1324
-.0046731810714332,.44795612,1571,248,1323
-.004406794980347,.44795823,1571,248,1323
-.0043887288632637,.44795835,1571,249,1322
-.0043016247408553,.44795889,1571,251,1320
-.0041132786757448,.44795993,1571,252,1319
-.004070974983143,.44796011,1571,253,1318
-.0040262348796085,.44796023,1571,253,1318
-.0037870261849953,.44796082,1571,254,1317
-.0037739861688752,.44796085,1571,256,1315
-.0037683039438459,.44796088,1571,256,1315
-.0036727422825801,.44796133,1571,258,1313
-.003654374389777,.44796139,1571,258,1313
-.0034608167442444,.44796199,1571,260,1311
-.0034248463001258,.44796208,1571,261,1310
-.0033471858847544,.44796234,1571,261,1310
-.0033433903579248,.44796237,1571,263,1308
-.0032956456045735,.44796255,1571,263,1308
-.0031950416338116,.44796297,1571,264,1307
-.0031516475872214,.44796315,1571,265,1306
-.0030679729284846,.44796357,1571,266,1305
-.0030506242345124,.44796365,1571,268,1303
-.0028680016546209,.44796497,1571,268,1303
-.0028242333149617,.44796535,1571,270,1301
-.0027687414948046,.44796586,1571,271,1300
-.0026040600328483,.44796726,1571,272,1299
-.0022741984473682,.44796994,1571,273,1298
-.0022202439684116,.44797039,1571,274,1297
-.0021926398043416,.44797063,1571,274,1297
-.0021613870472452,.44797087,1571,275,1296
-.0020944143569593,.4479714,1571,277,1294
-.0020591022543959,.44797167,1571,277,1294
-.0020195200315291,.44797203,1571,278,1293
-.001982957744418,.4479723,1571,279,1291
-.0019321841513762,.44797257,1571,280,1291
-.0017415757622906,.44797361,1571,281,1290
-.0017247858762089,.4479737,1571,282,1289
-.0017218302760472,.44797373,1571,283,1288
-.0016859210562733,.447974,1571,285,1286
-.0015378482440518,.4479751,1571,285,1286
-.0015086644800841,.44797537,1571,286,1285
-.001359937386429,.44797662,1571,287,1284
-.0013394883800006,.44797683,1571,288,1283
-.0011506347284915,.44797856,1571,289,1282
-.0009995684898833,.44797993,1571,291,1280
-.0009932171807986,.44797996,1571,292,1279
-.0009643364922864,.44798011,1571,292,1279
-.0009272081999751,.4479802,1571,294,1277
-.0006867007142323,.44798115,1571,294,1277
-.0005333023781003,.44798183,1571,295,1276
-.0003727390655405,.44798252,1571,296,1275
-.0003645591090774,.44798255,1571,297,1274
-.0002850573047978,.44798288,1571,299,1272
-.000231488100711,.44798312,1571,300,1271
-.0001903080884918,.44798321,1571,301,1270
-.0001880711952649,.44798321,1571,301,1270
-.000144658336503,.44798335,1571,302,1269
-.0000993680251083,.4479835,1571,304,1267
.0000670726650639,.44798383,1571,304,1267
.0002300199443115,.44798407,1571,305,1266
.0003756515764055,.44798416,1571,306,1265
.0004645015830397,.44798425,1571,308,1263
.0006075478544832,.44798428,1571,308,1263
.0007211053325222,.44798434,1571,310,1261
.0007345247810658,.44798434,1571,310,1261
.0008909290202799,.44798446,1571,312,1259
.0009079345604271,.44798446,1571,312,1259
.0009467898555723,.44798446,1571,313,1258
.0012291898234463,.44798413,1571,314,1257
.0012976003979463,.44798419,1571,316,1255
.0015999181813538,.44798505,1571,316,1255
.0017670133430747,.44798565,1571,317,1254
.0018142663079642,.4479855,1571,318,1253
.0021038181037942,.44798464,1571,319,1252
.0021203555068108,.44798461,1571,321,1250
.0022912675137088,.44798419,1571,321,1250
.0023470010163427,.4479841,1571,322,1249
.0025748188838135,.4479838,1571,323,1248
.0026435389059998,.44798371,1571,324,1247
.0027108395089742,.44798365,1571,325,1246
.0027442908583978,.44798359,1571,326,1245
.0028198729746289,.44798353,1571,328,1243
.0029119901676787,.44798332,1571,329,1242
.0029166290278371,.44798332,1571,329,1242
.0029586645242912,.44798324,1571,331,1240
.00300294796693,.44798315,1571,332,1239
.0030362530818184,.44798309,1571,333,1238
.0033599756115189,.4479824,1571,334,1237
.0035199314989581,.4479821,1571,334,1237
.003604017809411,.44798172,1571,336,1235
.0036348082563287,.44798157,1571,336,1235
.0037972793061533,.447981,1571,337,1234
.0038433248895456,.44798079,1571,339,1232
.0038934704226582,.44798061,1571,339,1232
.0041783170835464,.44797969,1571,341,1230
.0045285636251153,.44798073,1571,342,1229
.0045537233462318,.44798082,1571,343,1228
.0047957075069391,.44798177,1571,343,1228
.0050138331625075,.44798261,1571,345,1226
.0050200146954438,.44798264,1571,346,1225
.0054364649610382,.44798371,1571,346,1225
.0056674941523918,.44798428,1571,347,1224
.0058001170305365,.4479847,1571,348,1223
.0058788158368993,.44798508,1571,349,1222
.0058982071757411,.44798517,1571,350,1221
.0059289842924319,.44798532,1571,351,1219
.0059592148073976,.44798547,1571,353,1218
.0059975947092594,.44798568,1571,354,1217
.0060078842461401,.44798574,1571,355,1216
.0062036569412251,.44798672,1571,356,1215
.0062075478999202,.44798675,1571,356,1215
.0064299156379132,.44798777,1571,358,1213
.006474655890909,.44798809,1571,358,1213
.0064913636257454,.44798818,1571,360,1211
.0065407482786989,.44798842,1571,360,1211
.006660131674359,.44798914,1571,361,1210
.0067302712959904,.44798946,1571,362,1209
.0068365763702717,.44799012,1571,363,1208
.0070929364433137,.44799176,1571,364,1207
.0071105812305041,.44799185,1571,366,1205
.0072989911270621,.4479925,1571,367,1204
.007408497003181,.44799289,1571,367,1204
.0074398618466767,.44799307,1571,368,1203
.0075252325120979,.44799337,1571,370,1201
.0075624795698498,.44799346,1571,370,1201
.0076592061778162,.44799367,1571,371,1200
.0077254703600612,.44799381,1571,372,1199
.0077696141791333,.44799393,1571,374,1197
.0078734936615059,.44799417,1571,375,1196
.0078867484975046,.44799417,1571,376,1195
.0079285843005039,.44799426,1571,376,1195
.0080062845713756,.44799441,1571,378,1193
.0083768861003415,.44799539,1571,379,1192
.008390098572846,.44799542,1571,380,1191
.0086361200625352,.4479959,1571,381,1190
.0086857513905918,.44799602,1571,381,1190
.0088482127421829,.44799641,1571,383,1188
.0089250659146535,.44799662,1571,384,1187
.0089960399536191,.44799685,1571,385,1186
.0090592837502601,.44799706,1571,385,1186
.0090853638175801,.44799715,1571,386,1185
.0091821950936722,.44799751,1571,387,1184
.0093079173972264,.44799796,1571,388,1183
.0093167793911068,.44799799,1571,389,1181
.0093404684569804,.44799805,1571,391,1180
.0095041772910305,.44799837,1571,392,1179
.0095642299894864,.44799849,1571,393,1178
.009602603462608,.44799855,1571,394,1177
.0096472964035924,.44799867,1571,395,1176
.0096801317546968,.44799879,1571,396,1175
.0098453139033082,.44799915,1571,396,1175
.0098842945643542,.44799921,1571,398,1173
.0104422062066944,.44800061,1571,398,1173
.010504051712996,.44800091,1571,399,1172
.010569001524698,.44800144,1571,400,1171
.0107444801375041,.4480027,1571,401,1170
.0110060039835053,.44800436,1571,403,1168
.0110782960177675,.44800472,1571,403,1168
.0110798660772932,.44800472,1571,404,1167
.0114134809931306,.44800553,1571,406,1165
.0114871619366519,.44800571,1571,406,1165
.0115429489238442,.44800586,1571,407,1163
.0115603587195422,.44800591,1571,409,1162
.0116220372644278,.448006,1571,409,1162
.0116695208163074,.44800609,1571,411,1160
.0117138271366629,.44800615,1571,411,1160
.011769426905137,.44800624,1571,413,1158
.0120514240693501,.44800699,1571,413,1158
.012081504865734,.44800705,1571,414,1157
.0120958049332902,.44800711,1571,415,1156
.0121255030411685,.4480072,1571,417,1154
.0121728721717308,.44800735,1571,417,1154
.0122320896898973,.44800755,1571,419,1152
.0124161668414933,.44800812,1571,419,1152
.0124416642524786,.44800818,1571,420,1151
.0126074872473098,.44800848,1571,421,1149
.012758394240414,.44800863,1571,422,1149
.0128023033826846,.44800866,1571,423,1148
.0128302818409296,.44800869,1571,424,1147
.0128749510579899,.44800872,1571,426,1145
.0128928632162223,.44800875,1571,426,1145
.0129239131677813,.44800878,1571,427,1144
.013045315174985,.44800892,1571,428,1143
.0130630809797219,.44800898,1571,430,1141
.0131187915479504,.44800919,1571,431,1140
.0131628173323248,.44800934,1571,432,1139
.0132258435321089,.44800961,1571,432,1138
