equation,variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
debt,b_outcome,.0635289475612439,.014212831,.061977889,.97558498,adequate
debt,theta_hat_A,.1084236219896774,.092694707,.059519872,.54895669,adequate
debt,debt_gdp,.3515889094457778,.31181544,.17078204,.48574355,adequate
debt,mA_hat,.0664984078628162,.058942817,.032365505,.48671097,adequate
debt,TA_hat,.0195165851833841,.019445216,.0024459667,.12532759,adequate
debt,bmA_hat,.1084212963948909,.092465296,.059737902,.55097944,adequate
debt,readiness100,.1461626693509741,.14112422,.040289104,.27564564,adequate
debt,vulnerability100,.0785972129562607,.078309797,.0098503996,.12532759,adequate
debt,growth,.036136352602134,.017054874,.031875402,.88208681,adequate
debt,inflation_cpi,.0541576133506643,.035052523,.041569527,.76756573,adequate
debt,reserves,.134156448293547,.12546705,.061706364,.45995823,adequate
debt,tt,.1826456965443084,.082948364,.16085127,.88067371,adequate
ready,A_outcome,.1441726747353288,.13967903,.038867369,.26958901,adequate
ready,theta_hat_A,.1092317383900101,.09391503,.058928367,.53948027,adequate
ready,interest_revenue,.0979189337403113,.084866449,.045488656,.46455425,adequate
ready,vulnerability100,.0792440944906739,.078744695,.010174922,.12839974,adequate
ready,growth,.0354924631971234,.016833322,.031243512,.8802858,adequate
ready,inflation_cpi,.056359225359403,.036317885,.043357056,.76929826,adequate
ready,reserves,.1146386965218865,.10894609,.059942175,.52287906,adequate
ready,tt,.1831010557241634,.082821064,.16151395,.88210279,adequate
