cutoff,rss,N,low_n,high_n
-.0553900755177519,3.9507277,1552,156,1396
-.0553791589297847,3.9507282,1552,157,1395
-.0547746144498866,3.9507523,1552,158,1394
-.0547215488539893,3.9507544,1552,160,1392
-.0546214951182513,3.9507582,1552,160,1392
-.0545700085249451,3.9507604,1552,161,1391
-.0545427212075957,3.9507613,1552,162,1390
-.0534810894640075,3.9508011,1552,164,1388
-.0533952226016295,3.950804,1552,165,1387
-.0532123555180984,3.95081,1552,165,1387
-.0530445468468137,3.9508152,1552,166,1386
-.0529771011009045,3.9508171,1552,167,1385
-.0522415678660572,3.9508369,1552,168,1384
-.0520043418530009,3.9508431,1552,169,1382
-.0515743793677239,3.950855,1552,171,1381
-.051429573313007,3.9508593,1552,172,1380
-.0513674705382892,3.950861,1552,172,1379
-.051142731403111,3.9508667,1552,173,1379
-.0504481509875588,3.9508851,1552,175,1377
-.0499253948967469,3.9508991,1552,175,1377
-.0494005865623351,3.9509137,1552,177,1375
-.0491764188835609,3.9509189,1552,178,1374
-.049162760594884,3.9509192,1552,179,1373
-.0490573721869206,3.9509213,1552,179,1373
-.0489287508047955,3.9509232,1552,181,1371
-.0488620871999983,3.9509251,1552,182,1370
-.0488531030359556,3.9509251,1552,183,1369
-.0482203699542073,3.950938,1552,183,1369
-.0482197721615526,3.950938,1552,185,1367
-.0480952171572106,3.9509408,1552,185,1367
-.047718429296011,3.9509494,1552,186,1366
-.0468716444331596,3.9509702,1552,188,1364
-.0468627258799974,3.9509702,1552,188,1364
-.0467909566640236,3.9509718,1552,190,1362
-.0465689566769337,3.9509766,1552,191,1361
-.0464267648071794,3.9509799,1552,192,1360
-.0462417919581774,3.9509842,1552,193,1359
-.0457516987603746,3.9509952,1552,193,1359
-.0454946182260758,3.9510009,1552,194,1358
-.0453619249389902,3.951004,1552,195,1357
-.0449591840927555,3.9510131,1552,197,1355
-.0449044482178944,3.9510143,1552,198,1354
-.0439615299958401,3.951031,1552,199,1353
-.0437001693685317,3.9510357,1552,199,1353
-.0435896582715677,3.9510379,1552,200,1351
-.0432972996179512,3.9510424,1552,202,1350
-.0423424164581231,3.9510548,1552,202,1350
-.0421579154921556,3.9510579,1552,204,1348
-.0418484311259003,3.9510634,1552,204,1348
-.0415185837195419,3.9510708,1552,205,1347
-.041332794503504,3.9510751,1552,207,1345
-.0409207940319899,3.9510844,1552,208,1344
-.0406391982749939,3.9510939,1552,208,1344
-.0401848608108423,3.951107,1552,210,1342
-.0397828407010541,3.9511189,1552,210,1342
-.0392754467142967,3.9511337,1552,212,1340
-.0391779307750023,3.9511366,1552,212,1340
-.0389671935903521,3.9511464,1552,214,1338
-.0388976429230702,3.9511497,1552,215,1337
-.0387518010093386,3.9511571,1552,216,1336
-.0382899416466742,3.9511807,1552,216,1335
-.0381915360748148,3.9511859,1552,217,1335
-.0375501873102094,3.9512188,1552,219,1333
-.0373841387199682,3.9512269,1552,220,1332
-.0372845307851924,3.9512322,1552,220,1332
-.0371701424177846,3.9512377,1552,222,1330
-.0370661523548743,3.9512424,1552,223,1329
-.0367750130127257,3.9512556,1552,224,1328
-.0359184119030154,3.9512913,1552,224,1328
-.0358775784026799,3.951293,1552,225,1326
-.0357361120626594,3.9512985,1552,226,1325
-.0355011731818579,3.9513092,1552,228,1324
-.0353053751974985,3.9513183,1552,229,1323
-.034903455129713,3.9513361,1552,230,1322
