cutoff,rss,N,low_n,high_n
-.0534810894640075,.41290295,1571,158,1413
-.0532123555180984,.41289791,1571,158,1413
-.0530445468468137,.41289487,1571,159,1412
-.0529771011009045,.41289365,1571,160,1411
-.0522415678660572,.4128803,1571,161,1410
-.0520043418530009,.41287607,1571,162,1408
-.0515743793677239,.41286838,1571,164,1407
-.051429573313007,.41286579,1571,165,1406
-.0513674705382892,.41286469,1571,165,1405
-.051142731403111,.41286069,1571,166,1405
-.0508527594869432,.41285565,1571,167,1404
-.0504481509875588,.41284877,1571,169,1402
-.0499253948967469,.41284019,1571,169,1402
-.0494005865623351,.41283143,1571,171,1400
-.0491764188835609,.41282755,1571,172,1399
-.049162760594884,.41282731,1571,173,1398
-.0490573721869206,.41282538,1571,173,1398
-.0489287508047955,.41282323,1571,175,1396
-.0488620871999983,.41282213,1571,176,1395
-.0488531030359556,.41282198,1571,177,1394
-.0482203699542073,.41281125,1571,177,1394
-.0482197721615526,.41281122,1571,179,1392
-.0480952171572106,.41280892,1571,179,1392
-.0479665211428758,.41280654,1571,180,1391
-.047718429296011,.41280195,1571,181,1390
-.0468716444331596,.41278544,1571,183,1388
-.0468627258799974,.41278526,1571,183,1388
-.0467909566640236,.41278386,1571,185,1386
-.0465689566769337,.41277951,1571,186,1385
-.0464267648071794,.41277665,1571,187,1384
-.0463080040765619,.41277429,1571,187,1384
-.0462417919581774,.41277307,1571,189,1382
-.0457516987603746,.41276395,1571,189,1382
-.0454946182260758,.4127593,1571,190,1381
-.0453619249389902,.41275692,1571,191,1380
-.0449591840927555,.4127498,1571,193,1378
-.0449044482178944,.41274881,1571,194,1377
-.0439615299958401,.41273323,1571,195,1376
-.0437001693685317,.41272891,1571,195,1376
-.0435896582715677,.41272709,1571,196,1374
-.0432972996179512,.41272229,1571,198,1373
-.0423424164581231,.41270658,1571,198,1373
-.0421579154921556,.41270354,1571,200,1371
-.0418484311259003,.41269857,1571,200,1371
-.0415185837195419,.41269323,1571,201,1370
-.041332794503504,.41269022,1571,203,1368
-.0409207940319899,.4126837,1571,204,1367
-.0406391982749939,.41267923,1571,204,1367
-.0401848608108423,.41267326,1571,206,1365
-.0401180326828314,.41267237,1571,206,1365
-.0392754467142967,.41266128,1571,208,1363
-.0391779307750023,.41266006,1571,208,1363
-.0389671935903521,.4126575,1571,210,1361
-.0388976429230702,.41265664,1571,211,1360
-.0387518010093386,.41265512,1571,212,1359
-.0385416754864482,.41265273,1571,212,1359
-.0382899416466742,.41264987,1571,213,1357
-.0381915360748148,.41264871,1571,214,1357
-.0375501873102094,.41264141,1571,216,1355
-.0373841387199682,.4126395,1571,217,1354
-.0372845307851924,.41263828,1571,217,1354
-.0371701424177846,.4126367,1571,219,1352
-.0370661523548743,.41263524,1571,220,1351
-.0367750130127257,.41263118,1571,221,1350
