item,value
source_observations,1972
theta_panel_observations,1972
theta_constructible_observations,1819
bad_b_it_debt_gdp_mapping_rows,0
max_theta_debt_gdp_reconstruction_diff,0
duplicate_rows,0
debt_sample_observations,1552
debt_sample_countries,65
debt_sample_years,28
debt_sample_first_year,1995
debt_sample_last_year,2022
ready_sample_observations,1571
ready_sample_countries,64
ready_sample_years,28
ready_sample_first_year,1996
ready_sample_last_year,2023
rss_min_cutoff_debt,.1214074338220483
rss_min_cutoff_ready,.0680959778067858
bad_debt_year_alignment_rows,0
bad_readiness_lag_alignment_rows,0
