country_name,iso3,observations,theta_mean,rank,cutoff,above_cutoff,country_label
Japan,JPN,12,-.0926786390796639,1,-.0250271468600635,0,Japan
Greece,GRC,19,-.0400953946366805,2,-.0250271468600635,0,
Iceland,ISL,12,-.0277461507987686,3,-.0250271468600635,0,
Italy,ITA,19,-.0232696570626569,4,-.0250271468600635,1,
Belgium,BEL,19,-.0227431731720311,5,-.0250271468600635,1,
United States,USA,17,-.0216212811874738,6,-.0250271468600635,1,
Portugal,PRT,19,-.0204016838090669,7,-.0250271468600635,1,
Canada,CAN,19,-.0202183149604045,8,-.0250271468600635,1,
Ireland,IRL,19,-.0102922593827033,9,-.0250271468600635,1,
France,FRA,19,-.0095540657439243,10,-.0250271468600635,1,
Egypt,EGY,8,-.0092059966578612,11,-.0250271468600635,1,
South Africa,ZAF,18,-.0078207227062829,12,-.0250271468600635,1,
Spain,ESP,19,-.0071430674374646,13,-.0250271468600635,1,
United Kingdom,GBR,19,-.0070055193611595,14,-.0250271468600635,1,
Philippines,PHL,18,-.0069062563439879,15,-.0250271468600635,1,
New Zealand,NZL,18,-.0053548310778273,16,-.0250271468600635,1,
Israel,ISR,16,-.0053479980661708,17,-.0250271468600635,1,
Germany,DEU,19,-.0053297138888001,18,-.0250271468600635,1,
Austria,AUT,19,-.0042366271332555,19,-.0250271468600635,1,
India,IND,20,-.0042115459334063,20,-.0250271468600635,1,
Indonesia,IDN,8,-.0039033406205216,21,-.0250271468600635,1,
Malaysia,MYS,10,-.0038907025616278,22,-.0250271468600635,1,
Chile,CHL,11,-.0035450363028211,23,-.0250271468600635,1,
Hungary,HUN,15,-.0029172366318256,24,-.0250271468600635,1,
Korea,KOR,18,-.002578096613799,25,-.0250271468600635,1,
Netherlands,NLD,19,-.001616849183521,26,-.0250271468600635,1,
Morocco,MAR,6,-.0010844465064073,27,-.0250271468600635,1,
Pakistan,PAK,9,.0005140372146949,28,-.0250271468600635,1,
China,CHN,16,.0007751154288811,29,-.0250271468600635,1,
Australia,AUS,19,.0018143059046416,30,-.0250271468600635,1,
Croatia,HRV,10,.0023894355732055,31,-.0250271468600635,1,
Finland,FIN,19,.0025800553915481,32,-.0250271468600635,1,
Poland,POL,18,.0032334135979375,33,-.0250271468600635,1,
Denmark,DNK,19,.003707222357578,34,-.0250271468600635,1,
Sweden,SWE,19,.003986289931682,35,-.0250271468600635,1,
Namibia,NAM,4,.0049662303214512,36,-.0250271468600635,1,
Norway,NOR,19,.0051271068633157,37,-.0250271468600635,1,
Slovenia,SVN,11,.006064882548795,38,-.0250271468600635,1,
Slovak Republic,SVK,9,.0061451837816163,39,-.0250271468600635,1,
Vietnam,VNM,11,.0067143861931415,40,-.0250271468600635,1,
Czech Republic,CZE,18,.0074701998163852,41,-.0250271468600635,1,
Russia,RUS,15,.0076068919649616,42,-.0250271468600635,1,
Switzerland,CHE,14,.008679621174717,43,-.0250271468600635,1,
Lithuania,LTU,15,.009417903464832,44,-.0250271468600635,1,
Thailand,THA,17,.0107713098756281,45,-.0250271468600635,1,
Mexico,MEX,12,.0113373422987071,46,-.0250271468600635,1,
Romania,ROU,11,.0126569850458367,47,-.0250271468600635,1,
Turkey,TUR,8,.0141059822562269,48,-.0250271468600635,1,Turkey
Bangladesh,BGD,3,.0226199464113581,49,-.0250271468600635,1,Bangladesh
Brazil,BRA,11,.0232036539519349,50,-.0250271468600635,1,Brazil
