equation,variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
debt,delta_debt_lead,.0623177008845064,.028715186,.055111233,.88435924,adequate
debt,theta_hat_A,.1070210785519883,.091616407,.058461804,.54626435,adequate
debt,readiness100,.1434846581670614,.13805075,.04014156,.27976203,adequate
debt,debt_gdp,.3469029059990814,.30694228,.16972473,.48925716,adequate
debt,vulnerability100,.0779619762784315,.077396438,.010080168,.12929596,adequate
debt,growth,.0366322799070556,.016656535,.032629628,.89073431,adequate
debt,inflation_cpi,.0579289607523511,.037968572,.043522008,.75129962,adequate
debt,reserves,.1326375670235771,.12229486,.063726835,.48045841,adequate
debt,tt,.1799126023682688,.081697315,.15844676,.88068736,adequate
ready,J_readiness,.0183332348100774,.0020635384,.018216508,.99363309,adequate
ready,theta_hat_A,.1079997386460164,.09269315,.058048598,.53748834,adequate
ready,interest_revenue,.1001805858995752,.087206393,.046422817,.46339133,adequate
ready,readiness100,.1415787192490114,.13666257,.038664106,.27309266,adequate
ready,readiness_lag,.141053847088191,.13586226,.039711256,.28153262,adequate
ready,vulnerability100,.0783065605252783,.077646904,.010339342,.13203673,adequate
ready,growth,.0359243018563195,.016382515,.031979654,.89019555,adequate
ready,ln_currentgdp,3.019324708524136,2.9666533,.64585423,.21390685,adequate
ready,inflation_cpi,.0587545989580369,.038702101,.044061791,.74992925,adequate
ready,reserves,.1149595012236258,.10681562,.062289391,.54183769,adequate
ready,tt,.1732156242158199,.07608138,.15450312,.89196986,adequate
