criterion,variable,cutoff,rss,N,N_low,N_high
TA,TA_hat,-.0497946850714364,10.072069,1373,138,1235
TA,TA_hat,-.0497625737856202,10.07195,1373,138,1235
TA,TA_hat,-.0497177193945731,10.071729,1373,140,1233
TA,TA_hat,-.0496949693163157,10.071601,1373,141,1232
TA,TA_hat,-.0496549509911051,10.071337,1373,142,1231
TA,TA_hat,-.0496401031687942,10.071217,1373,142,1231
TA,TA_hat,-.0495487488806192,10.070386,1373,144,1229
TA,TA_hat,-.0494799581162332,10.06978,1373,145,1228
TA,TA_hat,-.0494614940073027,10.069624,1373,145,1228
TA,TA_hat,-.0494498989295701,10.069513,1373,147,1226
TA,TA_hat,-.0493752580083908,10.068833,1373,148,1225
TA,TA_hat,-.0493169573452703,10.068222,1373,148,1225
TA,TA_hat,-.0492776134862149,10.067757,1373,150,1223
TA,TA_hat,-.049140347665005,10.066057,1373,150,1223
TA,TA_hat,-.0491351624074711,10.065992,1373,152,1221
TA,TA_hat,-.0491200706293167,10.06578,1373,153,1220
TA,TA_hat,-.0490719491433475,10.065044,1373,154,1219
TA,TA_hat,-.0490548339667275,10.064762,1373,154,1219
TA,TA_hat,-.0490075113165591,10.06394,1373,156,1217
TA,TA_hat,-.0490063106711338,10.063918,1373,157,1216
TA,TA_hat,-.0490033592837737,10.063866,1373,158,1215
TA,TA_hat,-.0490027900534725,10.063855,1373,158,1215
TA,TA_hat,-.0490017329114845,10.063837,1373,160,1213
TA,TA_hat,-.0489595285505793,10.063067,1373,160,1213
TA,TA_hat,-.0489227773202909,10.062451,1373,161,1212
TA,TA_hat,-.0489172476545075,10.062353,1373,163,1210
TA,TA_hat,-.0489132152079199,10.062281,1373,163,1210
TA,TA_hat,-.0489105938784655,10.06223,1373,164,1209
TA,TA_hat,-.048904648052714,10.062121,1373,165,1208
TA,TA_hat,-.0488602959236974,10.061344,1373,167,1206
TA,TA_hat,-.0488502411161918,10.06118,1373,167,1206
TA,TA_hat,-.0488428267719321,10.06105,1373,168,1205
TA,TA_hat,-.0488201149612579,10.060626,1373,170,1203
TA,TA_hat,-.0488040664935217,10.060314,1373,170,1203
TA,TA_hat,-.0488024353377846,10.060283,1373,171,1202
TA,TA_hat,-.0488005554427561,10.060246,1373,173,1200
TA,TA_hat,-.0487800727188078,10.059853,1373,174,1199
TA,TA_hat,-.0487798718139956,10.059849,1373,175,1198
TA,TA_hat,-.0487542038325134,10.059341,1373,176,1197
TA,TA_hat,-.0487487124343134,10.059225,1373,176,1197
TA,TA_hat,-.0487485354467407,10.059221,1373,178,1195
TA,TA_hat,-.0487482723571057,10.059216,1373,178,1195
TA,TA_hat,-.0487052356762643,10.058242,1373,179,1194
