equation,variable,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt,b_outcome,1373,.016263291,.10390589,-1.04908,-.070900001,-.032480013,.011380005,.060030002,.12527999,.60760999
debt,theta_hat_A,1373,.031304214,.10666453,-.061681312,-.041565105,-.020741852,.0042020064,.044484809,.1145692,1.1823027
debt,readiness100,1373,.50481647,.14620209,.20213045,.32307774,.37249309,.49710491,.631203,.70977265,.80720198
debt,debt_gdp,1373,.57678843,.34915981,.039009999,.21797001,.35339001,.50375003,.72245002,1.01967,2.6096399
debt,vulnerability100,1373,.38328454,.078780398,.252527,.29974616,.31770468,.3690156,.43462288,.50306094,.58079988
debt,growth,1373,.033459373,.036421321,-.14546999,-.0047800001,.016039999,.033720002,.055190001,.07491,.24624
debt,inflation_cpi,1373,.04365281,.049722973,-.017680001,.0048600002,.015579999,.02912,.057319999,.094519995,.55035001
debt,reserves,1373,.053700723,.13205144,2.4124340e-06,.00018522296,.0019111682,.014703501,.050728846,.096428014,1.5270723
debt,tt,1373,1.00815,.18048051,.31876099,.86199999,.94499999,.99599999,1.044,1.1360981,2.7307551
ready,A_outcome,1389,.50542665,.14485833,.20213045,.3189573,.37583694,.50036967,.63126123,.70849615,.7973066
ready,theta_hat_A,1389,.030686852,.10864609,-.061681312,-.041986566,-.02111185,.003865761,.042244256,.11305086,1.1823027
ready,interest_revenue,1389,.084485091,.094950579,-.069005318,.0053775138,.026114771,.056731228,.10895845,.20475921,.77773798
ready,readiness_lag,1389,.50041097,.14380987,.20213045,.31860408,.37064263,.49318895,.62210703,.70458013,.7973066
ready,vulnerability100,1389,.38167027,.079260714,.25103006,.29825726,.31688339,.36726913,.43425024,.50306094,.58079988
ready,growth,1389,.033365961,.035710536,-.14546999,-.0040500001,.016249999,.033459999,.054740001,.073559999,.24624
ready,inflation_cpi,1389,.046453729,.054536466,-.017680001,.0053699999,.016319999,.031570002,.061469998,.099750005,.72300005
ready,reserves,1389,.044756357,.11349929,2.4124340e-06,.00018173724,.0018823652,.014556373,.049234889,.087031469,1.5270723
ready,tt,1389,1.0075258,.17661458,.31876099,.86093801,.94199997,.9947328,1.0435706,1.141,2.7307551
