check,max_abs_difference,tolerance,passed
theta uses debt_gdp*mA_hat + TA_hat,0,1.0000000e-10,1
b_it maps exactly to debt_gdp,0,1.0000000e-10,1
Delta b exact lead-minus-base formula,0,1.0000000e-10,1
A outcome exact timing formula,0,1.0000000e-10,1
debt low hinge regressor,0,1.0000000e-10,1
debt high hinge regressor,0,1.0000000e-10,1
readiness low hinge regressor,0,1.0000000e-10,1
readiness high hinge regressor,0,1.0000000e-10,1
readiness debt-cutoff low hinge,0,1.0000000e-10,1
readiness debt-cutoff high hinge,0,1.0000000e-10,1
