equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dB/dA,P10,-.041565104603194,.01302695,-.13910367,.044221938,-3.1455805,.001695781,-.22585917,-.052348163
debt,dB/dA,P25,-.0207418526777869,.01302695,-.086044833,.027354198,-3.1455805,.001695781,-.13970886,-.032380808
debt,dB/dA,P50,.004202006256178,.01302695,-.022486459,.0071485876,-3.1455805,.001695781,-.036510706,-.008462213
debt,dB/dA,Mean,.0313042155968937,.01302695,.0049242978,.0037415319,1.3161181,.18837023,-.0024159162,.012264512
debt,dB/dA,Cutoff,.013026949902446,.01302695,0,0,,,0,0
debt,dB/dA,P75,.04448480966629,.01302695,.0084754396,.0064397259,1.3161181,.18837023,-.0041581467,.021109026
debt,dB/dA,P90,.1145692053069605,.01302695,.02735772,.020786675,1.3161181,.18837023,-.013422006,.068137445
ready,dA/dFT,P10,-.0419865672550829,.025021048,-.15835649,.040903129,-3.871501,.00011355749,-.23860009,-.0781129
ready,dA/dFT,P25,-.0211118490337763,.025021048,-.10902409,.028160676,-3.871501,.00011355749,-.1642696,-.053778578
ready,dA/dFT,P50,.0038657609133818,.025021048,-.049995471,.012913718,-3.871501,.00011355749,-.07532955,-.024661388
ready,dA/dFT,Mean,.0306868523120832,.025021048,.00058520021,.00039489302,1.4819208,.13860445,-.00018949939,.0013598998
ready,dA/dFT,Cutoff,.025021049040337,.025021048,0,0,,,0,0
ready,dA/dFT,P75,.042244256544885,.025021048,.0017789224,.0012004166,1.4819208,.13860445,-.00057605025,.004133895
ready,dA/dFT,P90,.1130508617815349,.025021048,.0090922788,.0061354684,1.4819208,.13860445,-.0029442597,.021128817
ready_debt,dA/dFT,P10,-.0419865672550829,.01302695,-.1477222,.043221705,-3.417778,.00065092387,-.23251438,-.062930025
ready_debt,dA/dFT,P25,-.0211118490337763,.01302695,-.09166944,.026821356,-3.417778,.00065092387,-.14428748,-.03905141
ready_debt,dA/dFT,P50,.0038657609133818,.01302695,-.024599608,.007197544,-3.417778,.00065092387,-.038719721,-.010479494
ready_debt,dA/dFT,Mean,.0306868523120832,.01302695,.0020705904,.0012135711,1.7061963,.088211104,-.00031018845,.0044513694
ready_debt,dA/dFT,Cutoff,.013026949902446,.01302695,0,0,,,0,0
ready_debt,dA/dFT,P75,.042244256544885,.01302695,.0034256745,.0020077843,1.7061963,.088211104,-.00051318918,.007364538
ready_debt,dA/dFT,P90,.1130508617815349,.01302695,.011727616,.0068735443,1.7061963,.088211104,-.0017568762,.025212109
