model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
D1_core,debt,debt_kink_low,-1.894793089917293,.8346864,-2.2700658,.023368876,-3.5322931,-.25729302,0
D1_core,debt,debt_kink_high,.1080944516359403,.20733611,.52134889,.60221374,-.29866058,.51484948,0
D1_core,debt,debt_gdp,-.3096691887234879,.05557609,-5.5719857,3.0658370e-08,-.41869918,-.2006392,0
D1_core,debt,vulnerability100,-.4567656203037335,.32334349,-1.4126328,.15800625,-1.0911056,.1775744,0
D2_macro,debt,debt_kink_low,-2.566839608859381,.80519992,-3.187829,.0014681156,-4.1464949,-.98718429,0
D2_macro,debt,debt_kink_high,.2599402318100786,.20429461,1.2723794,.20346928,-.1408485,.66072899,0
D2_macro,debt,debt_gdp,-.3613174049984446,.053894568,-6.7041526,3.0291835e-11,-.4670487,-.25558609,0
D2_macro,debt,vulnerability100,-.2456978899684267,.30975482,-.79320115,.42780751,-.85338038,.36198458,0
D2_macro,debt,growth,-.8853030200460617,.11293489,-7.839057,9.4902749e-15,-1.1068606,-.66374534,0
D2_macro,debt,inflation_cpi,-.144322580279882,.10269402,-1.405365,.16015525,-.34578952,.057144359,0
D3_full,debt,debt_kink_low,-2.548056959345995,.81004345,-3.1455805,.001695781,-4.1372166,-.95889711,0
D3_full,debt,debt_kink_high,.2694220169824345,.2047096,1.3161181,.18837023,-.13218148,.67102551,0
D3_full,debt,debt_gdp,-.3583214292650265,.0533683,-6.7141247,2.8374386e-11,-.46302044,-.25362241,0
D3_full,debt,vulnerability100,-.1957298288844537,.30398005,-.64389038,.51976198,-.79208416,.40062448,0
D3_full,debt,growth,-.884596556985968,.11284405,-7.839107,9.4972832e-15,-1.1059763,-.66321677,0
D3_full,debt,inflation_cpi,-.1369176657706586,.10313676,-1.3275352,.18456861,-.33925346,.065418132,0
D3_full,debt,reserves,-.0047664305876368,.026816508,-.17774241,.85895342,-.057375606,.047842745,0
D3_full,debt,tt,.0206297330475177,.013709509,1.5047755,.13262869,-.0062658624,.047525328,0
