equation,variable,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt,b_outcome,1373,.016263291,.10390589,-1.04908,-.070900001,-.032480013,.011380005,.060030002,.12527999,.60760999
debt,theta_hat_A,1373,.050816353,.13318303,-.058673277,-.035925891,-.01407599,.014137013,.066817209,.16013923,1.4361562
debt,debt_gdp,1373,.57678843,.34915981,.039009999,.21797001,.35339001,.50375003,.72245002,1.01967,2.6096399
debt,mA_hat,1373,.088682935,.081942528,-.041831486,.0039690435,.034664266,.071480602,.12324797,.19270322,.55028826
debt,TA_hat,1373,-.02884406,.019757371,-.061636798,-.049794685,-.045290865,-.032422569,-.015968896,.0011947171,.020690894
debt,bmA_hat,1373,.079660416,.13421211,-.003735787,.00086704514,.012392112,.036070995,.088556379,.19590016,1.4360541
debt,readiness100,1373,.50481647,.14620209,.20213045,.32307774,.37249309,.49710491,.631203,.70977265,.80720198
debt,vulnerability100,1373,.38328454,.078780398,.252527,.29974616,.31770468,.3690156,.43462288,.50306094,.58079988
debt,inflation_cpi,1373,.04365281,.049722973,-.017680001,.0048600002,.015579999,.02912,.057319999,.094519995,.55035001
debt,reserves,1373,.053700723,.13205144,2.4124340e-06,.00018522296,.0019111682,.014703501,.050728846,.096428014,1.5270723
debt,tt,1373,1.00815,.18048051,.31876099,.86199999,.94499999,.99599999,1.044,1.1360981,2.7307551
ready,A_outcome,1399,.5045709,.14478113,.20213045,.32113957,.37410772,.49937156,.62916857,.70849234,.7973066
ready,theta_hat_A,1399,.050074313,.13528667,-.058673277,-.035953183,-.014377757,.013844525,.062727697,.15650658,1.4361562
ready,interest_revenue,1399,.084934309,.095172562,-.069005318,.0056790169,.026294114,.056963105,.10948131,.20599571,.77773798
ready,vulnerability100,1399,.38220751,.079426028,.25103006,.29847652,.31702062,.36764586,.43462288,.50310659,.58079988
ready,inflation_cpi,1399,.0467504,.054550041,-.017680001,.0057599996,.01647,.03167,.062040001,.10093001,.72300005
ready,reserves,1399,.044490524,.11314378,2.4124340e-06,.00018173724,.0018188087,.014269867,.049179774,.085674621,1.5270723
ready,tt,1399,1.0087086,.1841076,.31876099,.85900003,.94199997,.9947328,1.0436888,1.142,2.7307551
