equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dB/dA,P10,-.041565104603194,.074884653,.23483032,.032670069,7.1879349,1.1145975e-12,.17073756,.29892308
debt,dB/dA,P25,-.0207418526777869,.074884653,.19283855,.026828088,7.1879349,1.1145975e-12,.14020669,.2454704
debt,dB/dA,P50,.004202006256178,.074884653,.14253725,.01983007,7.1879349,1.1145975e-12,.10363425,.18144026
debt,dB/dA,Mean,.0313042155968937,.074884653,.087883465,.012226525,7.1879349,1.1145975e-12,.063897237,.11186969
debt,dB/dA,Cutoff,.0748846517733506,.074884653,0,0,,,0,0
debt,dB/dA,P75,.04448480966629,.074884653,.061303731,.0085286992,7.1879349,1.1145975e-12,.04457197,.078035496
debt,dB/dA,P90,.1145692053069605,.074884653,-.037100516,.0074789394,-4.9606657,7.9697878e-07,-.051772844,-.022428192
ready,dA/dFT,P10,-.0418456941271216,.03693378,-.49961212,.067085311,-7.4474149,1.7229074e-13,-.63121891,-.36800537
ready,dA/dFT,P25,-.0211570877614912,.03693378,-.36840689,.049467757,-7.4474149,1.7229074e-13,-.46545187,-.27136195
ready,dA/dFT,P50,.0038657609133818,.03693378,-.20971431,.028159345,-7.4474149,1.7229074e-13,-.2649568,-.15447181
ready,dA/dFT,Mean,.030602666769905,.03693378,-.040151328,.0053913109,-7.4474149,1.7229074e-13,-.050727904,-.02957475
ready,dA/dFT,Cutoff,.0369337787568445,.03693378,0,0,,,0,0
ready,dA/dFT,P75,.0427483395886623,.03693378,.00093625294,.000563671,1.6609919,.096955106,-.00016954672,.0020420526
ready,dA/dFT,P90,.1127219116799788,.03693378,.012203306,.0073469994,1.6609919,.096955106,-.0022099055,.026616517
ready_debt,dA/dFT,P10,-.0418456941271216,.074884653,-.39656156,.058354583,-6.795723,1.6338441e-11,-.51104057,-.28208259
ready_debt,dA/dFT,P25,-.0211570877614912,.074884653,-.32627732,.048012156,-6.795723,1.6338441e-11,-.42046669,-.23208793
ready_debt,dA/dFT,P50,.0038657609133818,.074884653,-.24126856,.035503004,-6.795723,1.6338441e-11,-.31091771,-.17161942
ready_debt,dA/dFT,Mean,.030602666769905,.074884653,-.15043674,.022136975,-6.795723,1.6338441e-11,-.19386467,-.10700882
ready_debt,dA/dFT,Cutoff,.0748846517733506,.074884653,0,0,,,0,0
ready_debt,dA/dFT,P75,.0427483395886623,.074884653,-.10917492,.01606524,-6.795723,1.6338441e-11,-.14069143,-.077658422
ready_debt,dA/dFT,P90,.1127219116799788,.074884653,.0047297003,.0038400593,1.2316737,.21829271,-.0028036593,.01226306
