model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
DN1_core,debt,debt_kink_low,1.960661489570893,.29390344,6.6711073,3.7640859e-11,1.3840778,2.5372453,0
DN1_core,debt,debt_kink_high,-.9583987683905804,.19224903,-4.9851942,7.0363643e-07,-1.3355554,-.58124208,0
DN1_core,debt,vulnerability100,.0557168574592907,.33814862,.16477032,.8691507,-.60766762,.71910131,0
DN2_macro,debt,debt_kink_low,2.04438439280085,.28305578,7.2225494,8.7244610e-13,1.489081,2.5996878,0
DN2_macro,debt,debt_kink_high,-.9705315874977474,.19023794,-5.1016717,3.8735072e-07,-1.3437434,-.59731972,0
DN2_macro,debt,vulnerability100,.313256966594475,.3362546,.93160653,.35171533,-.34641272,.97292668,0
DN2_macro,debt,growth,-.6760822094044321,.10282572,-6.5750303,7.0625741e-11,-.87780738,-.47435707,0
DN2_macro,debt,inflation_cpi,-.1884994772890255,.11000539,-1.7135477,.086853571,-.40430981,.027310863,0
DN3_full,debt,debt_kink_low,2.016580610516387,.28055075,7.1879349,1.1145975e-12,1.4661908,2.5669703,0
DN3_full,debt,debt_kink_high,-.9348855917012234,.18845971,-4.9606657,7.9697878e-07,-1.3046094,-.56516176,0
DN3_full,debt,vulnerability100,.3999544403847119,.33467245,1.1950623,.23228405,-.25661236,1.0565212,0
DN3_full,debt,growth,-.6794688650183353,.10222686,-6.6466761,4.4253243e-11,-.88001949,-.47891825,0
DN3_full,debt,inflation_cpi,-.1752957846017841,.10914935,-1.6060177,.10851668,-.38942707,.038835488,0
DN3_full,debt,reserves,.0001344681406406,.029036971,.0046309289,.99630576,-.056830812,.057099748,0
DN3_full,debt,tt,.0358397761442446,.014982095,2.3921738,.016892456,.006447617,.065231934,0
RN1_core,ready,ready_kink_low,-6.26018155045666,.85322332,-7.3370962,3.8149215e-13,-7.9340148,-4.5863481,0
RN1_core,ready,ready_kink_high,.1652451096739984,.090273134,1.8305016,.067402057,-.011850604,.34234083,0
RN1_core,ready,vulnerability100,.2093384259514225,.11280032,1.8558319,.06370198,-.011950596,.43062744,0
RN2_macro,ready,ready_kink_low,-6.199282402950967,.86916202,-7.1324816,1.6270134e-12,-7.9043865,-4.4941783,0
RN2_macro,ready,ready_kink_high,.2045510823649275,.098650768,2.073487,.038322337,.011020049,.39808211,0
RN2_macro,ready,vulnerability100,.2120913463248278,.11531727,1.8391985,.066112541,-.01413568,.43831837,0
RN2_macro,ready,growth,.02747395489429,.036557399,.75152928,.45246938,-.044243593,.099191502,0
RN2_macro,ready,inflation_cpi,-.0158390736279976,.028605273,-.55371171,.57987082,-.071956307,.040278159,0
RN3_full,ready,ready_kink_low,-6.341907578047934,.85155827,-7.4474149,1.7229074e-13,-8.0124798,-4.6713357,0
RN3_full,ready,ready_kink_high,.1610186897575044,.096941285,1.6609919,.096955106,-.029158991,.35119638,0
RN3_full,ready,vulnerability100,.148113667038047,.11832363,1.2517674,.21087876,-.08401151,.38023883,0
RN3_full,ready,growth,.0293480813435939,.03628486,.80882442,.41876346,-.041834906,.10053107,0
RN3_full,ready,inflation_cpi,-.021372450807133,.028102309,-.76052296,.44707933,-.076503053,.033758156,0
RN3_full,ready,reserves,-.0114543096067028,.0059620384,-1.921207,.054923087,-.02315053,.00024191072,0
RN3_full,ready,tt,-.0169298442581381,.0069434354,-2.4382517,.014891055,-.030551352,-.0033083369,0
RDN1_core,ready_debt,ready_debt_kink_low,-3.395674858419161,.48436075,-7.010632,3.7884335e-12,-4.3458824,-2.4454672,0
RDN1_core,ready_debt,ready_debt_kink_high,.1557550020628245,.096674696,1.6111249,.10739341,-.03389914,.34540915,0
RDN1_core,ready_debt,vulnerability100,.3279543680352097,.10998183,2.9818959,.0029176187,.1121946,.54371417,0
RDN2_macro,ready_debt,ready_debt_kink_low,-3.379123343082333,.49448261,-6.8336544,1.2655740e-11,-4.3491893,-2.4090576,0
RDN2_macro,ready_debt,ready_debt_kink_high,.1697057332902118,.10389712,1.6334016,.10262521,-.03411749,.37352896,0
RDN2_macro,ready_debt,vulnerability100,.3269196141902231,.11197048,2.9196944,.0035637598,.10725823,.54658097,0
RDN2_macro,ready_debt,growth,.0123994465808835,.035680629,.34751198,.7282626,-.057598073,.082396969,0
RDN2_macro,ready_debt,inflation_cpi,-.0028435661196264,.023861866,-.1191678,.90516073,-.049655281,.043968149,0
RDN3_full,ready_debt,ready_debt_kink_low,-3.397244886127043,.49990928,-6.795723,1.6338441e-11,-4.3779578,-2.4165318,0
RDN3_full,ready_debt,ready_debt_kink_high,.1250011250170844,.10148883,1.2316737,.21829271,-.074097842,.32410008,0
RDN3_full,ready_debt,vulnerability100,.2750443479286928,.11611164,2.3687923,.017991109,.047258619,.50283009,0
RDN3_full,ready_debt,growth,.0142742818763745,.035407994,.4031373,.68691319,-.055188484,.083737046,0
RDN3_full,ready_debt,inflation_cpi,-.0074448369528101,.023470771,-.3171961,.75114548,-.053489372,.0385997,0
RDN3_full,ready_debt,reserves,-.0133076265452013,.006103179,-2.1804419,.029402729,-.025280735,-.0013345192,0
RDN3_full,ready_debt,tt,-.0139994884666354,.0073340372,-1.9088379,.056502011,-.028387271,.00038829469,0
