specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_no_b,debt,b_outcome,dependent_variable,1373,.016263291,.10390589,-1.04908,-.070900001,-.032480013,.011380005,.060030002,.12527999,.60760999
debt_no_b,debt,debt_kink_low,regressor,1373,.033175461,.025789481,0,0,.012928446,.029475892,.051201086,.07228335,.10644653
debt_no_b,debt,debt_kink_high,regressor,1373,.011667549,.049597248,0,0,0,0,0,.022009108,.53405243
debt_no_b,debt,vulnerability100,regressor,1373,.38328454,.078780398,.252527,.29974616,.31770468,.3690156,.43462288,.50306094,.58079988
debt_no_b,debt,growth,regressor,1373,.033459373,.036421321,-.14546999,-.0047800001,.016039999,.033720002,.055190001,.07491,.24624
debt_no_b,debt,inflation_cpi,regressor,1373,.04365281,.049722973,-.017680001,.0048600002,.015579999,.02912,.057319999,.094519995,.55035001
debt_no_b,debt,reserves,regressor,1373,.053700723,.13205144,2.4124340e-06,.00018522296,.0019111682,.014703501,.050728846,.096428014,1.5270723
debt_no_b,debt,tt,regressor,1373,1.00815,.18048051,.31876099,.86199999,.94499999,.99599999,1.044,1.1360981,2.7307551
debt_no_b,debt,readiness100,construction_input,1373,.50481647,.14620209,.20213045,.32307774,.37249309,.49710491,.631203,.70977265,.80720198
debt_no_b,debt,theta_hat_A,construction_input,1373,.031304214,.10666453,-.061681312,-.041565105,-.020741852,.0042020064,.044484809,.1145692,1.1823027
ready_no_lag,ready,A_outcome,dependent_variable,1399,.5045709,.14478113,.20213045,.32113957,.37410772,.49937156,.62916857,.70849234,.7973066
ready_no_lag,ready,ready_kink_low,regressor,1399,.0014266423,.0020467727,-.0048834933,0,0,.0011153724,.0023061633,.0037040666,.014377004
ready_no_lag,ready,ready_kink_high,regressor,1399,.0027738265,.0090882955,-.0024909559,0,0,0,.00027470471,.0092183184,.13905406
ready_no_lag,ready,vulnerability100,regressor,1399,.38220751,.079426028,.25103006,.29847652,.31702062,.36764586,.43462288,.50310659,.58079988
ready_no_lag,ready,growth,regressor,1399,.033560731,.03587972,-.14546999,-.0040500001,.01627,.033720002,.05511,.074419998,.24624
ready_no_lag,ready,inflation_cpi,regressor,1399,.0467504,.054550041,-.017680001,.0057599996,.01647,.03167,.062040001,.10093001,.72300005
ready_no_lag,ready,reserves,regressor,1399,.044490524,.11314378,2.4124340e-06,.00018173724,.0018188087,.014269867,.049179774,.085674621,1.5270723
ready_no_lag,ready,tt,regressor,1399,1.0087086,.1841076,.31876099,.85900003,.94199997,.9947328,1.0436888,1.142,2.7307551
ready_no_lag,ready,interest_revenue,construction_input,1399,.084934309,.095172562,-.069005318,.0056790169,.026294114,.056963105,.10948131,.20599571,.77773798
ready_no_lag,ready,theta_hat_A,construction_input,1399,.030602667,.10832185,-.061681312,-.041845694,-.021157088,.003865761,.042748339,.11272191,1.1823027
ready_debt_cutoff_ns,ready_debt,A_outcome,dependent_variable,1399,.5045709,.14478113,.20213045,.32113957,.37410772,.49937156,.62916857,.70849234,.7973066
ready_debt_cutoff_ns,ready_debt,ready_debt_kink_low,regressor,1399,.0035312325,.0040381416,-.0075023053,0,.00045715692,.0028639545,.0056683966,.0087934146,.02820738
ready_debt_cutoff_ns,ready_debt,ready_debt_kink_high,regressor,1399,.0016550856,.0074222158,-.0015121133,0,0,0,0,.0029798644,.13444661
ready_debt_cutoff_ns,ready_debt,vulnerability100,regressor,1399,.38220751,.079426028,.25103006,.29847652,.31702062,.36764586,.43462288,.50310659,.58079988
ready_debt_cutoff_ns,ready_debt,growth,regressor,1399,.033560731,.03587972,-.14546999,-.0040500001,.01627,.033720002,.05511,.074419998,.24624
ready_debt_cutoff_ns,ready_debt,inflation_cpi,regressor,1399,.0467504,.054550041,-.017680001,.0057599996,.01647,.03167,.062040001,.10093001,.72300005
ready_debt_cutoff_ns,ready_debt,reserves,regressor,1399,.044490524,.11314378,2.4124340e-06,.00018173724,.0018188087,.014269867,.049179774,.085674621,1.5270723
ready_debt_cutoff_ns,ready_debt,tt,regressor,1399,1.0087086,.1841076,.31876099,.85900003,.94199997,.9947328,1.0436888,1.142,2.7307551
ready_debt_cutoff_ns,ready_debt,interest_revenue,construction_input,1399,.084934309,.095172562,-.069005318,.0056790169,.026294114,.056963105,.10948131,.20599571,.77773798
ready_debt_cutoff_ns,ready_debt,theta_hat_A,construction_input,1399,.030602667,.10832185,-.061681312,-.041845694,-.021157088,.003865761,.042748339,.11272191,1.1823027
