cutoff,rss,N,low_n,high_n
-.0327536442671354,8.5172205,1373,138,1235
-.0326250808135956,8.5170717,1373,140,1233
-.0326166007112516,8.517066,1373,140,1233
-.0325094020092556,8.5169735,1373,142,1231
-.0323650639470659,8.5168934,1373,142,1231
-.0323534805928236,8.5168934,1373,143,1230
-.0322951954980723,8.5169048,1373,145,1228
-.032203926887558,8.5169334,1373,146,1227
-.0319663310203358,8.5170326,1373,146,1226
-.0318001001769393,8.5170708,1373,147,1225
-.0317639260133677,8.517087,1373,149,1224
-.0317165543530473,8.5171165,1373,150,1223
-.0312452399039829,8.517602,1373,151,1222
-.0311768440678338,8.5176754,1373,152,1221
-.0311630802975944,8.5176897,1373,152,1221
-.0311225903543024,8.517745,1373,153,1220
-.0310629508962468,8.5178108,1373,154,1218
-.0310121372851004,8.5178709,1373,156,1217
-.0309584159209261,8.5179253,1373,157,1216
-.0308625879774969,8.5180092,1373,158,1215
-.0307638236367251,8.5180893,1373,159,1214
-.0307264940538586,8.5181217,1373,160,1213
-.0307240872360553,8.5181236,1373,160,1213
-.0306553469987066,8.5181513,1373,161,1212
-.0305853878632923,8.5181675,1373,162,1211
-.0305765348913557,8.5181694,1373,164,1209
-.030529777983849,8.5181885,1373,165,1208
-.0303860660114109,8.5182352,1373,165,1208
-.0303764662349296,8.5182381,1373,166,1207
-.0303762164258135,8.5182381,1373,167,1205
-.0303132533252434,8.5182486,1373,169,1204
-.0302423289665579,8.5182657,1373,169,1203
-.0302321911941434,8.5182695,1373,170,1203
-.0302317635844009,8.5182695,1373,171,1202
-.0301796031975752,8.5182953,1373,173,1200
-.0301769507293094,8.5182953,1373,173,1200
-.0300606499304474,8.5183659,1373,175,1198
-.0300182703664224,8.5184011,1373,176,1197
-.0300062188921958,8.5184116,1373,176,1197
-.0299535582284138,8.5184469,1373,178,1195
-.0299397593553779,8.5184603,1373,178,1195
-.0298597645837925,8.5185242,1373,179,1194
-.0297881371961631,8.5185471,1373,180,1193
-.0297620139448194,8.5185575,1373,182,1191
-.0297594231595545,8.5185585,1373,182,1191
-.0297409628455371,8.5185633,1373,184,1189
-.0295875992837392,8.5186062,1373,184,1189
-.0295600831377743,8.5186081,1373,185,1188
-.0290929140427864,8.5187378,1373,186,1186
-.0290299087062582,8.5187731,1373,188,1185
-.0288378531735882,8.518816,1373,188,1185
-.0287635934554984,8.5188646,1373,190,1183
-.0285042255474115,8.519063,1373,190,1183
-.0284731974675537,8.5190802,1373,191,1182
-.0282725044368201,8.5191898,1373,193,1180
-.0278163423501037,8.5193787,1373,193,1180
-.0277493933708185,8.5193863,1373,195,1178
-.0276540093941752,8.5194168,1373,195,1178
-.0274825795438531,8.5194674,1373,197,1176
-.0274619979497706,8.5194645,1373,197,1176
