cutoff,rss,N,low_n,high_n
-.0329457645804466,1.3497927,1399,140,1259
-.032866879739163,1.3497941,1399,141,1257
-.0327966191150977,1.3497994,1399,142,1257
-.0327536442671354,1.3498049,1399,143,1256
-.0326250808135956,1.3498236,1399,145,1254
-.0326166007112516,1.3498253,1399,145,1254
-.0325094020092556,1.3498477,1399,147,1252
-.0323650639470659,1.3498945,1399,147,1252
-.0323534805928236,1.3498986,1399,148,1251
-.0322951954980723,1.3499198,1399,150,1249
-.032203926887558,1.349952,1399,151,1248
-.0319663310203358,1.3500465,1399,151,1247
-.0318001001769393,1.3501127,1399,152,1246
-.0317639260133677,1.350127,1399,154,1245
-.0317165543530473,1.3501458,1399,155,1244
-.0312452399039829,1.3503428,1399,156,1243
-.0311768440678338,1.3503705,1399,157,1242
-.0311630802975944,1.3503757,1399,157,1242
-.0311225903543024,1.3503915,1399,158,1241
-.0310629508962468,1.3504169,1399,159,1239
-.0310121372851004,1.3504387,1399,161,1238
-.0309584159209261,1.3504623,1399,162,1237
-.0308625879774969,1.3505009,1399,163,1236
-.0307638236367251,1.3505397,1399,164,1235
-.0307264940538586,1.350554,1399,165,1234
-.0307240872360553,1.3505549,1399,165,1234
-.0306553469987066,1.3505826,1399,166,1233
-.0305853878632923,1.3506089,1399,167,1232
-.0305765348913557,1.3506122,1399,169,1230
-.030529777983849,1.35063,1399,170,1229
-.0303860660114109,1.3506829,1399,170,1229
-.0303764662349296,1.3506861,1399,171,1228
-.0303762164258135,1.3506862,1399,172,1226
-.0303132533252434,1.3507073,1399,174,1225
-.0302934404752563,1.3507119,1399,175,1224
-.0302423289665579,1.3507237,1399,175,1223
-.0302321911941434,1.3507258,1399,176,1223
-.0302317635844009,1.3507258,1399,177,1222
-.0301796031975752,1.3507336,1399,179,1220
-.0301769507293094,1.3507341,1399,179,1220
-.0300606499304474,1.35075,1399,181,1218
-.0300182703664224,1.3507522,1399,182,1217
-.0300062188921958,1.3507521,1399,182,1217
-.0299535582284138,1.3507503,1399,184,1215
-.0299397593553779,1.3507499,1399,184,1215
-.0298597645837925,1.3507413,1399,185,1214
-.0297881371961631,1.3507302,1399,186,1213
-.0297620139448194,1.3507249,1399,188,1211
-.0297594231595545,1.3507245,1399,188,1211
-.0297409628455371,1.3507178,1399,190,1209
-.0295875992837392,1.3506641,1399,190,1209
-.0295600831377743,1.350654,1399,191,1208
-.0290929140427864,1.3504829,1399,192,1206
-.0290299087062582,1.3504615,1399,194,1205
-.0288378531735882,1.3503933,1399,194,1205
-.0287635934554984,1.350368,1399,196,1203
-.0285042255474115,1.3502846,1399,196,1203
-.0284731974675537,1.3502759,1399,197,1202
-.0282725044368201,1.3502219,1399,199,1200
-.0278163423501037,1.350127,1399,199,1200
-.0277493933708185,1.3501199,1399,201,1198
-.0276540093941752,1.3501104,1399,201,1198
-.0274825795438531,1.3501073,1399,203,1196
-.0274619979497706,1.3501072,1399,203,1196
-.0273482154099275,1.3501198,1399,204,1195
-.0272822632080342,1.3501273,1399,205,1194
-.0272499839171001,1.3501312,1399,206,1193
-.0272438444532229,1.3501321,1399,208,1191
-.0272381953628827,1.3501322,1399,208,1191
-.0271518665570062,1.3501339,1399,210,1189
-.0270992980185317,1.3501354,1399,210,1189
-.0270924122887007,1.3501356,1399,211,1188
-.0270818471801149,1.3501346,1399,212,1186
-.0270736352860644,1.3501338,1399,213,1186
-.0268261806681957,1.3501129,1399,215,1184
-.0266958797711726,1.3501035,1399,216,1183
-.0265300945299843,1.3500932,1399,216,1183
-.0265291715918333,1.3500931,1399,217,1182
-.02648077206554,1.3500913,1399,219,1180
-.0264657371211986,1.3500907,1399,219,1180
-.0263505392129132,1.3500768,1399,220,1179
-.0261345454596843,1.350054,1399,221,1178
-.0258304618236981,1.3500232,1399,222,1177
-.0257387200996529,1.3500061,1399,224,1175
-.0256153801578515,1.3499839,1399,224,1175
-.0256146985316449,1.3499838,1399,226,1173
-.0256142925992933,1.3499837,1399,226,1173
-.0253989834072717,1.3499359,1399,228,1171
-.0251408290437613,1.3498852,1399,228,1171
-.0250977000443651,1.3498763,1399,230,1169
-.0250906545398706,1.3498749,1399,230,1168
-.0250383761107342,1.3498648,1399,232,1167
-.0249878196098352,1.3498552,1399,233,1166
-.0249788906141195,1.3498535,1399,233,1166
-.024859891695147,1.3498338,1399,235,1164
-.0247323356852042,1.3498091,1399,235,1164
-.0244739433399267,1.3497673,1399,236,1163
-.0244031714413923,1.3497533,1399,237,1161
-.0244013515521097,1.3497529,1399,239,1160
-.0243674461040521,1.3497458,1399,240,1159
-.0242609364103273,1.3497241,1399,240,1159
-.024086913355868,1.3496858,1399,241,1158
-.024083923053608,1.3496851,1399,243,1156
-.0240228759076892,1.3496696,1399,244,1155
-.0240195215059161,1.3496686,1399,244,1155
-.0239145040383523,1.3496439,1399,245,1154
-.0237980329304947,1.3496183,1399,247,1152
-.0237529500009467,1.3496077,1399,247,1152
-.0236141953552587,1.3495697,1399,249,1150
-.0236035411799827,1.3495669,1399,249,1150
-.023412814562724,1.34952,1399,251,1148
-.0233676037195577,1.3495095,1399,251,1148
-.0232359752973621,1.3494797,1399,253,1146
-.0228419738081514,1.3494018,1399,253,1146
-.022438253796744,1.3493148,1399,255,1144
-.0223185731706051,1.3492897,1399,255,1144
-.0222942966506015,1.3492849,1399,257,1142
-.022190974197046,1.3492635,1399,257,1142
-.022064693845287,1.3492359,1399,258,1141
-.0220451614973623,1.3492318,1399,259,1140
-.0219841779403375,1.3492216,1399,260,1139
-.0219820950249133,1.3492213,1399,261,1138
-.0219281349274229,1.3492142,1399,262,1137
-.0217855864613534,1.3491948,1399,263,1136
-.0216549264788841,1.3491783,1399,264,1135
-.021591267724552,1.3491715,1399,266,1133
-.021578983997181,1.3491702,1399,266,1133
-.0215112952172233,1.3491664,1399,267,1132
-.0215016603883866,1.349167,1399,268,1131
-.0214951765941579,1.3491669,1399,270,1129
-.0214408149641129,1.349162,1399,270,1129
-.0214390716771544,1.3491616,1399,272,1127
-.0214351598259607,1.3491609,1399,273,1126
-.0214264299763942,1.3491594,1399,274,1125
-.0211814203847911,1.3491247,1399,274,1125
-.0209701423129707,1.3490968,1399,276,1123
-.0208373942754476,1.3490887,1399,276,1123
-.0207967753516732,1.3490838,1399,277,1122
-.0207173525564599,1.3490598,1399,278,1121
-.0206697049933032,1.349045,1399,279,1119
-.0206371736270052,1.349035,1399,281,1118
-.0206090669603076,1.3490267,1399,281,1117
-.0204119579192484,1.3489442,1399,282,1117
-.0203135316343434,1.3488876,1399,283,1116
