item,value
source_observations,1827
source_duplicate_rows,0
bad_b_it_debt_gdp_mapping_rows,0
max_theta_debt_gdp_reconstruction_diff,0
debt_sample_observations,1373
debt_sample_countries,60
debt_sample_years,27
debt_sample_first_year,1995
debt_sample_last_year,2021
ready_sample_observations,1399
ready_sample_countries,59
ready_sample_years,28
ready_sample_first_year,1995
ready_sample_last_year,2022
rss_min_cutoff_debt_theta,.0766815639149585
ready_rss_at_debt_cutoff,1.290839736612483
outcome_horizon,2
competing_criterion_count,5
