equation,variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
debt,b_outcome,.1039058908610826,.028772401,.10001494,.96255314,adequate
debt,theta_hat_A,.1331830310215201,.11365046,.073529057,.55209029,adequate
debt,debt_gdp,.3491598009411055,.30985287,.16924694,.48472631,adequate
debt,mA_hat,.0819425262743313,.072905436,.03935029,.48021817,adequate
debt,TA_hat,.0197573709343142,.019688154,.0023845818,.12069327,adequate
debt,bmA_hat,.1342121004495989,.11462,.07376042,.54958099,adequate
debt,readiness100,.1462020880877979,.14115621,.040376157,.27616677,adequate
debt,vulnerability100,.0787804009843445,.078504406,.0095082643,.12069327,adequate
debt,inflation_cpi,.0497229737389961,.033892304,.036663335,.73735201,adequate
debt,reserves,.1320514392662066,.1228634,.061580829,.46633971,adequate
debt,tt,.1804805116790453,.084093593,.15741983,.87222624,adequate
ready,A_outcome,.1447811263115456,.14049704,.038032696,.26269099,adequate
ready,theta_hat_A,.1352866678251315,.11592494,.073647596,.5443818,adequate
ready,interest_revenue,.0951725587806967,.082841024,.043374691,.45574787,adequate
ready,vulnerability100,.0794260267043243,.078923777,.0098957513,.12459078,adequate
ready,inflation_cpi,.0545500398580508,.035215948,.041919395,.76845765,adequate
ready,reserves,.1131437796066313,.10720681,.060101911,.53119946,adequate
ready,tt,.1841076049017356,.083793782,.16189948,.87937421,adequate
