specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_with_b,debt,b_outcome,dependent_variable,1373,.016263291,.10390589,-1.04908,-.070900001,-.032480013,.011380005,.060030002,.12527999,.60760999
debt_with_b,debt,debt_kink_low,regressor,1373,.010222091,.013300094,0,0,0,.0036576779,.018062022,.03214841,.057290051
debt_with_b,debt,debt_kink_high,regressor,1373,.019940967,.057622693,0,0,0,0,.01377227,.055281147,.57628071
debt_with_b,debt,debt_gdp,regressor,1373,.57678843,.34915981,.039009999,.21797001,.35339001,.50375003,.72245002,1.01967,2.6096399
debt_with_b,debt,vulnerability100,regressor,1373,.38328454,.078780398,.252527,.29974616,.31770468,.3690156,.43462288,.50306094,.58079988
debt_with_b,debt,growth,regressor,1373,.033459373,.036421321,-.14546999,-.0047800001,.016039999,.033720002,.055190001,.07491,.24624
debt_with_b,debt,inflation_cpi,regressor,1373,.04365281,.049722973,-.017680001,.0048600002,.015579999,.02912,.057319999,.094519995,.55035001
debt_with_b,debt,reserves,regressor,1373,.053700723,.13205144,2.4124340e-06,.00018522296,.0019111682,.014703501,.050728846,.096428014,1.5270723
debt_with_b,debt,tt,regressor,1373,1.00815,.18048051,.31876099,.86199999,.94499999,.99599999,1.044,1.1360981,2.7307551
debt_with_b,debt,readiness100,construction_input,1373,.50481647,.14620209,.20213045,.32307774,.37249309,.49710491,.631203,.70977265,.80720198
debt_with_b,debt,theta_hat_A,construction_input,1373,.031304214,.10666453,-.061681312,-.041565105,-.020741852,.0042020064,.044484809,.1145692,1.1823027
ready_with_lag,ready,A_outcome,dependent_variable,1389,.50542665,.14485833,.20213045,.3189573,.37583694,.50036967,.63126123,.70849615,.7973066
ready_with_lag,ready,ready_kink_low,regressor,1389,.00093804969,.0015324643,-.0040614516,0,0,.0005926842,.0015497387,.0027122088,.010035668
ready_with_lag,ready,ready_kink_high,regressor,1389,.0032925345,.0097832335,-.0027982134,0,0,0,.0010890824,.011226845,.14050032
ready_with_lag,ready,readiness_lag,regressor,1389,.50041097,.14380987,.20213045,.31860408,.37064263,.49318895,.62210703,.70458013,.7973066
ready_with_lag,ready,vulnerability100,regressor,1389,.38167027,.079260714,.25103006,.29825726,.31688339,.36726913,.43425024,.50306094,.58079988
ready_with_lag,ready,growth,regressor,1389,.033365961,.035710536,-.14546999,-.0040500001,.016249999,.033459999,.054740001,.073559999,.24624
ready_with_lag,ready,inflation_cpi,regressor,1389,.046453729,.054536466,-.017680001,.0053699999,.016319999,.031570002,.061469998,.099750005,.72300005
ready_with_lag,ready,reserves,regressor,1389,.044756357,.11349929,2.4124340e-06,.00018173724,.0018823652,.014556373,.049234889,.087031469,1.5270723
ready_with_lag,ready,tt,regressor,1389,1.0075258,.17661458,.31876099,.86093801,.94199997,.9947328,1.0435706,1.141,2.7307551
ready_with_lag,ready,interest_revenue,construction_input,1389,.084485091,.094950579,-.069005318,.0053775138,.026114771,.056731228,.10895845,.20475921,.77773798
ready_with_lag,ready,theta_hat_A,construction_input,1389,.030686852,.10864609,-.061681312,-.041986566,-.02111185,.003865761,.042244256,.11305086,1.1823027
ready_debt_cutoff,ready_debt,A_outcome,dependent_variable,1389,.50542665,.14485833,.20213045,.3189573,.37583694,.50036967,.63126123,.70849615,.7973066
ready_debt_cutoff,ready_debt,ready_debt_kink_low,regressor,1389,.00054623693,.0010691774,-.0032439004,0,0,.000075359545,.00096524111,.0018708738,.005983972
ready_debt_cutoff,ready_debt,ready_debt_kink_high,regressor,1389,.0039140442,.010510943,-.0031075694,0,0,0,.0024386509,.013269939,.14478737
ready_debt_cutoff,ready_debt,readiness_lag,regressor,1389,.50041097,.14380987,.20213045,.31860408,.37064263,.49318895,.62210703,.70458013,.7973066
ready_debt_cutoff,ready_debt,vulnerability100,regressor,1389,.38167027,.079260714,.25103006,.29825726,.31688339,.36726913,.43425024,.50306094,.58079988
ready_debt_cutoff,ready_debt,growth,regressor,1389,.033365961,.035710536,-.14546999,-.0040500001,.016249999,.033459999,.054740001,.073559999,.24624
ready_debt_cutoff,ready_debt,inflation_cpi,regressor,1389,.046453729,.054536466,-.017680001,.0053699999,.016319999,.031570002,.061469998,.099750005,.72300005
ready_debt_cutoff,ready_debt,reserves,regressor,1389,.044756357,.11349929,2.4124340e-06,.00018173724,.0018823652,.014556373,.049234889,.087031469,1.5270723
ready_debt_cutoff,ready_debt,tt,regressor,1389,1.0075258,.17661458,.31876099,.86093801,.94199997,.9947328,1.0435706,1.141,2.7307551
ready_debt_cutoff,ready_debt,interest_revenue,construction_input,1389,.084485091,.094950579,-.069005318,.0053775138,.026114771,.056731228,.10895845,.20475921,.77773798
ready_debt_cutoff,ready_debt,theta_hat_A,construction_input,1389,.030686852,.10864609,-.061681312,-.041986566,-.02111185,.003865761,.042244256,.11305086,1.1823027
