cutoff,rss,N,low_n,high_n
-.035925891518032,8.2014017,1373,138,1235
-.0358194282075061,8.2015495,1373,139,1234
-.0356789209360816,8.2017431,1373,139,1234
-.0354676649287727,8.2020187,1373,141,1232
-.0353609102666842,8.2021484,1373,142,1231
-.0353081890700622,8.2022171,1373,142,1231
-.0353052216859278,8.2022219,1373,144,1229
-.0351532014429902,8.2024574,1373,144,1229
-.0351149227589864,8.202527,1373,146,1227
-.0350151161642913,8.2027092,1373,147,1226
-.0349732126740803,8.2027817,1373,148,1225
-.0346142242818923,8.2033653,1373,148,1225
-.0345437152052299,8.2034731,1373,149,1224
-.0345400771489883,8.2034788,1373,151,1222
-.0345362363350461,8.2034845,1373,151,1222
-.034446441675793,8.2036238,1373,152,1221
-.0344326208245257,8.2036467,1373,154,1219
-.0341730254481503,8.2040529,1373,155,1218
-.034068458176397,8.2042027,1373,155,1218
-.0339829677980553,8.2043161,1373,157,1216
-.0338024712737837,8.2045288,1373,158,1215
-.0331966669144009,8.204998,1373,158,1215
-.0331740632499341,8.2050104,1373,160,1213
-.0330287008967533,8.2050896,1373,160,1213
-.0330020031352673,8.2051029,1373,161,1211
-.0329645312319174,8.205121,1373,162,1211
-.0327931844620433,8.2052002,1373,163,1210
-.0326442943877002,8.2052603,1373,164,1209
-.032498846692966,8.2053137,1373,166,1207
-.0324367605145982,8.2053347,1373,167,1206
-.0322330894048108,8.2053967,1373,168,1205
-.032226659169573,8.2053976,1373,168,1205
-.0321667076825629,8.2054129,1373,169,1203
-.032165148067588,8.2054129,1373,171,1202
-.0319949147738858,8.2054472,1373,172,1201
-.0317145205221706,8.2054691,1373,172,1201
-.0317041448401685,8.2054691,1373,173,1200
-.0316037702479525,8.2054682,1373,175,1198
-.0315591557248286,8.2054672,1373,176,1197
-.0314431025717902,8.2054615,1373,177,1196
-.0314299269895747,8.2054605,1373,177,1196
-.0314169018819353,8.2054596,1373,179,1194
-.0309479550255955,8.2053947,1373,179,1194
-.0308127181754457,8.2053719,1373,181,1192
-.0307859407965968,8.205368,1373,181,1192
-.030700605983568,8.2053537,1373,182,1191
-.0305968841168398,8.2053366,1373,183,1190
-.0305395593962161,8.2053251,1373,185,1188
-.0304398756263442,8.2053051,1373,186,1187
-.0303860539593457,8.2052937,1373,186,1187
-.0303113463597113,8.2052794,1373,188,1185
-.030185052281985,8.2052517,1373,188,1185
-.0301363961804781,8.2052412,1373,189,1184
-.0300515653643211,8.2052231,1373,191,1182
-.0299265512213917,8.2051954,1373,191,1182
-.0297714733007379,8.2051544,1373,193,1180
-.0297587084652902,8.2051506,1373,193,1180
-.029733803600297,8.2051449,1373,195,1178
-.0297111173876443,8.2051382,1373,196,1177
-.0296929465171617,8.2051334,1373,197,1176
-.029684182893607,8.2051315,1373,197,1176
-.029673130784413,8.2051287,1373,199,1174
-.0296717545436425,8.2051287,1373,200,1173
-.0294096012270736,8.2050753,1373,200,1173
-.0293191181021885,8.2050562,1373,201,1172
-.0292399330962382,8.2050428,1373,203,1170
-.0288297033562232,8.2049837,1373,203,1170
-.0287839364251366,8.2049751,1373,205,1168
-.0287002280540691,8.204957,1373,206,1167
-.0285142754060834,8.204916,1373,206,1167
-.0284426636063389,8.2049007,1373,207,1166
-.0282778635803554,8.2048645,1373,208,1165
-.0282669827699892,8.2048626,1373,209,1164
-.0281125873182551,8.2048197,1373,211,1162
-.0281022816403673,8.2048159,1373,212,1161
-.0276563855236357,8.2047014,1373,213,1160
-.0276455299496927,8.2046986,1373,214,1159
-.0276119321999406,8.20469,1373,214,1158
-.0275737015750126,8.2046814,1373,215,1158
-.0275160202225584,8.2046652,1373,217,1156
-.0275138759019081,8.2046652,1373,218,1155
-.0272781005770358,8.2045946,1373,218,1155
-.0271103225548569,8.2045412,1373,220,1153
-.026947269559741,8.2044878,1373,221,1152
-.0268901223634905,8.2044668,1373,221,1152
-.0266609362134306,8.2043762,1373,223,1150
