cutoff,rss,N,low_n,high_n
-.0329738351993638,.70047015,1389,139,1250
-.0329460979490198,.70047247,1389,139,1250
-.0329457645804466,.70047247,1389,140,1249
-.032866879739163,.700481,1389,141,1247
-.0327966191150977,.70049143,1389,142,1247
-.0327536442671354,.70049834,1389,143,1246
-.0326250808135956,.70051926,1389,145,1244
-.0326166007112516,.70052099,1389,145,1244
-.0325094020092556,.70054287,1389,147,1242
-.0323650639470659,.70057797,1389,147,1242
-.0323534805928236,.70058078,1389,148,1241
-.0322951954980723,.70059478,1389,150,1239
-.032203926887558,.70061678,1389,151,1238
-.0319663310203358,.7006737,1389,151,1237
-.0318001001769393,.70071173,1389,152,1236
-.0317639260133677,.70071983,1389,154,1235
-.0317165543530473,.70073038,1389,155,1234
-.0312452399039829,.70083106,1389,156,1233
-.0311768440678338,.70084482,1389,157,1232
-.0311630802975944,.70084751,1389,157,1232
-.0311225903543024,.70085531,1389,158,1231
-.0310629508962468,.70086759,1389,159,1229
-.0310121372851004,.70087802,1389,161,1228
-.0309584159209261,.70088935,1389,162,1227
-.0308625879774969,.70091015,1389,163,1226
-.0307638236367251,.70093095,1389,164,1225
-.0307264940538586,.70093864,1389,165,1224
-.0307240872360553,.70093918,1389,165,1224
-.0306553469987066,.70095372,1389,166,1223
-.0305853878632923,.70096779,1389,167,1222
-.0305765348913557,.70096952,1389,169,1220
-.030529777983849,.70097888,1389,170,1219
-.0303860660114109,.70100743,1389,170,1219
-.0303764662349296,.70100921,1389,171,1218
-.0303762164258135,.70100921,1389,172,1216
-.0303132533252434,.7010206,1389,174,1215
-.0302934404752563,.70102358,1389,175,1214
-.0302423289665579,.70103115,1389,175,1213
-.0302321911941434,.70103252,1389,176,1213
-.0302317635844009,.70103258,1389,177,1212
-.0301796031975752,.70103943,1389,179,1210
-.0301769507293094,.70103979,1389,179,1210
-.0300606499304474,.70105547,1389,181,1208
-.0300182703664224,.70106024,1389,182,1207
-.0300062188921958,.70106149,1389,182,1207
-.0299535582284138,.70106703,1389,184,1205
-.0298597645837925,.70107675,1389,184,1205
-.0297881371961631,.70108235,1389,185,1204
-.0297620139448194,.70108449,1389,187,1202
-.0297594231595545,.70108473,1389,187,1202
-.0297409628455371,.70108563,1389,189,1200
-.0295875992837392,.70109308,1389,189,1200
-.0295600831377743,.70109403,1389,190,1199
-.0290929140427864,.7011081,1389,191,1197
-.0290299087062582,.70111006,1389,193,1196
-.0288378531735882,.70111531,1389,193,1196
-.0287635934554984,.70111746,1389,195,1194
-.0285042255474115,.70112473,1389,195,1194
-.0284731974675537,.70112586,1389,196,1193
-.0282725044368201,.70113349,1389,198,1191
-.0278163423501037,.70115232,1389,198,1191
-.0277493933708185,.70115602,1389,200,1189
-.0276540093941752,.70116127,1389,200,1189
-.0274825795438531,.70117152,1389,202,1187
-.0274619979497706,.70117283,1389,202,1187
-.0273482154099275,.70118058,1389,203,1186
-.0272822632080342,.70118499,1389,204,1185
-.0272499839171001,.70118713,1389,205,1184
-.0272438444532229,.70118755,1389,207,1182
-.0272381953628827,.70118791,1389,207,1182
-.0271518665570062,.70119327,1389,209,1180
-.0270992980185317,.70119721,1389,209,1180
-.0270924122887007,.70119774,1389,210,1179
-.0270818471801149,.70119852,1389,211,1177
-.0270736352860644,.701199,1389,212,1177
-.0268261806681957,.70121282,1389,214,1175
-.0266958797711726,.7012198,1389,215,1174
-.0265300945299843,.70122814,1389,215,1174
-.0265291715918333,.7012282,1389,216,1173
-.02648077206554,.70123053,1389,218,1171
-.0264657371211986,.70123124,1389,218,1171
-.0263505392129132,.70123529,1389,219,1170
