item,value
source_observations,1827
theta_panel_observations,1827
theta_constructible_observations,1677
bad_b_it_debt_gdp_mapping_rows,0
max_theta_debt_gdp_reconstruction_diff,0
duplicate_rows,0
debt_sample_observations,1373
debt_sample_countries,60
debt_sample_years,27
debt_sample_first_year,1995
debt_sample_last_year,2021
ready_sample_observations,1389
ready_sample_countries,59
ready_sample_years,27
ready_sample_first_year,1996
ready_sample_last_year,2022
rss_min_cutoff_debt,.0212436177110673
rss_min_cutoff_ready,.0245263972043871
ready_rss_at_debt_cutoff,.6955299606442185
outcome_horizon,2
bad_debt_year_alignment_rows,0
bad_ready_year_alignment_rows,0
bad_readiness_lag_alignment_rows,0
