equation,variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
debt,b_outcome,.1039058908610826,.028772401,.10001494,.96255314,adequate
debt,theta_hat_A,.1331830310215201,.11365046,.073529057,.55209029,adequate
debt,readiness100,.1462020880877979,.14115621,.040376157,.27616677,adequate
debt,debt_gdp,.3491598009411055,.30985287,.16924694,.48472631,adequate
debt,vulnerability100,.0787804009843445,.078504406,.0095082643,.12069327,adequate
debt,inflation_cpi,.0497229737389961,.033892304,.036663335,.73735201,adequate
debt,reserves,.1320514392662066,.1228634,.061580829,.46633971,adequate
debt,tt,.1804805116790453,.084093593,.15741983,.87222624,adequate
ready,A_outcome,.1448583341888839,.14051622,.037861928,.26137212,adequate
ready,theta_hat_A,.1356957059750038,.11592242,.073897682,.5445838,adequate
ready,interest_revenue,.0949505773381267,.083327286,.04314097,.45435184,adequate
ready,readiness_lag,.1438098656159137,.13899818,.039772719,.2765646,adequate
ready,vulnerability100,.0792607151837697,.078828976,.009803731,.12368967,adequate
ready,inflation_cpi,.0545364645618493,.035271369,.0417994,.76644862,adequate
ready,reserves,.1134992932089504,.10720701,.060306311,.53133643,adequate
ready,tt,.176614581762695,.078237265,.15703702,.88915098,adequate
