baseline_model,model,variable,baseline,new,absolute_change,percent_change,reporting_rule
T4_all_core,T5_macro,vulnerability100,.1300557065944232,.06688112,-.063174583,-48.57502,percent
T4_all_core,T5_macro,readiness100,-.0134807070198886,-.011568272,.0019124344,14.186455,percent
T4_all_core,T5_macro,taxbase_lag,.8619440661416464,.85130423,-.010639857,-1.2344022,percent
T4_all_core,T7_layer2_A,vulnerability100,.1300557065944232,.058753539,-.071302168,-54.824329,percent
T4_all_core,T7_layer2_A,readiness100,-.0134807070198886,-.015528277,-.0020475704,-15.188894,percent
T4_all_core,T7_layer2_A,taxbase_lag,.8619440661416464,.85306865,-.0088754082,-1.0296965,percent
T8_interact_core,T9_interact_macro,c_A_T,-.0186823052041704,-.016317779,.0023645267,12.656504,percent
T8_interact_core,T9_interact_macro,c_X_T,.1658273754729973,.099670798,-.066156574,-39.894844,percent
T8_interact_core,T9_interact_macro,int_AX_T,.2245635736607878,.20480902,-.019754546,-8.7968616,percent
T8_interact_core,T9_interact_macro,taxbase_lag,.8541606327102987,.84431243,-.0098481756,-1.1529653,percent
T8_interact_core,T10_interact_full,c_A_T,-.0186823052041704,-.020557465,-.0018751593,-10.037087,percent
T8_interact_core,T10_interact_full,c_X_T,.1658273754729973,.093308538,-.072518833,-43.731522,percent
T8_interact_core,T10_interact_full,int_AX_T,.2245635736607878,.20789197,-.016671602,-7.4240012,percent
T8_interact_core,T10_interact_full,taxbase_lag,.8541606327102987,.84577316,-.008387492,-.9819572,percent
