specification,variable,vif,tolerance,condition_number
linear,readiness100,1.028256768189796,.97251976,1.2139471
linear,wsdi_days,1.005948159214793,.99408704,1.2139471
linear,T_it,1.009886365311149,.99021041,1.2139471
linear,inflation_cpi,1.016226481008699,.98403263,1.2139471
linear,reserves,1.010997263701521,.98912233,1.2139471
linear,tt,1.021370596552573,.97907656,1.2139471
interaction,c_A_T,1.053746287137621,.94899505,1.3135425
interaction,c_X_T,1.026894280378375,.97381008,1.3135425
interaction,int_AX_T,1.05339165996303,.94931453,1.3135425
interaction,T_it,1.011686599944267,.98844838,1.3135425
interaction,inflation_cpi,1.016249633798398,.98401022,1.3135425
interaction,reserves,1.011059258674036,.98906171,1.3135425
interaction,tt,1.025006644960327,.9756034,1.3135425
