source,parameter,estimate,se,t,p,ci_low,ci_high,units
spread,beta_A_raw,-.408588092598602,.14630324,-2.792748,.0053105284,-.69563109,-.12154508,spread ratio per A-ratio unit
spread,beta_b_raw,.0122434986850611,.041048501,.29826909,.7655502,-.068292551,.092779547,spread ratio per debt-ratio unit
spread,beta_X_raw,-.1309326668715808,.33664843,-.38892996,.69739801,-.79142779,.52956247,spread ratio per X-ratio unit
spread,beta_AA,.4444155251632112,.13753423,3.2313087,.0012662319,.17457709,.71425396,second-order spread coefficient
spread,beta_bb,.0254437828054462,.010399811,2.4465621,.014567491,.0050396342,.04584793,second-order spread coefficient
spread,beta_XX,-.0671954241891609,.73291367,-.091682591,.92696577,-1.5051522,1.3707614,second-order spread coefficient
spread,beta_AB,-.1516070250999639,.034596473,-4.382153,.000012794677,-.21948437,-.083729684,second-order spread coefficient
spread,beta_AX,.5113925232029379,.23930387,2.1370006,.032802731,.041884799,.98090023,second-order spread coefficient
spread,beta_bX,.2780445211999765,.083528951,3.3287203,.0008993466,.11416297,.44192606,second-order spread coefficient
tax,gamma_A_raw,.2673498887060891,.17341405,1.5416853,.1233704,-.072822109,.60752189,revenue/GDP ratio per A-ratio unit
tax,gamma_AA,-.3984874187990228,.17824258,-2.2356467,.025528098,-.74813116,-.048843686,tax-base quadratic coefficient in A
tax,gamma_XX,-.3453719534514521,.82369059,-.41929817,.67506093,-1.9611378,1.2703938,tax-base quadratic coefficient in X
tax,gamma_AX,-.1708427199844684,.23700066,-.72085333,.47111708,-.63574731,.2940619,revenue/GDP ratio per A-ratio per X-ratio unit
tax,phi_b,.0205664483393039,.0056868941,3.6164641,.00030899205,.0094109382,.031721957,tax-base ratio per b-ratio unit
