variable_i,variable_j,correlation
readiness100,readiness100,1
readiness100,vulnerability100,-.776631026073788
readiness100,Y_lag,-.2152719413785746
readiness100,growth,-.2591053714582947
readiness100,inflation_cpi,-.3671631815243466
readiness100,reserves,.264874083910578
readiness100,tt,.0057297488333088
vulnerability100,readiness100,-.776631026073788
vulnerability100,vulnerability100,1
vulnerability100,Y_lag,.2955770329976994
vulnerability100,growth,.292681661663886
vulnerability100,inflation_cpi,.296441386449119
vulnerability100,reserves,-.1944363128493085
vulnerability100,tt,.0339173786494816
Y_lag,readiness100,-.2152719413785746
Y_lag,vulnerability100,.2955770329976994
Y_lag,Y_lag,1
Y_lag,growth,.1438206455068279
Y_lag,inflation_cpi,.0453721195768138
Y_lag,reserves,-.3066661732655075
Y_lag,tt,.146471792383836
growth,readiness100,-.2591053714582947
growth,vulnerability100,.292681661663886
growth,Y_lag,.1438206455068279
growth,growth,1
growth,inflation_cpi,.1217025217676944
growth,reserves,-.0394762638844183
growth,tt,.0115943266633672
inflation_cpi,readiness100,-.3671631815243466
inflation_cpi,vulnerability100,.296441386449119
inflation_cpi,Y_lag,.0453721195768138
inflation_cpi,growth,.1217025217676944
inflation_cpi,inflation_cpi,1
inflation_cpi,reserves,-.1222585578508839
inflation_cpi,tt,-.0193244891557433
reserves,readiness100,.264874083910578
reserves,vulnerability100,-.1944363128493085
reserves,Y_lag,-.3066661732655075
reserves,growth,-.0394762638844183
reserves,inflation_cpi,-.1222585578508839
reserves,reserves,1
reserves,tt,-.018131705493689
tt,readiness100,.0057297488333088
tt,vulnerability100,.0339173786494816
tt,Y_lag,.146471792383836
tt,growth,.0115943266633672
tt,inflation_cpi,-.0193244891557433
tt,reserves,-.018131705493689
tt,tt,1
