model,moderator,point,moderator_value,marginal_effect,se,t,p,ci_low,ci_high
T8_interact_core,wsdi_days,P10,.0493775777816772,.048392877,.042618908,1.1354791,.25617462,-.035138644,.13192441
T8_interact_core,wsdi_days,P25,.0892945928556699,.0495838,.042406335,1.1692545,.24230109,-.033531088,.13269868
T8_interact_core,wsdi_days,P50,.1468772666454315,.05130177,.04233712,1.2117444,.22561021,-.031677458,.13428099
T8_interact_core,wsdi_days,P75,.2192994324366251,.053462479,.042649064,1.253544,.2100078,-.030128153,.13705312
T8_interact_core,wsdi_days,P90,.3156557559967041,.05633726,.043734998,1.2881505,.19769357,-.029381759,.14205627
T8_interact_core,wsdi_days,Mean_minus_1SD,.0600103748222059,.048710108,.042549219,1.1447943,.25229436,-.034684829,.13210505
T8_interact_core,wsdi_days,Mean,.1659416034710151,.051870555,.04237628,1.2240468,.22093454,-.03118543,.13492654
T8_interact_core,wsdi_days,Mean_plus_1SD,.2718728321198243,.055031002,.04314905,1.27537,.20217833,-.029539581,.13960159
T9_interact_macro,wsdi_days,P10,.0493775777816772,.041467603,.043944247,.94364125,.34535301,-.044661537,.12759675
T9_interact_macro,wsdi_days,P25,.0892945928556699,.042729724,.043684859,.97813582,.32800716,-.042891022,.12835047
T9_interact_macro,wsdi_days,P50,.1468772666454315,.044550408,.043543227,1.0231307,.3062461,-.040792748,.12989357
T9_interact_macro,wsdi_days,P75,.2192994324366251,.046840299,.0437578,1.0704446,.28441927,-.038923413,.132604
T9_interact_macro,wsdi_days,P90,.3156557559967041,.049886949,.044708643,1.1158234,.26449773,-.037740376,.13751428
T9_interact_macro,wsdi_days,Mean_minus_1SD,.0600103748222059,.0418038,.043862384,.95306712,.34055606,-.044164896,.1277725
T9_interact_macro,wsdi_days,Mean,.1659416034710151,.045153197,.043557331,1.0366383,.29990447,-.040217604,.13052399
T9_interact_macro,wsdi_days,Mean_plus_1SD,.2718728321198243,.048502594,.044184413,1.0977309,.27232203,-.038097266,.13510245
T10_interact_full,wsdi_days,P10,.0493775777816772,-.0021505202,.060592085,-.035491768,.97168761,-.12090883,.11660779
T10_interact_full,wsdi_days,P25,.0892945928556699,.0023450595,.060942564,.038479831,.9693051,-.11710017,.12179029
T10_interact_full,wsdi_days,P50,.1468772666454315,.0088302018,.061615363,.14331168,.88604403,-.11193369,.1295941
T10_interact_full,wsdi_days,P75,.2192994324366251,.016986614,.062732726,.27077755,.78656214,-.10596727,.1399405
T10_interact_full,wsdi_days,P90,.3156557559967041,.027838565,.064661548,.43052736,.66681206,-.098895743,.15457287
T10_interact_full,wsdi_days,Mean_minus_1SD,.0600103748222059,-.00095302123,.060676038,-.015706714,.98746836,-.11987587,.11796983
T10_interact_full,wsdi_days,Mean,.1659416034710151,.010977287,.0618807,.17739436,.85919863,-.11030666,.13226123
T10_interact_full,wsdi_days,Mean_plus_1SD,.2718728321198243,.022907596,.063724793,.35947695,.71923834,-.10199071,.1478059
