model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
Spread_Quadratic_all,c_A,-.0756395897419606,.016325651,-4.6331749,4.0002483e-06,-.10767008,-.043609105,0
Spread_Quadratic_all,c_b,.0483080531469382,.0038098022,12.679936,1.2293349e-34,.040833324,.055782784,0
Spread_Quadratic_all,c_X,.2871765569489116,.063896678,4.4943895,7.6619463e-06,.16181301,.41254011,0
Spread_Quadratic_all,half_A2,.4444155251632112,.13753423,3.2313087,.0012662319,.17457709,.71425396,0
Spread_Quadratic_all,half_b2,.0254437828054462,.010399811,2.4465621,.014567491,.0050396342,.04584793,0
Spread_Quadratic_all,half_X2,-.0671954241891609,.73291367,-.091682591,.92696577,-1.5051522,1.3707614,0
Spread_Quadratic_all,int_AB,-.1516070250999639,.034596473,-4.382153,.000012794677,-.21948437,-.083729684,0
Spread_Quadratic_all,int_AX,.5113925232029379,.23930387,2.1370006,.032802731,.041884799,.98090023,0
Spread_Quadratic_all,int_bX,.2780445211999765,.083528951,3.3287203,.0008993466,.11416297,.44192606,0
Spread_Quadratic_all,growth,-.1529468374330206,.030968297,-4.9388199,8.9884020e-07,-.21370581,-.092187874,0
Spread_Quadratic_all,inflation_cpi,.1634271667822462,.02462513,6.636601,4.8781652e-11,.11511333,.21174102,0
Spread_Quadratic_all,reserves,.0188810492764234,.0047108042,4.0080309,.000065058855,.0096385786,.02812352,0
Spread_Quadratic_all,tt,.0011162498425221,.0037786579,.29540908,.76773328,-.0062973751,.0085298745,0
Spread_Quadratic_all,ln_currentgdp,.0147188778757715,.0032936046,4.4689269,8.6158252e-06,.008256915,.02118084,0
T1_X_only,vulnerability100,.2257992427924057,.11337259,1.9916563,.046596617,.0034068879,.44819158,0
T2_A_only,readiness100,.0855315750030168,.026006792,3.2888169,.0010302819,.034516498,.13654666,0
T3_persistence,taxbase_lag,.6780767940137932,.046882141,14.463434,0,.5861125,.77004111,0
T4_all_core,vulnerability100,.1045865498939491,.076832302,1.3612314,.17365293,-.046128329,.25530142,0
T4_all_core,readiness100,.0285734823678936,.016473405,1.7345219,.083038919,-.0037408844,.060887851,0
T4_all_core,taxbase_lag,.6741331565037157,.047054436,14.326665,0,.5818308,.7664355,0
T5_macro,vulnerability100,.1405091706826551,.078520589,1.7894565,.073751129,-.013517635,.29453596,0
T5_macro,readiness100,.0251290977627519,.016705256,1.5042629,.13273267,-.0076401085,.057898305,0
T5_macro,taxbase_lag,.7078268269035578,.056088708,12.619774,1.0425309e-34,.59780264,.81785101,0
T5_macro,growth,-.1018955833184635,.031108558,-3.2754838,.0010798578,-.16291846,-.040872708,0
T5_macro,inflation_cpi,-.0347436267790193,.021396207,-1.6238217,.10463241,-.07671465,.007227398,0
T6_layer1_X,vulnerability100,.0784197599860786,.07944411,.98710603,.3237564,-.07741873,.23425825,0
T6_layer1_X,taxbase_lag,.7128310778190631,.052648678,13.539392,0,.60955483,.81610733,0
T6_layer1_X,growth,-.0999494606490114,.030661685,-3.2597511,.0011411256,-.16009578,-.039803144,0
T6_layer1_X,inflation_cpi,-.048437028076816,.020381961,-2.3764656,.017609412,-.088418521,-.0084555354,0
T6_layer1_X,reserves,.0014307661478741,.0063595702,.22497843,.82202798,-.011044241,.013905773,0
T6_layer1_X,tt,-.0241891743795399,.0060135312,-4.0224576,.000060580249,-.035985388,-.012392962,0
T7_layer2_A,vulnerability100,.0715328692306475,.080063477,.89345199,.37176448,-.085520662,.22858641,0
T7_layer2_A,readiness100,.0134622832432088,.016374916,.82212842,.41113991,-.01865896,.045583528,0
T7_layer2_A,taxbase_lag,.7112764038820364,.053065874,13.40365,1.0815010e-38,.60718173,.8153711,0
T7_layer2_A,growth,-.0993302526263479,.030848823,-3.2199039,.0013109437,-.1598437,-.038816806,0
T7_layer2_A,inflation_cpi,-.0478860991548352,.020485897,-2.3375154,.019548791,-.088071495,-.0077007017,0
