model,moderator,point,moderator_value,marginal_effect,se,t,p,ci_low,ci_high
Interact_AB,b_it,P10,.2645499992370606,-.0034708737,.017429618,-.19913653,.84215593,-.037632298,.030690549
Interact_AB,b_it,P25,.379020004272461,-.013810069,.016189847,-.85300803,.39365485,-.045541584,.017921448
Interact_AB,b_it,P50,.5154500007629395,-.026132742,.01511747,-1.7286452,.083872624,-.05576244,.0034969556
Interact_AB,b_it,P75,.7633250045776367,-.048521385,.014572357,-3.3296869,.00086943666,-.077082679,-.019960092
Interact_AB,b_it,P90,1.050319976806641,-.074443437,.016304281,-4.5658832,4.9739583e-06,-.10639924,-.042487636
Interact_AB,b_it,Mean_minus_1SD,.2582997022557,-.0029063325,.017504925,-.16602942,.86813378,-.037215356,.031402688
Interact_AB,b_it,Mean,.6051571231631823,-.034235299,.014697135,-2.3293858,.019838642,-.063041151,-.0054294411
Interact_AB,b_it,Mean_plus_1SD,.9520145440706645,-.06556426,.015452702,-4.2428999,.000022065005,-.095850997,-.035277523
Interact_AX,wsdi_days,P10,.0539180789304816,-.02313306,.015307925,-1.5111821,.13074209,-.05313604,.0068699205
Interact_AX,wsdi_days,P25,.0945008881092071,-.023804208,.015046932,-1.5819974,.11365015,-.053295653,.0056872368
Interact_AX,wsdi_days,P50,.1518626206715902,-.024752842,.014872519,-1.6643342,.09604568,-.053902443,.0043967608
Interact_AX,wsdi_days,P75,.2238573411619159,-.025943471,.014985131,-1.7312809,.08340168,-.055313788,.0034268466
Interact_AX,wsdi_days,P90,.3256138774710642,-.027626295,.015751943,-1.753834,.079458952,-.058499537,.0032469474
Interact_AX,wsdi_days,Mean_minus_1SD,.0652731492587249,-.023320846,.015223753,-1.5318725,.12555391,-.053158853,.0065171593
Interact_AX,wsdi_days,Mean,.1705572592318557,-.025062008,.014866217,-1.6858363,.09182734,-.05419926,.0040752422
Interact_AX,wsdi_days,Mean_plus_1SD,.2758413692049865,-.026803169,.015291871,-1.7527725,.079641074,-.056774687,.0031683461
Interact_all,b_it,P10,.2645499992370606,-.0034393461,.017162897,-.20039427,.84117222,-.037078004,.030199314
Interact_all,b_it,P25,.379020004272461,-.013735045,.015913593,-.86310142,.3880817,-.044925112,.017455023
Interact_all,b_it,P50,.5154500007629395,-.026005875,.014889824,-1.7465537,.080714799,-.055189393,.0031776428
Interact_all,b_it,P75,.7633250045776367,-.04830033,.014618767,-3.3039947,.00095317629,-.076952584,-.019648073
Interact_all,b_it,P90,1.050319976806641,-.074113324,.016848953,-4.3986897,.000010890632,-.10713667,-.041089982
Interact_all,b_it,Mean_minus_1SD,.2582997022557,-.00287718,.017239831,-.16689141,.86745548,-.036666628,.030912269
Interact_all,b_it,Mean,.6051571231631823,-.034074344,.014541986,-2.3431697,.019120684,-.062576115,-.0055725724
Interact_all,b_it,Mean_plus_1SD,.9520145440706645,-.065271504,.01581927,-4.1260757,.000036900583,-.096276708,-.034266308
Interact_all,wsdi_days,P10,.0539180789304816,-.033992462,.015133235,-2.2462125,.024690397,-.063653059,-.0043318667
Interact_all,wsdi_days,P25,.0945008881092071,-.034020953,.014809944,-2.2971694,.021609105,-.063047908,-.0049939943
Interact_all,wsdi_days,P50,.1518626206715902,-.03406122,.014565724,-2.3384502,.019363912,-.062609516,-.0055129239
Interact_all,wsdi_days,P75,.2238573411619159,-.034111761,.014626853,-2.3321323,.019693727,-.062779866,-.0054436531
Interact_all,wsdi_days,P90,.3256138774710642,-.034183193,.015393151,-2.2206755,.026372952,-.064353213,-.004013171
Interact_all,wsdi_days,Mean_minus_1SD,.0652731492587249,-.034000434,.015030694,-2.2620668,.023693278,-.063460052,-.0045408146
Interact_all,wsdi_days,Mean,.1705572592318557,-.034074344,.014541986,-2.3431697,.019120684,-.062576115,-.0055725724
Interact_all,wsdi_days,Mean_plus_1SD,.2758413692049865,-.034148254,.014923122,-2.2882781,.022121334,-.063397035,-.0048994706
