model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
A_X_only,wsdi_days,.0113702533324003,.0055686422,2.0418358,.041167814,.0004559152,.022284592,0
A_X_only,spread_lag,.8135169221644001,.028185064,28.863405,0,.75827521,.86875862,0
A_A_only,readiness100,-.0339867488189302,.012658,-2.6850016,.0072529479,-.058795974,-.0091775246,0
A_A_only,spread_lag,.8003805394189748,.026017716,30.762905,0,.74938673,.85137433,0
A_b_only,b_it,.0069082370836739,.0029580763,2.3353817,.01952349,.0011105142,.01270596,0
A_b_only,spread_lag,.7884607205340063,.017308967,45.552155,0,.75453579,.82238567,0
B_all_core,wsdi_days,.0100831829446365,.0054400498,1.8535092,.063809402,-.00057911914,.020745484,0
B_all_core,readiness100,-.0421209937954705,.015782153,-2.6689005,.0076100016,-.073053442,-.011188542,0
B_all_core,b_it,.0051399264820661,.004279708,1.2009994,.22975145,-.003248147,.013528,0
B_all_core,spread_lag,.7690713761625838,.025198814,30.520142,0,.71968263,.81846017,0
C_macro,wsdi_days,.0090024528554262,.0050701671,1.7755733,.07580328,-.00093489175,.018939797,0
C_macro,readiness100,-.0293449755373353,.015458192,-1.8983446,.057650689,-.059642475,.00095252285,0
C_macro,b_it,.005485843199907,.0040558502,1.3525754,.17619132,-.002463477,.013435164,0
C_macro,growth,-.1521746461264622,.017286628,-8.8030272,1.3317481e-18,-.18605581,-.11829348,0
C_macro,inflation_cpi,.1436515414098597,.023991428,5.9876194,2.1293485e-09,.096629202,.19067387,0
C_macro,spread_lag,.6608463201281927,.024280008,27.217714,0,.61325836,.70843428,0
Layer1_X,wsdi_days,.0097567755612232,.0061315959,1.5912293,.11155797,-.0022609318,.021774484,0
Layer1_X,b_it,.0040640606973344,.0031235088,1.3011204,.19321726,-.0020579037,.010186025,0
Layer1_X,growth,-.1581031986643574,.016968593,-9.3174019,1.1922415e-20,-.19136102,-.12484537,0
Layer1_X,inflation_cpi,.1479535037826017,.0272064,5.4381871,5.3825367e-08,.094629936,.20127706,0
Layer1_X,reserves,-.0089984932432882,.0064849942,-1.387587,.16526285,-.021708848,.0037118616,0
Layer1_X,tt,.0036080896018177,.0045845667,.78700781,.4312773,-.0053774957,.012593674,0
Layer1_X,spread_lag,.6774203072409161,.03193168,21.214678,0,.61483538,.74000525,0
Layer2_A,wsdi_days,.0091317813198615,.0059719961,1.5291004,.12623957,-.0025731158,.020836679,0
Layer2_A,readiness100,-.0262113453966293,.015030552,-1.7438711,.081181571,-.055670686,.0032479952,0
Layer2_A,b_it,.004301733482424,.0030876044,1.3932269,.1635512,-.00174986,.010353327,0
Layer2_A,growth,-.1550084265373295,.01709543,-9.0672436,1.2206552e-19,-.18851486,-.121502,0
Layer2_A,inflation_cpi,.1510110495918098,.026480669,5.7026901,1.1793116e-08,.099109896,.20291221,0
Layer2_A,reserves,-.0082761837370181,.0063106376,-1.3114655,.18970053,-.020644806,.0040924386,0
Layer2_A,tt,.0036048620333101,.0044449018,.81101048,.41735965,-.0051069856,.012316709,0
Layer2_A,spread_lag,.6657075477578234,.031917576,20.857082,0,.60315025,.72826487,0
Interact_AB,c_A,-.0342352970904684,.014697135,-2.3293858,.019838642,-.063041151,-.0054294411,0
Interact_AB,c_X,.0091978600885549,.0059590056,1.5435226,.12270403,-.0024815765,.020877296,0
Interact_AB,c_b,.0083951912428444,.0032314057,2.5979996,.0093768593,.0020617521,.01472863,0
Interact_AB,int_AB,-.0903223134286101,.021689575,-4.164319,.000031228308,-.13283309,-.047811527,0
Interact_AB,growth,-.1482095178421213,.017002419,-8.7169676,2.8575306e-18,-.18153365,-.11488539,0
Interact_AB,inflation_cpi,.1666407960208024,.026389226,6.3147283,2.7063643e-10,.11491887,.21836273,0
Interact_AB,reserves,-.0088694958829472,.0062463847,-1.4199407,.15562494,-.021112185,.0033731933,0
Interact_AB,tt,.0014434298980225,.0043907659,.32874218,.74235058,-.007162313,.010049173,0
Interact_AB,spread_lag,.6234560360139498,.032455426,19.209608,0,.55984455,.68706751,0
Interact_AX,c_A,-.0250620084380799,.014866217,-1.6858363,.09182734,-.05419926,.0040752422,0
Interact_AX,c_X,.008847192576088,.0060849786,1.4539398,.145963,-.0030791461,.020773532,0
Interact_AX,c_b,.0044479109647425,.0030729263,1.4474512,.14777057,-.0015749137,.010470736,0
Interact_AX,int_AX,-.0165377406406556,.032623701,-.50692409,.61220807,-.080479018,.047403537,0
Interact_AX,growth,-.1547224016528959,.01723212,-8.9787216,2.7393141e-19,-.18849674,-.12094807,0
Interact_AX,inflation_cpi,.1512289163675014,.026496002,5.7076125,1.1457175e-08,.09929771,.20316012,0
Interact_AX,reserves,-.008129838313857,.0063616992,-1.277935,.20127234,-.02059854,.0043388633,0
Interact_AX,tt,.0036011763760407,.0044483077,.80956095,.41819257,-.005117347,.0123197,0
Interact_AX,spread_lag,.6641736166828744,.031828165,20.867481,0,.60179156,.72655565,0
Interact_all,c_A,-.0340743427789662,.014541986,-2.3431697,.019120684,-.062576115,-.0055725724,0
Interact_all,c_X,.0091621501074699,.0060825879,1.5062915,.13199235,-.0027595027,.021083802,0
Interact_all,c_b,.0084339189027711,.0032158652,2.6225972,.0087262373,.0021309392,.014736899,0
Interact_all,int_AB,-.0899423250162208,.022748755,-3.9537251,.000076943819,-.13452907,-.045355584,0
Interact_all,int_AX,-.0007019993271959,.034036227,-.020625064,.98354477,-.06741178,.066007778,0
Interact_all,growth,-.1481099973174671,.017052623,-8.6854677,3.7718820e-18,-.18153252,-.11468747,0
Interact_all,inflation_cpi,.1667840848317498,.026585957,6.2733903,3.5326997e-10,.11467656,.21889161,0
Interact_all,reserves,-.0088341457133793,.0063028038,-1.4016216,.16102827,-.021187413,.0035191223,0
Interact_all,tt,.0014386895175724,.0043972149,.32718197,.74353027,-.0071796938,.010057073,0
Interact_all,spread_lag,.6228392945659789,.032524478,19.149864,0,.55909252,.68658608,0
