model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
D1_core,debt,debt_kink_low,-1.189504289042461,.4843111,-2.4560747,.014172364,-2.1395934,-.23941509,0
D1_core,debt,debt_kink_high,.0175291692719823,.12127613,.14453931,.88509631,-.22038226,.25544059,0
D1_core,debt,debt_gdp,-.1409607989383651,.032354724,-4.35673,.000014207229,-.20443214,-.077489458,0
D1_core,debt,vulnerability100,-.2421111052547395,.19476412,-1.2430991,.21404845,-.62418634,.13996415,0
D2_macro,debt,debt_kink_low,-1.5846112479837,.45908782,-3.4516516,.00057450368,-2.4852204,-.68400216,0
D2_macro,debt,debt_kink_high,.1094711338347133,.11810264,.92691523,.35413745,-.12221505,.34115732,0
D2_macro,debt,debt_gdp,-.1719527855652321,.030827556,-5.5778923,2.9415109e-08,-.23242831,-.11147726,0
D2_macro,debt,vulnerability100,-.1256604994213711,.18939497,-.66348386,.50713485,-.49720341,.24588241,0
D2_macro,debt,growth,-.544230147079025,.074681319,-7.2873669,5.3802183e-13,-.69073516,-.39772514,0
D2_macro,debt,inflation_cpi,-.1276283869791197,.068169318,-1.8722262,.061392963,-.26135859,.0061018122,0
D3_full,debt,debt_kink_low,-1.566911505224403,.46193498,-3.3920608,.00071393745,-2.4731071,-.66071588,0
D3_full,debt,debt_kink_high,.1169991355299517,.11866195,.98598701,.32431775,-.11578459,.34978285,0
D3_full,debt,debt_gdp,-.1703599952579732,.030699538,-5.5492687,3.4541937e-08,-.23058446,-.11013553,0
D3_full,debt,vulnerability100,-.0984519797504274,.18520023,-.5315975,.59509301,-.46176642,.26486245,0
D3_full,debt,growth,-.5424783249715991,.074675485,-7.2644763,6.3384264e-13,-.68897212,-.39598453,0
D3_full,debt,inflation_cpi,-.1225320190626339,.068808809,-1.7807606,.0751784,-.25751692,.012452879,0
D3_full,debt,reserves,-.0071193162020065,.016358934,-.43519437,.66349155,-.039211269,.024972636,0
D3_full,debt,tt,.0127525985148549,.0094906008,1.3437083,.17927057,-.0058654784,.031370677,0
