equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dB/dA,P10,-.0219421809171148,-.032480497,-.0098979082,.0018389195,-5.3824592,2.0590537e-06,-.013593355,-.0062024617
debt,dB/dA,P25,-.0131901134033635,-.032480497,-.018118117,.0033661411,-5.3824592,2.0590537e-06,-.02488263,-.011353603
debt,dB/dA,P50,.0027553264792932,-.032480497,-.033094559,.0061485944,-5.3824592,2.0590537e-06,-.04545062,-.020738496
debt,dB/dA,Mean,.0169936158884182,-.032480497,-.046467595,.0086331535,-5.3824592,2.0590537e-06,-.063816562,-.029118622
debt,dB/dA,Cutoff,-.0324804984770311,-.032480497,0,0,,,0,0
debt,dB/dA,P75,.0262770142137896,-.032480497,-.055186842,.010253091,-5.3824592,2.0590537e-06,-.075791202,-.034582485
debt,dB/dA,P90,.0665310424484377,-.032480497,-.092994653,.017277354,-5.3824592,2.0590537e-06,-.1277148,-.058274508
ready_debt,dA/dFT,P10,-.0219421809171148,-.032480497,.0058947168,.0024368933,2.4189475,.019324629,.00099759642,.010791837
ready_debt,dA/dFT,P25,-.0131901134033635,-.032480497,.010790276,.004460732,2.4189475,.019324629,.0018260998,.019754453
ready_debt,dA/dFT,P50,.0027553264792932,-.032480497,.019709522,.0081479745,2.4189475,.019324629,.0033355546,.03608349
ready_debt,dA/dFT,Mean,.0169936158884182,-.032480497,.027673857,.011440454,2.4189475,.019324629,.0046834042,.050664309
ready_debt,dA/dFT,Cutoff,-.0324804984770311,-.032480497,0,0,,,0,0
ready_debt,dA/dFT,P75,.0262770142137896,-.032480497,.032866623,.013587158,2.4189475,.019324629,.0055622053,.060171038
ready_debt,dA/dFT,P90,.0665310424484377,-.032480497,.055383127,.022895548,2.4189475,.019324629,.0093728015,.10139345
