model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
DN1_core,debt,debt_kink_low,-5802.438580562,1134.2854,-5.1155014,5.1995139e-06,-8081.8706,-3523.0068,0
DN1_core,debt,debt_kink_high,-.8663492177134887,.19939551,-4.3448782,.000069995098,-1.2670496,-.46564895,0
DN1_core,debt,wsdi_days,.0807970120648053,.025222089,3.2034225,.0023884948,.030111326,.13148271,0
DN2_macro,debt,debt_kink_low,-4319.971267964193,1363.3562,-3.1686299,.0026380992,-7059.7383,-1580.2043,0
DN2_macro,debt,debt_kink_high,-.9693916351526164,.18731219,-5.1752725,4.2295019e-06,-1.3458096,-.59297371,0
DN2_macro,debt,wsdi_days,.0849920279848187,.024402548,3.4829161,.0010538314,.035953272,.13403079,0
DN2_macro,debt,growth,-.6003054245105375,.098793365,-6.0763741,1.7847249e-07,-.79883814,-.40177274,0
DN2_macro,debt,inflation_cpi,-.1478527065054815,.16076204,-.91969907,.36223564,-.47091612,.17521073,0
DN3_full,debt,debt_kink_low,-4143.399321335198,1279.3602,-3.2386494,.0021585897,-6714.3701,-1572.4287,0
DN3_full,debt,debt_kink_high,-.9392304179185423,.17449839,-5.3824592,2.0590537e-06,-1.289898,-.58856279,0
DN3_full,debt,wsdi_days,.0836265485927521,.02520323,3.3180885,.0017145434,.032978762,.13427433,0
DN3_full,debt,growth,-.6046444209035695,.096102513,-6.2916608,8.2991257e-08,-.79776967,-.4115192,0
DN3_full,debt,inflation_cpi,-.1238381884137654,.16210945,-.76391715,.44857958,-.44960934,.20193295,0
DN3_full,debt,reserves,-.034503301853797,.05185939,-.66532409,.50896299,-.13871865,.069712043,0
DN3_full,debt,tt,.0383086345853668,.037135523,1.03159,.30732927,-.036317997,.11293527,0
RDN1_core,ready_debt,ready_debt_kink_low,-734.9470769739454,790.53528,-.92968285,.35709292,-2323.5872,853.69299,0
RDN1_core,ready_debt,ready_debt_kink_high,.3751907441886236,.26851562,1.3972772,.16862562,-.16441159,.91479307,0
RDN1_core,ready_debt,wsdi_days,.0082395083629459,.0067050522,1.2288507,.22499683,-.0052347984,.021713816,0
RDN2_macro,ready_debt,ready_debt_kink_low,-606.7113349556904,842.3078,-.7202965,.47476467,-2299.3921,1085.9695,0
RDN2_macro,ready_debt,ready_debt_kink_high,.5625119274243173,.23174629,2.4272747,.018934265,.09680032,1.0282235,0
RDN2_macro,ready_debt,wsdi_days,.0074053693132191,.0069428375,1.06662,.29137078,-.0065467851,.021357523,0
RDN2_macro,ready_debt,growth,.0861792737189397,.026364699,3.2687373,.0019789387,.033197425,.13916112,0
RDN2_macro,ready_debt,inflation_cpi,-.0527025642929919,.034946322,-1.5081005,.1379499,-.12292983,.017524699,0
RDN3_full,ready_debt,ready_debt_kink_low,-704.3526611460667,938.42157,-.75057173,.45649976,-2590.1814,1181.4761,0
RDN3_full,ready_debt,ready_debt_kink_high,.55936032926223,.23124121,2.4189475,.019324629,.094663732,1.0240569,0
RDN3_full,ready_debt,wsdi_days,.0072839869522665,.006972583,1.0446612,.30130601,-.0067279432,.021295916,0
RDN3_full,ready_debt,growth,.0865064819945029,.026801622,3.2276585,.0022279769,.032646608,.14036636,0
RDN3_full,ready_debt,inflation_cpi,-.0551257021671557,.033881567,-1.6270115,.11014915,-.12321326,.01296186,0
RDN3_full,ready_debt,reserves,.0043629387400212,.0085386578,.51096302,.61167157,-.012796137,.021522015,0
RDN3_full,ready_debt,tt,-.0030845357278939,.0076524997,-.40307558,.68864602,-.018462811,.012293738,0
