specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_no_b,debt,b_outcome,dependent_variable,744,.0092819352,.050656885,-.27356002,-.03563999,-.017264996,.0020900345,.027834997,.062089995,.41863
debt_no_b,debt,debt_kink_low,regressor,744,1.0672886e-08,2.9111752e-07,0,0,0,0,0,0,7.9406273e-06
debt_no_b,debt,debt_kink_high,regressor,744,.028132051,.032735948,0,.0050780526,.010465465,.019399764,.034076799,.055594333,.25514093
debt_no_b,debt,wsdi_days,regressor,744,.17055726,.10528411,0,.053918079,.094500884,.15186262,.22385734,.32561389,.73336875
debt_no_b,debt,growth,regressor,744,.028055256,.031630296,-.14507,-.0022799999,.013825,.027595,.043775,.064229995,.24624
debt_no_b,debt,inflation_cpi,regressor,744,.029835161,.029386546,-.01692,.0031999999,.012999999,.023020001,.038075,.061129998,.23534
debt_no_b,debt,reserves,regressor,744,.14215919,.1343493,.0034262727,.028623417,.045216106,.10812501,.19998087,.29299575,1.1473159
debt_no_b,debt,tt,regressor,744,.99934661,.098011628,.67477971,.89599997,.95999998,.99800003,1.033,1.0960048,1.574002
debt_no_b,debt,readiness100,construction_input,744,.56023026,.13145925,.26723579,.36821342,.46364066,.55566174,.67749536,.72784597,.7973066
debt_no_b,debt,theta_hat_A,construction_input,744,.016993616,.052064963,-.032502469,-.021942182,-.013190113,.0027553265,.026277015,.06653104,.31424287
debt_no_b,debt,b_it,construction_input,744,.60515714,.34685743,.04916,.26455,.37902001,.51545,.76332498,1.05032,2.03721
debt_no_b,debt,mA_hat,construction_input,744,.034074344,.031206749,-.016001631,.0034129543,.013659005,.026021251,.048339542,.074035525,.16285667
debt_no_b,debt,TA_hat,construction_input,744,-.014436429,.011528512,-.033112291,-.027208311,-.022764532,-.016483475,-.0086001195,.0025421269,.047190908
debt_no_b,debt,b_it_mA_hat,construction_input,744,.031430043,.050013129,-.001163354,.00090385269,.0051755956,.013412663,.036898982,.077760994,.33177322
ready_no_lag_debt_cutoff,ready_debt,A_outcome,dependent_variable,744,.003043198,.018772947,-.19999273,-.008690414,-.0022905159,.0028133392,.0085213473,.0173069,.080252379
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_low,regressor,744,2.3582685e-09,6.4324986e-08,0,0,0,0,0,0,1.7545518e-06
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_high,regressor,744,.0037000843,.0054137739,-.0025537417,.000037393478,.00039117647,.0017046885,.0045722597,.011564462,.046240482
ready_no_lag_debt_cutoff,ready_debt,wsdi_days,regressor,744,.17055726,.10528411,0,.053918079,.094500884,.15186262,.22385734,.32561389,.73336875
ready_no_lag_debt_cutoff,ready_debt,growth,regressor,744,.028055256,.031630296,-.14507,-.0022799999,.013825,.027595,.043775,.064229995,.24624
ready_no_lag_debt_cutoff,ready_debt,inflation_cpi,regressor,744,.029835161,.029386546,-.01692,.0031999999,.012999999,.023020001,.038075,.061129998,.23534
ready_no_lag_debt_cutoff,ready_debt,reserves,regressor,744,.14215919,.1343493,.0034262727,.028623417,.045216106,.10812501,.19998087,.29299575,1.1473159
ready_no_lag_debt_cutoff,ready_debt,tt,regressor,744,.99934661,.098011628,.67477971,.89599997,.95999998,.99800003,1.033,1.0960048,1.574002
ready_no_lag_debt_cutoff,ready_debt,interest_revenue,construction_input,744,.062411975,.069067821,-.062359404,.0035591593,.019607583,.047967862,.081136629,.13529357,.4362027
ready_no_lag_debt_cutoff,ready_debt,theta_hat_A,construction_input,744,.016993616,.052064963,-.032502469,-.021942182,-.013190113,.0027553265,.026277015,.06653104,.31424287
