cutoff,rss,N,low_n,high_n
-.0414401995317994,3.5921905,1433,144,1289
-.0413609235616449,3.5922024,1433,146,1287
-.0412944048042436,3.5922096,1433,147,1286
-.0412850358650612,3.592211,1433,148,1285
-.0412840279396552,3.592211,1433,149,1284
-.0411265496188718,3.5922301,1433,149,1284
-.0410980650423155,3.5922315,1433,151,1282
-.041086333289255,3.592232,1433,152,1281
-.0410799288921017,3.5922327,1433,153,1280
-.0410609158160877,3.5922348,1433,153,1280
-.041057662749997,3.5922351,1433,154,1279
-.041015761317686,3.5922394,1433,156,1277
-.0410120284760587,3.5922396,1433,157,1276
-.04089220466976,3.5922425,1433,158,1275
-.0405935011237609,3.5922582,1433,159,1274
-.0405758336939203,3.5922592,1433,160,1273
-.0404453899316648,3.5922711,1433,160,1273
-.0403689882695452,3.5922775,1433,161,1271
-.0401605208380612,3.5922837,1433,162,1271
-.040038962347018,3.5922863,1433,164,1269
-.0399929323221122,3.5922875,1433,165,1268
-.0397014966445775,3.5923007,1433,166,1267
-.0395083120977227,3.5923178,1433,166,1267
-.0394754429557504,3.5923195,1433,168,1265
-.0393222871970896,3.5923309,1433,169,1264
-.0392888323166889,3.5923347,1433,169,1264
-.0392769536018967,3.5923381,1433,170,1263
-.0391138796430334,3.5923846,1433,171,1262
-.0390333914132239,3.5924129,1433,172,1261
-.0389070704893137,3.592459,1433,174,1259
-.0386304289899409,3.5925725,1433,174,1259
-.0386062394252277,3.592582,1433,176,1257
-.0385610204633616,3.5926003,1433,177,1256
-.0383756855285257,3.5926824,1433,177,1256
-.0382931778609905,3.5927212,1433,178,1254
-.0382522575650528,3.5927408,1433,179,1254
-.0381021202868207,3.5927947,1433,180,1253
-.037758412232438,3.5929015,1433,182,1251
-.0377538385975274,3.5929029,1433,183,1250
-.0377434520161017,3.5929065,1433,184,1249
-.0377024511249683,3.5929196,1433,185,1248
-.0376365217173026,3.5929418,1433,186,1247
-.0375942875796819,3.5929608,1433,187,1246
-.0375001039753711,3.5930023,1433,188,1245
-.037313843453679,3.5930831,1433,188,1244
-.037226571236487,3.5931203,1433,189,1244
-.0371612564619742,3.5931478,1433,190,1243
-.0371462502644168,3.5931544,1433,192,1241
-.037061322707914,3.5931904,1433,193,1240
-.0369638348188517,3.5932324,1433,193,1240
-.0369434742116688,3.5932407,1433,194,1239
-.0369013465592888,3.5932593,1433,196,1237
-.036878511821484,3.5932684,1433,197,1236
-.0368672556894998,3.5932724,1433,197,1236
-.0368571124776303,3.593276,1433,198,1235
-.036658971348042,3.5933437,1433,199,1234
-.0366136529832783,3.593363,1433,201,1232
-.036594079297407,3.5933714,1433,201,1232
-.0363749146175913,3.5934668,1433,202,1231
-.0362619456340406,3.5935099,1433,203,1230
-.0361395569790154,3.5935538,1433,204,1229
-.0361208518289069,3.5935612,1433,206,1227
-.0361197986990334,3.5935616,1433,206,1226
-.0357196738057762,3.5937333,1433,208,1225
-.0355522256313054,3.5938065,1433,209,1224
-.0354514481973613,3.593848,1433,209,1223
-.035182833754034,3.5939677,1433,211,1222
-.0351327896134969,3.5939901,1433,212,1221
-.035131454458811,3.5939908,1433,213,1220
-.0342771622922591,3.5943391,1433,214,1219
-.0340871545015829,3.5944042,1433,215,1218
-.0339922864832053,3.5944369,1433,216,1217
-.0338360338760794,3.5944848,1433,217,1216
-.0338190845612484,3.5944901,1433,218,1215
-.0337311555101054,3.5945206,1433,219,1214
-.033713547196001,3.5945265,1433,219,1214
-.033705886336449,3.5945289,1433,221,1212
-.0335616252076876,3.594568,1433,222,1211
-.0334670376564101,3.5945919,1433,223,1210
-.0334585596861512,3.5945933,1433,224,1209
-.0333348736931677,3.5946121,1433,224,1209
-.0330083554534904,3.594677,1433,225,1208
-.0329159526514491,3.5946908,1433,226,1207
-.0328095142107131,3.5947011,1433,227,1205
-.0327650813493905,3.5947039,1433,229,1204
-.0326077031083001,3.5947127,1433,229,1204
-.0325830899613363,3.5947127,1433,230,1203
-.0324250057453269,3.5947104,1433,231,1202
-.0324059059358406,3.5947108,1433,233,1200
-.0323747714184448,3.5947125,1433,234,1199
-.0322884005003961,3.5947146,1433,234,1199
-.0322581763185744,3.5947146,1433,235,1198
-.0322430161026129,3.5947146,1433,237,1196
-.032196099393235,3.5947154,1433,237,1196
-.0320349610407992,3.5947115,1433,239,1194
-.0318408412993245,3.5947137,1433,239,1194
-.0318147186280786,3.5947137,1433,240,1193
-.0317448890695787,3.5947144,1433,242,1191
-.0317431467357644,3.5947144,1433,243,1190
-.0315999067188323,3.5947168,1433,244,1189
-.0315818107044929,3.5947173,1433,244,1189
-.0311347116080785,3.5947402,1433,245,1188
-.0311325687197321,3.5947402,1433,246,1187
-.0310346047118154,3.5947423,1433,247,1186
-.0309647464649602,3.5947418,1433,249,1184
-.0309475757600251,3.5947416,1433,250,1183
-.0309467871009965,3.5947416,1433,250,1183
-.0308119290762007,3.5947356,1433,252,1181
-.0307627438933908,3.5947342,1433,253,1180
-.0306575906916595,3.5947313,1433,253,1180
-.0305746870911468,3.5947285,1433,255,1178
-.0304547733975078,3.594722,1433,256,1177
-.0304403623015354,3.5947218,1433,256,1177
-.0304331267188686,3.5947216,1433,257,1176
-.0303933704697669,3.5947196,1433,258,1175
-.0303121099284673,3.5947151,1433,260,1173
-.0300532708377419,3.594698,1433,260,1172
-.0300468147566485,3.5946972,1433,261,1172
-.0300037395325873,3.5946932,1433,262,1171
-.0298393829039901,3.5946739,1433,264,1169
-.0297811098939966,3.5946674,1433,264,1169
-.0296911592625216,3.5946579,1433,265,1167
-.0294544381444799,3.5946341,1433,267,1166
-.0291568158140931,3.5946109,1433,268,1165
-.029066795635107,3.5945981,1433,268,1165
-.0290599551876443,3.5945971,1433,269,1164
-.0289306720940541,3.5945821,1433,270,1163
-.0288868661804198,3.5945773,1433,271,1162
-.0287041358923033,3.5945587,1433,272,1161
-.0286985183835011,3.5945582,1433,274,1159
-.0286530237102627,3.5945532,1433,274,1159
-.0283242922800757,3.5945182,1433,276,1157
-.0282953208855547,3.5945151,1433,277,1156
-.0282834926505228,3.5945137,1433,277,1156
-.0282580058705966,3.5945106,1433,278,1155
-.0281324700797541,3.594492,1433,279,1154
-.0281156696826581,3.5944891,1433,280,1153
-.0280735893031751,3.5944822,1433,282,1151
-.0280312252305196,3.5944753,1433,283,1150
-.0280126533635875,3.5944719,1433,283,1150
-.0277801201548885,3.5944333,1433,285,1148
-.0275945231593391,3.5943959,1433,285,1148
-.02750565677247,3.5943794,1433,286,1147
-.0275005312815215,3.5943785,1433,287,1146
-.0274484699802855,3.5943687,1433,289,1144
-.02735802740737,3.5943518,1433,290,1143
-.0270787643062635,3.5943103,1433,291,1142
-.0270575798820798,3.5943074,1433,292,1141
-.0270447973636525,3.5943058,1433,293,1140
-.0268844959094651,3.5942845,1433,293,1140
-.0267910169418632,3.5942736,1433,294,1138
-.0267312008146721,3.5942683,1433,295,1138
-.0265564690766899,3.5942473,1433,296,1137
-.0265022045343493,3.5942423,1433,298,1135
-.0263289839991403,3.5942297,1433,298,1135
-.0262395004640032,3.5942242,1433,299,1134
-.0259898014553451,3.5942085,1433,300,1133
-.0258602030067811,3.594203,1433,301,1132
-.0258483323737327,3.5942023,1433,303,1130
-.0258174698623674,3.5942008,1433,304,1129
-.02562584056886,3.5941901,1433,304,1129
-.0256061248113398,3.5941896,1433,305,1128
-.0255886854601245,3.5941894,1433,307,1126
-.0255213021910463,3.5941885,1433,307,1126
-.0254943946943945,3.5941887,1433,309,1124
-.0253291225331826,3.5941906,1433,310,1123
-.0253172427365453,3.5941908,1433,310,1123
-.0252101047738872,3.5941908,1433,312,1121
-.0249811737328895,3.5941925,1433,313,1120
-.0248354901480708,3.5941927,1433,314,1119
-.0248131499683721,3.5941927,1433,315,1118
-.0245473123720156,3.594171,1433,316,1117
-.0242605343013177,3.5941541,1433,317,1116
-.024133992631579,3.5941484,1433,317,1116
-.0241071203402753,3.5941474,1433,319,1114
-.0240665441912248,3.594146,1433,319,1114
-.024013031309114,3.5941443,1433,321,1112
-.023877446863835,3.5941417,1433,322,1111
-.0238737357100361,3.5941415,1433,322,1111
-.0238332638643756,3.5941381,1433,324,1109
-.0237463390958746,3.59413,1433,325,1108
-.0237216125536415,3.5941274,1433,325,1108
-.0234306450260826,3.5940921,1433,326,1107
-.0232424593152544,3.5940726,1433,327,1106
-.0231458059448609,3.5940621,1433,329,1104
-.0229419543376138,3.5940428,1433,330,1103
-.0229068786207354,3.5940397,1433,330,1103
-.0228367241074524,3.5940325,1433,331,1102
-.0227524248649225,3.5940213,1433,332,1101
-.0224372395045229,3.5939975,1433,334,1099
-.0224291186379812,3.593997,1433,335,1098
-.0223451377166615,3.5939925,1433,336,1097
-.0223254514323116,3.5939908,1433,337,1096
-.022093146286263,3.5939662,1433,338,1095
-.022087254655094,3.5939655,1433,338,1095
-.0220703874334841,3.5939639,1433,339,1093
-.0220443098079296,3.593961,1433,340,1092
-.0218357598025615,3.5939412,1433,342,1091
-.0217749925514374,3.593935,1433,343,1090
-.0216290385254866,3.5939224,1433,344,1089
-.0216153313188029,3.5939212,1433,345,1088
-.0214919773471066,3.5939088,1433,346,1087
-.0214654253010925,3.5939066,1433,346,1087
-.0214497918885394,3.5939052,1433,348,1085
-.0214009103701503,3.5939028,1433,348,1085
-.0211570877614912,3.5938962,1433,349,1084
-.0211118490337763,3.593895,1433,350,1083
-.0211006015271851,3.5938947,1433,352,1081
-.0209653495635841,3.5938931,1433,352,1081
-.0209583806742364,3.5938931,1433,353,1080
-.0209250458053391,3.5938923,1433,354,1079
-.0208947431096935,3.5938909,1433,355,1078
-.0207862752509501,3.5938895,1433,357,1076
-.0207418526777869,3.5938897,1433,357,1076
-.0205468177525756,3.5938909,1433,359,1074
-.020486160814762,3.5938916,1433,359,1074
-.0204761284736575,3.5938919,1433,360,1073
-.0201884308991484,3.5939012,1433,361,1071
-.020170050475232,3.5939016,1433,362,1071
-.0201699349405413,3.5939016,1433,364,1069
-.0201440900154912,3.5939012,1433,364,1069
-.0200676270113556,3.5939019,1433,365,1068
-.0199712796480408,3.5939026,1433,367,1066
-.0198378466640595,3.5939047,1433,368,1065
-.0197909094764169,3.5939045,1433,368,1065
-.0196063782064592,3.5939023,1433,369,1063
-.0194534746096594,3.5939047,1433,370,1063
-.0194159013286364,3.5939057,1433,372,1061
-.019357007231463,3.5939078,1433,372,1061
-.0193431331127814,3.5939081,1433,373,1060
-.0192496168091011,3.5939095,1433,375,1058
-.0191470447799045,3.5939116,1433,375,1058
-.0190540751223709,3.5939143,1433,376,1057
-.018953505657567,3.5939157,1433,378,1055
-.0188581398645174,3.5939164,1433,378,1055
-.0188291930749689,3.5939164,1433,380,1053
-.0188138581261709,3.5939159,1433,380,1053
-.0187735001398609,3.5939145,1433,381,1052
-.0186323175243293,3.5939121,1433,383,1050
-.0185200939974446,3.5939105,1433,384,1049
-.0185133009262374,3.5939102,1433,385,1048
-.0184924592888078,3.5939102,1433,386,1047
-.0184707111408949,3.5939097,1433,386,1047
-.0183805696431431,3.5939083,1433,387,1046
-.0183225876772783,3.5939085,1433,388,1045
-.0182886892754377,3.5939083,1433,390,1043
-.0182674579253251,3.5939083,1433,391,1042
-.0182547612898259,3.5939088,1433,392,1041
-.0181997078303627,3.5939095,1433,392,1041
-.0181787059051494,3.5939097,1433,394,1039
-.0181703255400151,3.5939097,1433,394,1039
-.0181127839011799,3.5939085,1433,396,1037
-.0180301396534988,3.5939078,1433,396,1037
-.0179751649862635,3.593909,1433,398,1035
-.0179224458835899,3.5939109,1433,398,1035
-.0178970089566532,3.5939119,1433,399,1034
-.0178734007555078,3.5939126,1433,401,1032
-.017850602383928,3.5939138,1433,401,1032
-.0177120098667639,3.5939236,1433,403,1030
-.0176652304659185,3.593926,1433,404,1029
-.017645373899977,3.5939274,1433,404,1029
-.0176295082894146,3.5939283,1433,405,1028
-.0175762616492622,3.5939305,1433,407,1026
-.0174945536286687,3.5939348,1433,408,1025
-.0174901266056149,3.593935,1433,408,1025
-.0174453544239518,3.5939381,1433,409,1024
-.0174374243538011,3.5939386,1433,411,1022
-.0173449649893586,3.5939462,1433,411,1021
-.0172570980470602,3.5939527,1433,413,1020
-.0171996559035907,3.5939574,1433,414,1019
-.0170067491700582,3.5939736,1433,414,1019
-.016944178264039,3.5939784,1433,415,1018
-.0164648861585352,3.5940268,1433,416,1017
-.0163892323339497,3.5940337,1433,418,1015
-.016382840998214,3.5940342,1433,419,1014
-.0163627358002117,3.5940359,1433,419,1014
-.0162794179418478,3.5940449,1433,420,1013
-.0161207594485374,3.594063,1433,422,1011
-.0161058235036435,3.5940647,1433,422,1011
-.0160989811712253,3.5940654,1433,424,1009
-.016066774699272,3.5940688,1433,424,1009
-.0160607795810873,3.5940692,1433,426,1007
-.016037520154152,3.5940723,1433,427,1006
-.0159974614598507,3.5940762,1433,427,1006
-.01574800326007,3.5941052,1433,428,1005
-.0157182945495165,3.5941088,1433,430,1003
-.0155622179872387,3.594125,1433,431,1002
-.0153110008937508,3.5941288,1433,432,1001
-.0153014205132453,3.5941288,1433,432,1001
-.0152269584343594,3.5941288,1433,434,999
-.0151965221474946,3.5941291,1433,435,998
-.0151829548690322,3.5941288,1433,435,998
-.0151210004076124,3.5941281,1433,437,996
-.0148540422964887,3.5941224,1433,437,996
-.014739027578517,3.5941172,1433,439,994
-.0146375089076706,3.5941129,1433,439,994
-.0146229395741265,3.5941122,1433,441,992
-.0145099029003832,3.5941055,1433,442,991
-.014448133340303,3.5941019,1433,443,990
-.0144392852749196,3.5941014,1433,443,990
-.0144175076190137,3.5941002,1433,444,989
-.01440990733374,3.5940998,1433,446,987
-.0142791199622067,3.594094,1433,447,986
-.0142514687423476,3.5940931,1433,447,986
-.0140549374723964,3.59409,1433,448,985
-.0138351893018929,3.5940928,1433,449,984
-.0138097680452485,3.5940928,1433,450,983
-.0137740989509361,3.5940931,1433,451,982
-.0137666879592889,3.5940931,1433,452,981
-.0136393195613906,3.5940928,1433,453,980
-.0136170367515951,3.5940933,1433,454,979
-.0135617871933872,3.5940948,1433,456,977
-.0135105445013545,3.5940979,1433,457,976
-.0134868200249516,3.5940993,1433,457,976
-.0134811083989384,3.5940995,1433,459,974
-.0134276628496663,3.5940976,1433,460,973
-.0134124505569358,3.5940974,1433,461,972
-.0132595928877688,3.5940938,1433,461,972
-.0131513599433657,3.5940981,1433,462,971
-.0131498280275774,3.5940981,1433,464,969
-.0130939497786328,3.5941002,1433,465,968
-.0130263914475615,3.5941031,1433,465,968
-.0129959563933547,3.5941041,1433,466,967
-.012984790281457,3.5941048,1433,467,966
-.0129465588162908,3.5941083,1433,468,965
-.012896279055106,3.5941129,1433,469,964
-.0128148813142522,3.5941203,1433,471,962
-.0127810104584223,3.5941231,1433,471,962
-.0126031694609329,3.5941389,1433,472,961
-.012343571369557,3.5941608,1433,474,959
-.0123280179295634,3.594162,1433,474,959
-.0123202455161102,3.5941627,1433,476,957
-.012022312197219,3.5941894,1433,476,957
-.0120012548554405,3.5941911,1433,477,956
-.0119655732386087,3.5941939,1433,479,954
-.0118911678138288,3.5942001,1433,479,954
-.011881988239889,3.5942006,1433,480,953
-.0118685388486411,3.5942018,1433,481,952
-.0118446914654272,3.5942037,1433,482,951
-.0117798776769974,3.5942082,1433,483,950
-.0117393380065471,3.5942109,1433,484,949
-.0117234530604712,3.5942118,1433,486,947
-.0116529280579034,3.5942173,1433,486,947
-.0116329646532755,3.5942187,1433,487,946
-.011592141055526,3.5942225,1433,489,944
-.0114909954333371,3.5942304,1433,489,944
-.0114878749016049,3.5942307,1433,491,942
-.0113430265098645,3.5942461,1433,491,942
-.0113419168905704,3.5942464,1433,492,941
-.0112846783328473,3.5942516,1433,493,940
-.011174365361565,3.5942619,1433,494,939
-.0111655211912019,3.5942626,1433,495,938
-.0110351924046011,3.5942755,1433,496,937
-.0108376732292052,3.5942967,1433,497,936
