cutoff,rss,N,low_n,high_n
-.0417065003306292,1.4145756,1458,147,1311
-.041565104603194,1.4145892,1458,148,1310
-.0415038499036997,1.4145952,1458,148,1310
-.0414401995317994,1.4146007,1458,149,1309
-.0413609235616449,1.4146075,1458,151,1307
-.0412944048042436,1.4146142,1458,152,1306
-.0412850358650612,1.4146149,1458,153,1305
-.0412840279396552,1.4146149,1458,154,1304
-.0411265496188718,1.4146267,1458,154,1304
-.0410980650423155,1.4146289,1458,156,1302
-.041086333289255,1.4146298,1458,157,1301
-.0410799288921017,1.4146305,1458,158,1300
-.0410609158160877,1.4146323,1458,158,1300
-.041057662749997,1.4146327,1458,159,1299
-.041015761317686,1.4146371,1458,161,1297
-.0410120284760587,1.4146376,1458,162,1296
-.04089220466976,1.4146531,1458,163,1295
-.040757792841756,1.4146717,1458,164,1294
-.0405935011237609,1.4146943,1458,165,1293
-.0405758336939203,1.4146967,1458,166,1292
-.0404453899316648,1.4147135,1458,166,1292
-.0403689882695452,1.4147257,1458,167,1290
-.0401605208380612,1.4147542,1458,168,1290
-.040038962347018,1.4147713,1458,170,1288
-.0399929323221122,1.4147789,1458,171,1287
-.0397014966445775,1.4148271,1458,172,1286
-.0395083120977227,1.4148592,1458,172,1286
-.0394754429557504,1.4148649,1458,174,1284
-.0393222871970896,1.4148921,1458,175,1283
-.0392888323166889,1.4148979,1458,175,1283
-.0392769536018967,1.4149002,1458,176,1282
-.0391138796430334,1.4149269,1458,177,1281
-.0390333914132239,1.4149398,1458,178,1280
-.0389070704893137,1.4149599,1458,180,1278
-.0386304289899409,1.4150023,1458,180,1278
-.0386062394252277,1.4150056,1458,182,1276
-.0385610204633616,1.4150116,1458,183,1275
-.0383756855285257,1.4150331,1458,183,1275
-.0382931778609905,1.4150412,1458,184,1273
-.0382522575650528,1.4150456,1458,185,1273
-.0381021202868207,1.4150621,1458,186,1272
-.037758412232438,1.4150916,1458,188,1270
-.0377538385975274,1.415092,1458,189,1269
-.0377434520161017,1.4150929,1458,190,1268
-.0377024511249683,1.4150965,1458,191,1267
-.0376365217173026,1.4151015,1458,192,1266
-.0375942875796819,1.4151047,1458,193,1265
-.0375001039753711,1.4151047,1458,194,1264
-.037313843453679,1.4151034,1458,194,1263
-.037226571236487,1.4151015,1458,195,1263
-.0371612564619742,1.4150969,1458,196,1262
-.0371462502644168,1.4150957,1458,198,1260
-.037061322707914,1.4150882,1458,199,1259
-.0369638348188517,1.4150801,1458,199,1259
-.0369434742116688,1.4150784,1458,200,1258
-.0369013465592888,1.4150735,1458,202,1256
-.036878511821484,1.4150714,1458,203,1255
-.0368672556894998,1.4150697,1458,203,1255
-.0368571124776303,1.4150678,1458,204,1254
-.036658971348042,1.4150267,1458,205,1253
-.0366136529832783,1.4150176,1458,207,1251
-.036594079297407,1.4150137,1458,207,1251
-.0363749146175913,1.4149622,1458,208,1250
-.0362619456340406,1.4149388,1458,209,1249
-.0361395569790154,1.4149144,1458,210,1248
-.0361208518289069,1.4149109,1458,212,1246
-.0361197986990334,1.4149107,1458,212,1245
