equation,variable,sd_overall,sd_between,sd_within,ratio_within_overall,fe_identification
debt,b_outcome,.0506568863276543,.016121896,.048345953,.95438069,adequate
debt,theta_hat_A,.0520649635977687,.047727093,.023650631,.45425233,adequate
debt,b_it,.3468574209074824,.32337117,.13954593,.40231496,adequate
debt,mA_hat,.0312067488586924,.029088655,.012557112,.40238449,adequate
debt,TA_hat,.0115285125807529,.0078467699,.0089581143,.77703989,adequate
debt,b_it_mA_hat,.0500131295891313,.047322873,.020997984,.41984943,adequate
debt,readiness100,.1314592539342702,.1337674,.035229791,.2679902,adequate
debt,wsdi_days,.1052841099731308,.071660601,.081809953,.77703989,adequate
debt,growth,.0316302949682244,.019418679,.025699396,.81249309,adequate
debt,inflation_cpi,.0293865458539534,.025824754,.019588802,.66659087,adequate
debt,reserves,.1343492967139315,.11920146,.064135991,.47738242,adequate
debt,tt,.098011630301402,.051675852,.082500413,.84174109,adequate
ready,A_outcome,.0187729469025272,.0047385027,.018350497,.97749686,adequate
ready,theta_hat_A,.0520649635977687,.047727093,.023650631,.45425233,adequate
ready,interest_revenue,.0690678242266465,.073035404,.02113766,.30604208,adequate
ready,wsdi_days,.1052841099731308,.071660601,.081809953,.77703989,adequate
ready,growth,.0316302949682244,.019418679,.025699396,.81249309,adequate
ready,inflation_cpi,.0293865458539534,.025824754,.019588802,.66659087,adequate
ready,reserves,.1343492967139315,.11920146,.064135991,.47738242,adequate
ready,tt,.098011630301402,.051675852,.082500413,.84174109,adequate
