country_name,iso3,year,theta_hat_A,cutoff
Australia,AUS,2000,-.0299701150293279,-.0324804984770311
Australia,AUS,2001,-.0266856967009947,-.0324804984770311
Australia,AUS,2002,-.0148620723175365,-.0324804984770311
Australia,AUS,2003,-.025512135896063,-.0324804984770311
Australia,AUS,2004,-.0240641414417549,-.0324804984770311
Australia,AUS,2005,-.0140770615854031,-.0324804984770311
Australia,AUS,2006,-.0267471916577451,-.0324804984770311
Australia,AUS,2007,-.0210311838695541,-.0324804984770311
Australia,AUS,2008,-.0279213555123952,-.0324804984770311
Australia,AUS,2009,-.0150795638469373,-.0324804984770311
Australia,AUS,2010,-.0262960351014882,-.0324804984770311
Australia,AUS,2011,-.0273505468135002,-.0324804984770311
Australia,AUS,2012,-.025287760322835,-.0324804984770311
Australia,AUS,2013,-.0106130610706992,-.0324804984770311
Australia,AUS,2014,-.0153764933107824,-.0324804984770311
Australia,AUS,2015,-.0140617947838816,-.0324804984770311
Australia,AUS,2016,-.0081732331494977,-.0324804984770311
Australia,AUS,2017,-.0086051055833059,-.0324804984770311
Australia,AUS,2018,-.0095498446201011,-.0324804984770311
Austria,AUT,2000,.0127020254907558,-.0324804984770311
Austria,AUT,2001,.0043887947852998,-.0324804984770311
Austria,AUT,2002,.0178661072943318,-.0324804984770311
Austria,AUT,2003,.0276708234465969,-.0324804984770311
Austria,AUT,2004,.0043441891127772,-.0324804984770311
Austria,AUT,2005,.0123853956604608,-.0324804984770311
Austria,AUT,2006,.0216358416288381,-.0324804984770311
Austria,AUT,2007,.0299367396358008,-.0324804984770311
Austria,AUT,2008,.0122743295137844,-.0324804984770311
Austria,AUT,2009,.0276755094691275,-.0324804984770311
Austria,AUT,2010,.0231646244155831,-.0324804984770311
Austria,AUT,2011,.0394843381090796,-.0324804984770311
Austria,AUT,2012,.0388669361277708,-.0324804984770311
Austria,AUT,2013,.0261797092576294,-.0324804984770311
Austria,AUT,2014,.0371442593983571,-.0324804984770311
Austria,AUT,2015,.0587869932681598,-.0324804984770311
Austria,AUT,2016,.0318009123627368,-.0324804984770311
Austria,AUT,2017,.0287693236255841,-.0324804984770311
Austria,AUT,2018,.0442169404295762,-.0324804984770311
Belgium,BEL,2000,.065555207345103,-.0324804984770311
Belgium,BEL,2001,.055994768197337,-.0324804984770311
Belgium,BEL,2002,.0651515247439117,-.0324804984770311
Belgium,BEL,2003,.0661381593194918,-.0324804984770311
Belgium,BEL,2004,.0440431597667365,-.0324804984770311
Belgium,BEL,2005,.0511822494777552,-.0324804984770311
Belgium,BEL,2006,.0511618081923804,-.0324804984770311
Belgium,BEL,2007,.0458922224374271,-.0324804984770311
Belgium,BEL,2008,.0374662348859814,-.0324804984770311
Belgium,BEL,2009,.048943544044589,-.0324804984770311
Belgium,BEL,2010,.0412703703251195,-.0324804984770311
Belgium,BEL,2011,.0646779616993332,-.0324804984770311
Belgium,BEL,2012,.0590678826824851,-.0324804984770311
Belgium,BEL,2013,.0511892457734071,-.0324804984770311
Belgium,BEL,2014,.0667714733089206,-.0324804984770311
Belgium,BEL,2015,.0784529593226635,-.0324804984770311
Belgium,BEL,2016,.0609919779819086,-.0324804984770311
Belgium,BEL,2017,.0542212688890465,-.0324804984770311
Belgium,BEL,2018,.0727314370213735,-.0324804984770311
Bangladesh,BGD,2016,.0064432795051797,-.0324804984770311
Bangladesh,BGD,2017,.0091323684989318,-.0324804984770311
Bangladesh,BGD,2018,-.0069996392656636,-.0324804984770311
Brazil,BRA,2008,.0196408259461647,-.0324804984770311
Brazil,BRA,2009,.0307338636691825,-.0324804984770311
Brazil,BRA,2010,.0501854818568445,-.0324804984770311
